Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S5S1V01,S5S1V02,S5S1V03,S5S1V04,S5S1V05,S5S1V06,S5S2V01,S5S2V02,S5S2V03,S5S2V04,S5S2V05,S5S2V06,S5S2V07,S5S2V08,S5S3V01,S5S3V02,S5S3V03,S5S3V04,S5S3V05,S5S3V06,S5S3V07,S5S3V08,S5S3V09,S5S3V10,S5S3V11,S5S3V12,S5S3V13,S5S3V14,S5S3V15,S5S3V16,S5S3V17,S5S3V18,S5S3V19,S5S3V20,S5S3V21,S5S3V22,S5S3V23,S5S4V01,S5S4V02,S5S4V03,S5S4V04,S5S4V05,S5S4V06,S5S4V07,S5S4V08,S5S4V09,S5S4V10,S5S4V11,S5S4V12,S5S4V13,S5S4V14,S5S4V15,S5S4V16,S5S4V17,S5S4V18,S5S4V19,S5S4V20,S5S4V21,S5S4V22
"Montgomery, Donald",Conservative (1867-1942),Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1893.07.31 ,1873.10.18 , 1893.07.31 ,(Death),9,1,1,2,2,2,1,1,1,1,1,1,9,2,2,1,2,9,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,1
"Boyd, John",Liberal-Conservative,New Brunswick,"Macdonald, John Alexander",1880.02.11 - 1893.09.21 ,1880.02.11 , 1893.09.21 ,(Resignation),9,1,1,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,2,2,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9
"Botsford, Amos Edwin",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1894.03.22 ,1867.10.23 , 1894.03.22 ,(Death),2,2,1,9,9,9,9,2,9,1,1,1,9,9,2,9,2,1,1,2,1,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,2,2,2,2,9,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1
"Flint, Billa",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1894.06.14 ,1867.10.23 , 1894.06.14 ,(Death),1,1,1,2,2,2,1,2,2,9,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,9,9,9,9,9,9,9,9,9,9,1,9,9,2,2,2,9,2,9,9,1,9,2,2,9,9,9,1,2,2,1,1
"Glasier, John",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1894.07.07 ,1868.03.14 , 1894.07.07 ,(Death),1,1,1,2,2,9,2,2,9,9,1,1,9,9,9,9,1,9,1,2,1,1,1,2,2,2,1,1,1,9,9,9,9,9,9,9,9,2,9,2,1,9,2,2,9,9,9,9,9,9,2,2,2,2,1,2,2,1,1
"Chaffers, William Henry",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1894.07.19 ,1867.10.23 , 1894.07.19 ,(Death),1,1,1,1,1,1,2,1,9,1,2,2,2,9,2,9,1,9,1,2,2,1,2,1,1,1,2,2,2,1,9,1,1,1,1,1,9,1,1,1,2,9,2,2,2,1,1,9,1,9,1,9,9,1,2,1,1,2,9
"Kaulback, Henry Adolphus Newman",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1872.03.27 - 1896.01.08 ,1872.03.27 , 1896.01.08 ,(Death),1,1,1,1,1,9,1,2,9,2,1,1,1,1,2,2,2,2,1,2,1,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,9,2,2,1,2,2,2,1,1,2,9,9,9,9,9,9,9,9
"GuíÂvremont, Jean-Baptiste",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1896.06.14 ,1867.10.23 , 1896.06.14 ,(Resignation),9,1,1,2,2,1,1,1,9,9,9,9,9,9,2,9,9,9,9,9,1,1,1,2,9,2,1,9,9,1,1,9,1,1,9,1,1,9,9,9,2,9,2,2,9,1,9,1,9,9,1,1,2,1,2,1,1,2,2
"Read, Robert",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.24 - 1896.06.29 ,1871.02.24 , 1896.06.29 ,(Death),1,1,1,2,2,9,1,1,9,2,9,9,9,1,9,2,2,9,1,2,1,1,9,9,9,9,9,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,9,2,9,9,9,1,2,2,2,2,2,1,1,2,2,1,1
"Macpherson, David Lewis",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1896.08.16 ,1867.10.23 , 1896.08.16 ,(Death),2,2,1,2,2,2,1,9,9,1,2,2,2,2,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"McClelan, Abner Reid",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1896.12.09 ,1867.10.23 , 1896.12.09 ,(Resignation),1,1,2,1,1,9,2,2,1,2,2,2,2,9,9,2,1,1,2,1,2,2,9,9,9,1,2,9,9,1,1,1,1,9,1,1,1,1,1,1,1,9,9,9,9,1,9,2,1,1,2,1,1,1,2,1,1,2,2
"Robitaille, Thí©odore",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1885.01.29 - 1897.08.17 ,1885.01.29 , 1897.08.17 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,9,9,9,9,1,1,1,2,2,2,1,1,1,2,9,9,9,9,9,9,2,2,2,9,9,9,2,2,9,9,2,9,9,9,2,2,9,2,1,2,2,1,1
"McInnes, Thomas Robert",Independent,British Columbia,"Macdonald, John Alexander",1881.12.24 - 1897.11.18 ,1881.12.24 , 1897.11.18 ,(Resignation),1,1,1,9,9,9,1,1,1,2,2,9,9,9,9,9,2,9,2,1,2,1,9,9,1,1,2,2,2,9,1,1,1,2,2,2,1,1,1,1,9,9,1,9,9,1,1,2,1,9,1,1,1,1,2,1,1,2,2
"Deblois, Pierre Antoine",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1883.02.13 - 1898.06.21 ,1883.02.13 , 1898.06.21 ,(Death),2,1,9,9,9,9,9,1,1,1,1,1,1,1,9,9,1,9,1,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,1,2,1,9,9,1,2,2,2,2,2,2,1,2,9,1,2,2,1,1,2,2,1,1
"MacFarlane, Alexander",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1870.10.10 - 1898.12.14 ,1870.10.10 , 1898.12.14 ,(Death),9,1,1,9,9,9,1,2,1,1,1,1,2,9,2,9,2,9,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Sutherland, John",Independent Conservative,Manitoba,"Macdonald, John Alexander",1871.12.13 - 1899.04.13 ,1871.12.13 , 1899.04.13 ,(Resignation),2,1,1,2,9,9,9,9,9,9,2,2,1,9,2,9,2,9,2,1,1,2,9,9,9,9,9,1,1,2,2,2,2,2,2,2,9,2,2,2,9,9,2,2,1,2,9,1,2,9,2,2,2,1,1,2,2,1,1
"Sanford, William Eli",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1887.02.08 - 1899.07.10 ,1887.02.08 , 1899.07.10 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bellerose, Joseph Hyacinthe",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.10.07 - 1899.08.13 ,1873.10.07 , 1899.08.13 ,(Death),2,9,9,9,1,1,1,1,9,9,2,2,1,1,2,9,1,9,1,2,9,1,2,9,9,1,2,9,9,1,1,9,1,1,1,1,1,1,1,1,1,9,9,2,2,1,2,1,1,9,1,1,2,1,2,1,1,2,2
"Smith, Frank",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.02 - 1900.01.01 ,1871.02.02 , 1900.01.01 ,(Resignation),2,2,1,9,2,9,1,9,9,1,1,1,1,9,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,9,9,9,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,1
"Lewin, James Davies",Liberal Party of Canada,New Brunswick,"Mackenzie, Alexander",1876.11.10 - 1900.03.11 ,1876.11.10 , 1900.03.11 ,(Death),1,9,9,9,9,9,9,2,1,2,9,9,9,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"MacInnes, Donald",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1881.12.24 - 1900.12.02 ,1881.12.24 , 1900.12.02 ,(Death),9,9,9,9,9,9,1,1,9,1,9,2,1,2,9,9,2,2,9,9,9,9,1,2,2,2,1,9,9,2,2,2,2,2,2,2,2,2,2,9,2,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Reesor, David",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1901.01.01 ,1867.10.23 , 1901.01.01 ,(Resignation),1,9,2,9,1,9,9,9,9,9,2,2,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,9,9,9,2,1,1,2,2
"Ogilvie, Alexander Walker",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1881.12.24 - 1901.01.18 ,1881.12.24 , 1901.01.18 ,(Resignation),2,1,9,2,2,9,1,9,9,9,9,9,9,9,9,9,9,1,9,9,1,1,1,2,2,2,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,9,9,2,2,2,2,2,2,1,2,2,1,9
"McKindsey, George Crawford",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1884.01.11 - 1901.02.12 ,1884.01.11 , 1901.02.12 ,(Death),9,9,9,9,9,9,1,1,1,1,1,1,1,2,2,1,2,9,1,2,1,1,1,9,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1
"Almon, William Johnston",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1879.04.15 - 1901.02.18 ,1879.04.15 , 1901.02.18 ,(Death),2,1,1,1,9,9,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,2,2,2,1,1,1,9,9,9,9,9,9,9,2,2,2,2,1,2,2,2,2,2,1,1,1,9,2,9,9,9,9,9,9,9,9
"Allan, George William",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1901.07.24 ,1867.10.23 , 1901.07.24 ,(Death),2,2,1,2,1,9,1,1,9,1,2,2,2,9,9,9,9,9,9,9,2,1,2,1,1,1,2,9,9,2,2,2,2,2,2,2,2,1,1,1,2,9,2,2,1,2,9,9,2,2,2,2,2,2,1,2,2,1,1
"Clemow, Francis",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1885.02.03 - 1902.05.28 ,1885.02.03 , 1902.05.28 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,9,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,9,9,9,1,2,2,2,1,2,2,2,2,9,2,2,2,2,1,2,2,1,1
"O'Donohoe, John",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1882.05.21 - 1902.12.07 ,1882.05.21 , 1902.12.07 ,(Death),9,1,1,1,1,2,9,1,1,1,1,1,1,1,9,1,2,1,2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,9,2,9,9,9,9,1,1,9,1,1,2,1,2,1,2,2,2
"Armand, Joseph Franí_ois",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1903.01.01 ,1867.10.23 , 1903.01.01 ,(Death),2,2,1,1,1,1,1,1,9,1,2,2,2,9,2,9,1,9,1,2,2,1,2,9,1,9,9,9,9,1,9,9,1,1,1,1,1,1,1,1,2,9,9,2,9,1,9,1,2,9,1,1,2,1,2,1,1,2,2
"McCallum, Lachlin",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1887.02.04 - 1903.01.13 ,1887.02.04 , 1903.01.13 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Dickey, Robert Barry",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1903.07.14 ,1867.10.23 , 1903.07.14 ,(Death),9,2,1,2,2,9,1,2,1,2,1,1,2,9,2,1,2,1,9,9,1,2,9,9,9,9,9,1,1,2,2,2,2,2,2,1,2,2,2,2,9,1,2,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9
"Cochrane, Matthew Henry",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1872.10.17 - 1903.08.12 ,1872.10.17 , 1903.08.12 ,(Death),9,9,9,2,9,9,9,1,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,2,2,1,9
"Dever, James",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1904.05.07 ,1868.03.14 , 1904.05.07 ,(Death),2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,9,1,1,9,1,1,9,2,1,1,1,2,2,2,2,2,2,2,9,1,1,1,2,2,1,2,1,2,2,2,1,2,9,1,2,1,1,2,2,9,1
"Pelletier, Charles Alphonse Pantalí©on",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1877.02.02 - 1904.09.01 ,1877.02.02 , 1904.09.01 ,(Resignation),1,1,1,1,1,9,2,1,9,1,2,2,2,1,2,2,1,9,2,1,9,1,2,1,1,1,2,9,9,9,1,1,1,9,1,1,1,1,1,2,2,2,1,2,9,1,1,1,1,1,1,1,1,1,2,1,1,2,2
"Wark, David",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1905.08.20 ,1867.10.23 , 1905.08.20 ,(Death),1,1,2,2,2,1,2,2,1,2,2,2,2,1,9,9,9,9,2,1,2,2,2,1,1,1,2,2,2,1,1,1,9,9,9,1,9,1,1,2,2,1,1,9,9,2,2,1,1,1,2,1,9,1,2,1,1,2,1
"Vidal, Alexander",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1873.01.15 - 1906.11.18 ,1873.01.15 , 1906.11.18 ,(Death),2,1,1,2,2,9,1,1,1,1,2,2,1,2,2,1,9,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,1
"Gowan, James Robert",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1885.01.29 - 1907.02.01 ,1885.01.29 , 1907.02.01 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,2,2,1,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,9,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Casgrain, Charles EusíÂbe",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1887.01.12 - 1907.03.08 ,1887.01.12 , 1907.03.08 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Merner, Samuel",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1887.01.12 - 1908.08.11 ,1887.01.12 , 1908.08.11 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Thibaudeau, Joseph-Rosaire",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1878.01.04 - 1909.06.16 ,1878.01.04 , 1909.06.16 ,(Death),9,9,9,9,9,9,1,9,9,2,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"McKay, Thomas",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1881.12.24 - 1912.01.13 ,1881.12.24 , 1912.01.13 ,(Death),9,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,1,1,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,9,9,9,9,1
"Miller, William",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1912.02.23 ,1867.10.23 , 1912.02.23 ,(Death),2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,9,2,2,2,1,9,2,1,1
"Sullivan, Michael",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1885.01.29 - 1912.11.29 ,1885.01.29 , 1912.11.29 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,9,9,2,9,9,9,1,2,2,2,9,9,9,1,2,2,1,9
"Scott, Richard William",Liberal Party of Canada,Ontario,"Mackenzie, Alexander",1874.03.13 - 1913.04.23 ,1874.03.13 , 1913.04.23 ,(Death),2,1,2,9,1,1,2,1,1,1,2,2,2,2,2,9,1,2,2,1,9,9,2,1,1,1,2,2,2,1,1,1,1,9,1,1,9,1,1,2,9,9,9,9,9,9,9,2,1,1,1,1,2,1,2,1,9,2,2
"McMillan, Donald",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1884.01.11 - 1914.07.26 ,1884.01.11 , 1914.07.26 ,(Death),9,9,9,9,9,9,1,9,9,1,1,1,1,2,2,9,9,1,9,9,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,9,9,2,2,1,2,9,2,2,2,2,2,2,2,1,2,2,1,9
"Macdonald, William John",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1915.04.13 ,1871.12.13 , 1915.04.13 ,(Resignation),2,1,1,2,2,9,1,1,1,1,9,9,1,9,9,9,2,1,9,9,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,9,2,2,2,2,2,2,1,2,2,1,1
"Boucher de Boucherville, Charles EugíÂne",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1879.02.12 - 1915.09.11 ,1879.02.12 , 1915.09.11 ,(Death),2,1,1,1,1,2,1,1,1,1,2,2,2,9,9,2,9,9,9,9,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,9,2,2,1,2,2,2,2,1,9,2,1,9,9,9,9,9,9,9,9
"McDonald, William",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1884.05.12 - 1916.07.04 ,1884.05.12 , 1916.07.04 ,(Death),99,99,99,99,99,9,9,9,9,9,9,9,9,9,2,9,2,2,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,9,2,2,9,9,2,9,2,9,1,9,2,2,2,1,9,9,9,9,9,9,9,1
"Power, Lawrence Geoffrey",Liberal Party of Canada,Nova Scotia,"Mackenzie, Alexander",1877.02.02 - 1921.09.12 ,1877.02.02 , 1921.09.12 ,(Death),1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,9,1,1,1,1,1,2,9,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2
"Bolduc, Joseph",Nationalist Conservative,Quebec,"Macdonald, John Alexander",1884.10.03 - 1924.08.13 ,1884.10.03 , 1924.08.13 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,1,2,1,1,9,9,1,2,1,1,1,2,2,2,9,9,9,9,2,2,2,9,2,2,2,2,9,2,9,1,9,9,1,2,2,2,1,2,9,9,1
"Poirier, Pascal",Liberal-Conservative,New Brunswick,"Macdonald, John Alexander",1885.03.09 - 1933.09.25 ,1885.03.09 , 1933.09.25 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,2,9,2,1,2,2,2,1,1,2,1,9,1,2,2,2,2,2,2,1,9,9,2,2,9,1,2,9,9,9,1,9,2,9,9,1,9,9,1,1,9,1,1
