Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H06S1V001,H06S1V002,H06S1V003,H06S1V004,H06S1V005,H06S1V006,H06S1V007,H06S1V008,H06S1V009,H06S1V010,H06S1V011,H06S1V012,H06S1V013,H06S1V014,H06S1V015,H06S1V016,H06S1V017,H06S1V018,H06S1V019,H06S1V020,H06S1V021,H06S2V001,H06S2V002,H06S2V003,H06S2V004,H06S2V005,H06S2V006,H06S2V007,H06S2V008,H06S2V009,H06S2V010,H06S2V011,H06S2V012,H06S2V013,H06S2V014,H06S2V015,H06S2V016,H06S2V017,H06S2V018,H06S2V019,H06S3V001,H06S3V002,H06S3V003,H06S3V004,H06S3V005,H06S3V006,H06S3V007,H06S3V008,H06S3V009,H06S3V010,H06S3V011,H06S3V012,H06S3V013,H06S3V014,H06S3V015,H06S3V016,H06S3V017,H06S3V018,H06S3V019,H06S3V020,H06S3V021,H06S3V022,H06S3V023,H06S3V024,H06S3V025,H06S3V026,H06S3V027,H06S3V028,H06S3V029,H06S3V030,H06S3V031,H06S3V032,H06S3V033,H06S3V034,H06S3V035,H06S3V036,H06S3V037,H06S3V038,H06S3V039,H06S3V040,H06S3V041,H06S3V042,H06S3V043,H06S3V044,H06S3V045,H06S3V046,H06S4V001,H06S4V002,H06S4V003,H06S4V004,H06S4V005,H06S4V006,H06S4V007,H06S4V008,H06S4V009,H06S4V010,H06S4V011,H06S4V012,H06S4V013,H06S4V014,H06S4V015,H06S4V016,H06S4V017,H06S4V018,H06S4V019,H06S4V020,H06S4V021,H06S4V022,H06S4V023,H06S4V024,H06S4V025,H06S4V026,H06S4V027,H06S4V028,H06S4V029,H06S4V030,H06S4V031,H06S4V032,H06S4V033,H06S4V034,H06S4V035,H06S4V036
530,OXFORD SOUTH,Ontario,1867 - 1933,6,1887.02.22,466,221bfffd-b6d9-41fd-99ba-f08555304a71,"CARTWRIGHT, Sir R.J.",2099,0.6824,Liberal Party of Canada,"Author, banker, businessman",Protestant,0,6,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,9,9,1,2,9,2,2,1,2,9,9,9,1,1,2,2,1,2,9,2,1,1,2,1,9,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,9,1,2,1,9,1,9,1,2,9,1,1,1,2,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,9,1,1,2,9,9,2,9,2,9,9,9,1,2,1,2,2,1,9,2,1,2,2,1,9,1,1,1,1,1,9,9,1,1
208,ELGIN WEST,Ontario,1867 - 1933,6,1887.02.22,477,22d58154-634c-42ca-b52c-6c59b10242bf,"CASEY, George E.",2351,0.6075,Liberal Party of Canada,"Author, journalist",Protestant,0,5,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,1,1,1,2,9,2,2,2,2,9,9,9,1,1,2,2,9,2,9,2,1,1,2,1,9,1,9,9,9,9,9,1,1,1,1,1,1,1,2,1,1,1,2,9,2,1,2,1,2,9,1,1,1,2,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,9,1,1,1,1,2,1,9,1,2,2,1,2,9,2,1,9,1,2,1,2,2,1,9,9,9,1,1,1,9,9,1,1
164,CUMBERLAND,Nova Scotia,1867 - 1966,6,1887.02.22- and 1887.11.09-1888.05.22,503,24d7bdd8-53ef-4f57-a585-5c5b9effd3dd,"TUPPER, Sir Charles",2788,0.5452,Conservative (1867-1942),Physician,Protestant,0,6,,1,,,,,,,,Election declared void: — & Resignation. Re-appointed High Commissioner to Great Britain: 1888.05.22,,,9,9,9,9,1,2,9,9,2,2,1,9,9,9,9,9,9,9,1,2,1,2,9,9,9,2,9,2,2,2,2,1,2,1,2,2,9,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
7,ALBERTA (PROVISIONAL DISTRICT),Northwest Territories,,6,1887.02.22,514,25db2f52-da19-4643-8781-7158c85a7d3d,"DAVIS, D.W.",1037,0.5046,Conservative (1867-1942),Merchant,Protestant,0,1,,,,,,,,,United States,,,,1,1,1,2,1,2,2,1,2,2,1,2,1,9,1,1,2,2,9,2,1,2,2,1,1,2,1,2,9,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,9,1,2,1,2,1,2,2,1,2,2,2,2,1,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,2,1,2,1,2,1,9,2,9,9,9,1,1,1,9,2,9,2,2,2,1,2,2,2
268,HAMILTON,Ontario,1867 - 1903,6,1887.02.22,528,270a0631-dd1d-46db-95a7-74bd72c468bc,"MCKAY, Alex",3571,0.2559,Conservative (1867-1942),Grain merchant,Protestant,0,1,,,,,,,,,,,,,1,1,1,2,1,2,2,1,2,2,1,2,1,9,2,2,2,2,9,9,9,2,2,1,1,2,9,9,9,2,2,1,9,1,2,2,2,2,9,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,9,1,2,2,1,2,2,2,2,9,2,2,2,2,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,1,9,9,1,2,1,2,2,2,1,2,1,2,1,2,2,1,2,1,9,1,9,2,1,1,2,9,1,2,9,9,2,2,2,2,9,9,2,2
181,DORCHESTER,Quebec,1867 - 1966,6,1888.01.07,529,270d3a85-70e8-4d59-928f-4abe929ed460,"CHOUINARD, Honore-Julien-Jean-Baptiste",accl.,,Conservative (1867-1942),Railway company vice-president,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,2,9,1,1,9,9,9,9,9,9,9,9,9,9,9,1,9,1,1,1,1,1,9,9,9,9,9,2,1,9,1,9,9,2,2,1,2,9,9,9,9,9,9,9,9,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2,1,1,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9
441,MIDDLESEX NORTH,Ontario,1867 - 1914,6,1887.02.22,561,2917c61d-5901-4cf9-b168-8eac18cee7b0,"COUGHLIN, T.",2133,0.5337,Liberal-Conservative,Farmer,Catholic,0,3,,,,,,,,,,,,,2,2,2,1,1,9,2,1,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,1,2,9,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,9,9,9,2,9,2,9,2,2,9,2,2,2,9,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,2,2,2,2,1,2,9,2,1,1,9,9,2,1,2,1,1,2,2,2,2,2,2,2,9,1,2,2,2,2,1,2,2,2
309,IBERVILLE,Quebec,1867 - 1892,6,1887.02.22,590,2b8629c1-6e3d-45ef-84c5-f9bd80ecb59a,"BECHARD, Francois",accl.,,Liberal Party of Canada,Farmer,Fr.Catholic,1,6,,,,,,,,,,,,,2,2,2,1,2,1,1,2,9,1,1,1,2,2,2,2,1,2,2,2,2,9,1,2,2,1,2,9,9,1,1,9,1,2,1,1,1,1,1,1,1,1,1,1,1,9,1,2,1,9,2,1,1,2,1,2,1,2,2,1,1,1,1,1,9,9,9,9,9,1,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,2,9,1,2,1,1,2,1,2,2,1,1,9,9,2,2,1,1,1
374,LAPRAIRIE,Quebec,1867 - 1892,6,1887.02.22,593,2bb3d380-02bf-4dd8-9259-d9a7c2a62ce7,"DOYON, Cyrille",917,0.5064,Independent Liberal,"Farmer, merchant",Fr.Catholic,1,1,,,,,,,,,,,,,2,2,2,1,2,9,1,2,1,2,1,1,2,9,2,2,1,2,2,2,2,1,1,2,2,1,2,1,2,1,1,2,9,9,9,1,1,1,1,1,1,1,1,1,1,1,2,2,1,9,1,2,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,1,2,1,2,1,1,2,1,1,9,1,2,2,1,9,1,1,2,2,2,1,9
51,BONAVENTURE,Quebec,1867 - 1971,6,1887.02.22,595,2bf584c9-54db-4135-a7f6-2104564db0dc,"RIOPEL, Louis-Joseph",1352,0.5763,Conservative (1867-1942),"Lawyer, notary, public servant",Fr.Catholic,1,2,,,,,,,,,,,,,2,2,2,1,1,2,2,1,2,2,1,2,1,9,9,9,2,2,2,9,9,9,2,1,1,9,1,9,9,9,2,1,9,9,2,2,2,2,2,2,2,2,2,2,9,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,9,9,9,2,2,9,2,2,9,9,2,2,2,2,2,2,2,2,2,9,2,9,1,9,9,2,2,1,1,2,1,2,9,9,9,9,2,1,9,1,9,2,2,1,2,9,1,2,9,9,2,2,2,9,1,1,9,9
335,KING'S,New Brunswick,1867 - 1903,6,1887.02.22,604,2cf93f16-ac02-4963-ae74-f74b1cb23251,"FOSTER, Hon. Geo. E.",2237,0.5594,Conservative (1867-1942),"Professor, teacher",Protestant,0,2,,1,,,,,,,,,,,1,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,1,1,9,9,2,2,1,1,2,9,9,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,9,2,2,1,2,2,1,2,9,2,9,2,2,9,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,9,9,9,2,2,2,9,9,2,2,2,2,1,1,2,2
650,SAINT MAURICE,Quebec,1867 - 1892,6,1887.02.22,629,2f0b3543-efd4-4609-ab80-4954f3eeccb7,"DESAULNIERS, Frs. S.",918,0.5851,Conservative (1867-1942),"Author, editor, lawyer",Fr.Catholic,1,1,,,,,,,,,,,,,9,9,9,9,9,9,9,9,2,2,1,2,1,2,1,1,1,2,9,2,2,2,2,1,1,9,1,2,9,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,2,1,2,2,2,2,2,2,9,2,9,9,9,2,2,9,2,2,2,9,9,9,2,2,2,2,2,2,2,1,2,2,1,9,9,9,2,1,1,2,1,2,9,1,1,2,9,9,9,1,1,2,9,9,9,1,1,1,9,9,9,9,9,2,9,9,2,2
442,MIDDLESEX SOUTH,Ontario,1882 - 1903,6,1887.02.22,649,301fec8d-a501-441c-853c-7862842685b2,"ARMSTRONG, James",1782,0.5657,Liberal Party of Canada,Farmer,Protestant,0,2,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,2,1,1,2,1,2,2,2,9,2,1,2,1,1,2,9,1,2,1,9,1,9,9,1,2,1,9,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,9,9,9,1,2,1,9,9,9,1,2,9,2,2,1,9,1,1,1,1,9,2,1,1,1
65,BRANT NORTH,Ontario,1867 - 1892,6,1887.02.22,655,30d6930b-f006-4863-9b1d-294976a71146,"SOMERVILLE, James",1660,0.7699,Liberal Party of Canada,"Journalist, newspaper editor, newspaper owner",Protestant,0,2,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,2,1,1,2,1,2,2,1,1,9,9,9,1,1,2,9,1,2,2,2,1,1,2,1,2,1,1,1,1,9,1,1,1,1,1,1,9,2,1,2,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,1,2,2,1,2,1,2,9,1,1,2,1,2,2,1,1,2,9,1,1,1,2,1,9,1
311,INVERNESS,Nova Scotia,1867 - 1933,6,1887.02.22,679,321fe155-5bac-4b4d-92e4-06832e57d969,"CAMERON, Hugh",1913,0.5668,Conservative (1867-1942),Physician,Catholic,0,3,,,,,,,,,,,,,2,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,9,9,2,2,1,1,2,1,2,2,2,2,1,2,9,9,2,2,2,9,9,2,2,2,2,2,2,2,2,2,2,1,2,9,1,2,1,2,2,9,2,2,2,9,2,2,9,9,2,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,2,2,9,1,2,1,2,1,9,9,9,2,1,2,1,1,2,2,1,2,2,2,2,9,1,2,2,2,2,9,1,9,9
777,VICTORIA,British Columbia,1872 - 1903,6,1889.10.28,701,33521008-6e57-4192-9463-187873f6fb54,"EARLE, Thomas",accl.,,Conservative (1867-1942),"Businessman, store manager",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,9,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,9,9,2,2
432,MEGANTIC,Quebec,1867 - 1933,6,1887.02.22,705,338a9ad4-ea8b-4a5e-aee4-4ffce52bb79b,"TURCOT, Geo.",1471,0.524,Liberal Party of Canada,Merchant,Fr.Catholic,1,1,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,9,2,2,1,1,2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,9,1,2,2,2,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2,1,1,1,1,9,2,1,9,9,9,9,1,2,9,2,9,1,9,9,9,1,1,1,9,9,9,9,9,2,9,9,1,1
228,FRONTENAC,Ontario,1867 - 1924,6,1887.02.22,725,3550a98c-e921-48ae-a874-12b2e2dc96d5,"KIRKPATRICK, George Airey",1192,0.6057,Conservative (1867-1942),Lawyer,Protestant,0,6,,,,,,,,,,,,,9,9,9,9,9,2,2,1,2,2,1,9,9,9,2,2,2,2,9,9,9,2,2,1,1,1,9,9,2,2,9,9,9,1,2,2,2,2,9,2,9,2,2,2,2,9,9,9,9,2,2,1,2,1,2,2,2,2,1,2,2,9,2,2,9,2,2,2,2,9,2,2,2,9,2,2,9,9,9,2,2,2,2,1,9,9,1,2,9,2,1,2,1,1,1,2,2,2,2,1,2,1,2,9,9,2,9,9,9,2,1,2,9,9,2,2,2,2,1,2,9,9
756,VANCOUVER,British Columbia,1872 - 1903,6,1887.02.22,734,3592bb20-53b4-4226-9478-75788143a244,"GORDON, D.W.",713,0.6053,Liberal-Conservative,"Builder, contractor",Protestant,0,2,,,,,,,,,,,,,1,1,1,9,1,2,2,1,2,2,1,2,1,9,2,2,2,2,1,9,9,2,2,1,1,2,1,2,9,2,2,1,9,1,2,2,2,2,2,2,2,2,2,2,2,2,9,2,1,2,9,9,2,1,2,1,2,2,9,2,2,2,2,2,9,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,9,9,9,2,9,1,2,1,2,2,2,1,2,1,2,2,2,2,1,9,9,2,1,9,2,2,2,9,2,1,1,9,9,9,9,9,9,1,2,2,9
80,BRUCE NORTH,Ontario,1867 - 1933,6,1887.02.22,737,35aae345-273d-4108-88af-902e87ffd3fe,"MCNEILL, Alexander",1796,0.5162,Liberal-Conservative,Lawyer,Protestant,0,2,,,,,,,,,Ireland,,,,1,1,1,2,1,2,2,1,9,2,1,2,1,1,2,2,2,2,9,1,1,2,2,1,1,2,1,9,2,2,2,1,9,1,2,2,9,2,2,2,2,2,2,2,2,9,9,9,9,2,2,1,2,1,2,1,2,1,9,2,2,2,2,2,2,2,2,9,2,2,9,2,2,2,9,2,2,2,2,9,9,2,2,1,2,9,1,2,1,2,2,2,2,9,1,2,1,2,2,1,2,2,2,1,9,2,2,2,9,9,1,2,9,1,2,2,2,1,1,9,2,2
678,SHELBURNE,Nova Scotia,1867 - 1892,6,1887.12.15- and 1888.10.22,752,36f110a2-16a2-44f7-b51d-32f64d482a11,"LAURIE, John Wimburne",1083,0.5019,Conservative (1867-1942),Soldier,Protestant,0,1,,,,,,,,,England,Election declared void : 1887.12.15,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,9,2,1,2,2,2,2,1,2,1,2,2,2,2,9,9,2,2,1,2,2,2,9,2,1,2,2,1,2,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,1,9,1,2,2,2,2,1,2,1,2,1,2,9,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2
475,NAPIERVILLE,Quebec,1867 - 1892,6,1890.12.09,760,37ef9b97-c7ea-4c2b-90ec-df7778325366,"PARADIS, Francois-Xavier",accl.,,Conservative (1867-1942),"Farmer, merchant",Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
157,COMPTON,Quebec,1867 - 1947,6,1887.02.22-1889.04.01,763,381528b7-e175-4b97-b9ec-c869e5b4b4c3,"POPE, J.H.",2157,0.6181,Liberal-Conservative,"Promoter, speculator",Protestant,0,6,,,,,,,,,,Died in office: 1889.04.01,,,1,1,1,9,1,2,2,1,2,2,1,9,9,9,1,1,2,2,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
37,BEAUHARNOIS,Quebec,1867 - 1933,6,1887.02.22,782,3910a438-5fde-4091-939f-2fcdb64be7ff,"BERGERON, J.G.H.",1432,0.542,Independent Conservative,Lawyer,Fr.Catholic,1,3,,,,,,,,,,,,,2,2,2,1,1,2,2,1,2,2,1,9,9,9,2,1,1,2,9,2,2,2,2,1,9,1,1,2,1,2,2,1,2,9,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,9,2,2,2,2,2,9,2,2,1,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,9,2,2,2,2,1,1,2,1,2,1,1,1,2,2,1,9,1,9,2,2,1,2,2,1,2,2,1,9,9,9,2,9,9,2,2
383,LAVAL,Quebec,1867 - 1914,6,1887.02.22,811,3b439282-558f-41b7-8ca0-55b642ce12a9,"OUIMET, Jos. Alderic",854,0.6153,Liberal-Conservative,Lawyer,Fr.Catholic,1,5,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
777,VICTORIA,British Columbia,1872 - 1903,6,1888.01.23,815,3b8f0b3f-f800-4809-a535-8af37ce3a2c2,"PRIOR, Edward Gawler",accl.,,Conservative (1867-1942),"Land surveyor, merchant, mining engineer",Protestant,0,1,,,,,,,,,England,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,1,9,9,2,1,2,2,1,9,9,2,2,2,2,2,2,9,2,2,2,2,9,1,2,9,9,1,2,2,9,2,1,2,2,1,2,2,9,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,9,9,1,2,2,2,1,2,1,2,9,2,2,1,2,1,2,1,9,2,9,9,9,1,1,1,1,2,9,2,2,9,9,9,9,9
147,CITY OF ST. JOHN,New Brunswick,1867 - 1914,6,1887.02.22,816,3bc69987-22a5-4ff7-9eb5-fa7a40b7df59,"ELLIS, John V.",2375,0.5235,Liberal Party of Canada,"Author, editor, journalist",Protestant,0,1,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,1,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,2,2,2,1,1,2,1,1,9,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,2,2,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,9,1,1,2,1,1,2,2,1,2,1,2,1,2,2,1,2,1,2,2,1,9,9,1,2,1,1,1,2,1,1,1,2,2,2,1,1
566,PRINCE COUNTY,Prince Edward Island,1873 - 1892,6,1887.02.22,833,3cc08a0d-b6a3-40fa-9b80-99402795a735,"YEO, James",3184,0.276,Liberal Party of Canada,"Merchant, shipbuilder, shipowner",Protestant,0,5,,,,,,,,,,,,,2,2,2,1,2,9,1,2,2,1,1,1,2,2,2,2,1,1,9,9,9,1,9,9,9,9,2,2,9,1,1,2,1,9,9,9,9,9,9,9,1,1,1,1,1,9,2,2,2,1,1,2,1,9,1,2,1,2,2,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,9,2,1,2,1,1,9,9,9,9,2,1,2,9,1,9,1,9,2,2,1,9,9,1,9,9,9,9,9,9,9
458,MONTMORENCY,Quebec,1867 - 1914,6,1890.07.25,845,3ded6898-0b33-4482-aef0-2e45a6625e27,"DESJARDINS, Louis-Georges",accl.,,Conservative (1867-1942),"Author, editor, journalist",Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
518,OTTAWA (CITY OF),Ontario,,6,1890.04.26,867,3eda5982-6ab7-46f1-8060-5154f5acd871,"MACKINTOSH, Charles Herbert",2454,0.4636,Conservative (1867-1942),"Author, editor, journalist",Protestant,0,2,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,2,9
846,YORK NORTH,Ontario,1867 - 2003,6,1887.02.22,879,3fbbf99b-cf52-4821-bdc6-2ec9565a294a,"MULOCK, William",2526,0.531,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,,,,,2,2,2,1,2,1,1,2,9,9,9,1,2,9,2,2,1,1,9,9,9,9,1,2,2,9,9,9,9,1,9,9,9,1,9,1,1,1,9,9,1,9,9,9,9,2,2,2,2,1,1,2,9,1,1,2,1,2,1,1,1,1,9,9,9,9,9,9,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,9,9,2,1,2,1,2,9,9,9,1,9,1,2,2,9,2,2,1,2,1,9,9,9,9,1,1,1,2,2,9,9
5,ALBERT,New Brunswick,1867 - 1903,6,1887.02.22,881,3fe08c60-be49-4d41-9a65-aa189f4e7476,"WELDON, R.C.",1047,0.5315,Conservative (1867-1942),"Lawyer, professor",Protestant,0,1,,,,,,,,,,,,,9,9,9,9,9,2,2,1,2,2,1,2,1,9,2,2,1,1,1,2,1,2,2,1,9,2,1,9,9,2,2,1,2,1,2,2,9,9,9,9,9,9,9,9,2,9,9,9,9,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,9,9,9,9,9,2,2,2,1,9,2,2,2,1,2,2,2,1,9,9,2,1,2,9,1,2,1,1,9,2,2,2,1,9,2,2
407,LOTBINIERE,Quebec,1867 - 2000,6,1887.02.22,891,40dfba85-d6b8-4d7d-bedc-56534752c586,"RINFRET, Come-Isaie",1464,0.6052,Liberal Party of Canada,Physician,Fr.Catholic,1,3,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,1,1,1,2,9,9,9,9,2,2,2,2,1,1,2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,9,1,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,1,9,2,1,1,1,1,9,2,1,1,1,2,2,1,2,9,2,9,1,2,1,1,2,2,1,9,9,9,1,1,2,9,9,1,1
339,KINGS,Nova Scotia,1867 - 1924,6,1887.02.22,894,40fc41ed-f3f0-41b5-bb07-da9a6af9d52f,"BORDEN, F.W.",1970,0.5641,Liberal Party of Canada,Physician,Protestant,0,3,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,1,1,1,2,9,2,2,1,1,9,9,9,9,1,2,9,1,1,9,2,1,9,9,9,9,1,9,9,9,9,9,1,1,1,1,1,9,2,2,2,1,2,1,1,9,1,2,1,2,9,1,9,1,2,1,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,1,1,2,1,9,2,9,2,1,2,2,1,2,1,2,2,9,2,1,1,2,1,1,9,9,1,1,1,2,2,1,9,9
