Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S17S2V01,S17S2V02,S17S2V03,S17S2V04,S17S2V05,S17S3V01,S17S3V02,S17S3V03,S17S4V01,S17S4V02,S17S4V03,S17S4V04,S17S5V01,S17S5V02,S17S5V03,S17S5V04,S17S5V05,S17S5V06
"Lí©ger, Antoine Joseph",Conservative (1867-1942),New Brunswick,"Bennett, Richard Bedford",1935.08.14 - 1950.04.07 ,1935.08.14 , 1950.04.07 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Jones, George Burpee",Conservative (1867-1942),New Brunswick,"Bennett, Richard Bedford",1935.07.20 - 1950.04.27 ,1935.07.20 , 1950.04.27 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Mullins, Henry Alfred",Conservative (1867-1942),Manitoba,"Bennett, Richard Bedford",1935.08.14 - 1950.09.05 ,1935.08.14 , 1950.09.05 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Ballantyne, Charles Colquhoun",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1932.02.03 - 1950.10.19 ,1932.02.03 , 1950.10.19 ,(Death),99,99,99,99,99,2,9,1,9,9,9,1,2,1,9,2,1,1
"Paquet, EugíÂne",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1935.08.14 - 1951.05.08 ,1935.08.14 , 1951.05.08 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Moraud, Lucien",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1933.12.30 - 1951.05.29 ,1933.12.30 , 1951.05.29 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,1,9,9
"Aylesworth, Allen Bristol",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1923.01.11 - 1952.02.13 ,1923.01.11 , 1952.02.13 ,(Death),2,9,9,1,1,1,2,2,2,1,1,2,1,1,1,1,9,9
"Bourque, Thomas-Jean",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1917.01.20 - 1952.02.16 ,1917.01.20 , 1952.02.16 ,(Death),2,9,2,9,2,1,1,1,2,1,9,9,1,9,2,1,9,9
"Lacasse, Joseph-Henri-Gustave",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1928.01.10 - 1953.01.18 ,1928.01.10 , 1953.01.18 ,(Death),2,1,9,9,2,1,2,2,9,9,1,9,1,1,1,1,2,2
"Dennis, William Henry",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1932.02.03 - 1954.01.18 ,1932.02.03 , 1954.01.18 ,(Death),99,99,99,99,99,1,9,9,9,9,9,9,1,1,2,1,9,9
"Buchanan, William Ashbury",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1925.09.05 - 1954.07.11 ,1925.09.05 , 1954.07.11 ,(Death),1,2,1,1,9,2,1,9,9,2,9,9,2,1,2,2,9,9
"King, James Horace",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1930.06.07 - 1955.07.14 ,1930.06.07 , 1955.07.14 ,(Death),1,9,1,9,9,9,9,2,1,9,9,9,9,1,1,2,2,2
"Fallis, Iva Campbell",Conservative (1867-1942),Ontario,"Bennett, Richard Bedford",1935.07.20 - 1956.03.07 ,1935.07.20 , 1956.03.07 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Calder, James Alexander",Conservative (1867-1942),Saskatchewan,"Meighen, Arthur",1921.09.22 - 1956.07.20 ,1921.09.22 , 1956.07.20 ,(Death),9,9,9,9,9,2,9,9,2,1,1,9,1,1,1,1,1,1
"McGuire, William Henry",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1926.12.20 - 1957.10.31 ,1926.12.20 , 1957.10.31 ,(Death),1,2,9,1,2,2,2,2,1,2,2,9,2,2,2,2,9,9
"Marcotte, Arthur",Conservative (1867-1942),Saskatchewan,"Bennett, Richard Bedford",1931.07.06 - 1958.08.18 ,1931.07.06 , 1958.08.18 ,(Death),99,99,9,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1
"Quinn, Felix Patrick",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1935.07.20 - 1961.03.28 ,1935.07.20 , 1961.03.28 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Haig, John Thomas",Conservative (1867-1942),Manitoba,"Bennett, Richard Bedford",1935.08.14 - 1962.01.17 ,1935.08.14 , 1962.01.17 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Wilson, Cairine Reay",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1930.02.15 - 1962.03.03 ,1930.02.15 , 1962.03.03 ,(Death),9,2,1,9,9,2,9,9,1,2,2,9,2,9,9,9,2,9
"Hardy, Arthur Charles",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1922.02.10 - 1962.03.13 ,1922.02.10 , 1962.03.13 ,(Death),9,2,1,1,2,2,1,2,9,9,9,9,9,2,2,2,2,9
"Raymond, Donat",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1926.12.20 - 1963.06.05 ,1926.12.20 , 1963.06.05 ,(Death),9,9,1,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9
"Horner, Ralph Byron",Conservative (1867-1942),Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1964.12.14 ,1933.12.30 , 1964.12.14 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,1,9,9,9,1,1
"Aseltine, Walter Morley",Conservative (1867-1942),Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1971.03.31 ,1933.12.30 , 1971.03.31 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,1,1,2,1,1,1
