Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H14S1V001,H14S1V002,H14S1V003,H14S1V004,H14S1V005,H14S1V006,H14S1V007,H14S1V008,H14S1V009,H14S1V010,H14S1V011,H14S1V012,H14S1V013,H14S2V001,H14S2V002,H14S2V003,H14S2V004,H14S2V005,H14S2V006,H14S2V007,H14S2V008,H14S2V009,H14S2V010,H14S2V011,H14S2V012,H14S2V013,H14S2V014,H14S2V015,H14S2V016,H14S2V017,H14S2V018,H14S2V019,H14S2V020,H14S2V021,H14S2V022,H14S2V023,H14S2V024,H14S3V001,H14S3V002,H14S3V003,H14S3V004,H14S3V005,H14S3V006,H14S3V007,H14S3V008,H14S3V009,H14S3V010,H14S3V011,H14S3V012,H14S3V013,H14S3V014,H14S3V015,H14S3V016,H14S3V017,H14S3V018,H14S3V019,H14S3V020,H14S4V001,H14S4V002,H14S4V003,H14S4V004,H14S4V005,H14S4V006,H14S4V007,H14S4V008,H14S4V009,H14S4V010,H14S4V011,H14S4V012,H14S4V013,H14S4V014,H14S4V015,H14S4V016,H14S4V017,H14S4V018,H14S4V019,H14S4V020,H14S4V021,H14S4V022,H14S4V023,H14S4V024,H14S4V025,H14S4V026,H14S4V027,H14S4V028
677,SHEFFORD,Quebec,1867 - ,14,1921.12.06,440,20153f1d-4d12-4d52-b34f-744ffb0e1cd0,"BOIVIN, George Henri",6318,0.7056,Liberal Party of Canada,Lawyer,Fr.Catholic,1,3,,,,,,,,,,,,,2,9,2,9,2,1,1,9,9,2,1,1,2,2,2,9,9,9,2,2,9,9,1,9,9,2,1,2,1,2,2,2,2,2,1,9,9,2,9,1,2,9,2,1,9,9,2,2,1,1,1,2,2,2,2,9,2,9,9,2,2,2,9,9,9,9,2,1,9,9,9,2,1,9,2,9,9,9,9,2,9,2,1,1,9
836,YAMASKA,Quebec,1867 - 1933,14,1921.12.06,455,212572eb-4fe5-4eef-8f4b-e193f8ac082a,"BOUCHER, Aime",4130,0.6265,Liberal Party of Canada,Notary,Fr.Catholic,1,2,,,,,,,,,,,,,2,9,2,9,2,1,1,9,1,2,1,1,2,2,2,9,2,1,2,2,2,1,1,2,1,2,1,2,1,2,2,9,2,2,1,2,2,2,1,1,2,9,2,1,9,1,9,9,9,9,1,2,2,2,2,2,2,2,9,2,1,2,1,1,2,9,2,1,1,1,2,2,1,9,2,1,1,1,2,2,9,2,9,1,9
394,LETHBRIDGE,Alberta,1914 - 1977,14,1921.12.06,566,29612186-3b57-4a50-befd-ae4084917f56,"JELLIFF, Lincoln Henry",4961,0.4925,Progressive,"Farmer, insurance advisor, lawyer",Protestant,0,1,,,,,,,,,United States,,,,2,2,1,1,2,2,1,1,2,2,2,9,2,1,1,9,1,2,1,9,9,9,2,9,1,1,2,2,1,1,1,1,1,9,9,2,2,2,1,2,2,2,2,1,2,9,2,2,1,1,2,1,1,2,1,9,2,1,9,1,2,9,9,2,1,9,2,1,2,2,9,2,1,2,2,2,2,2,1,9,9,1,1,9,9
138,CHARLOTTE,New Brunswick,1867 - 1966,14,1921.12.06,574,2a17a0bf-d088-4fe1-b6a8-333ec303eb19,"GRIMMER, Robert Watson",5202,0.5065,Conservative (1867-1942),Merchant,Protestant,0,1,,,,,,,,,,,,,1,2,2,9,1,2,2,9,1,1,2,9,1,1,2,2,2,2,9,2,9,2,2,1,2,2,2,2,2,2,2,2,2,2,9,1,1,1,2,2,2,2,2,2,9,2,1,9,2,2,2,2,9,2,2,9,9,9,2,1,1,1,2,2,9,9,1,2,9,1,1,1,2,2,1,9,2,2,1,9,9,9,9,9,9
393,LENNOX AND ADDINGTON,Ontario,1903 - 1924,14,1921.12.06,584,2ada4941-6de4-470d-9551-bc1a90b81d66,"SEXSMITH, Edward James",4735,0.5069,Progressive,"Farmer, gentleman, minister",Protestant,0,1,,,,,,,,,,,,,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,9,1,1,2,2,9,9,2,1,9,9,2,1,9,9,9,1,9,1,9,9,2,1,2,1,2,2,1,9,9,2,2,1,1,2,9,9,9,9,2,9,9,2,1,2,1,1,1,1,9,2,1,1,2,9,2,1,2,2,9,2,2,1,9,2,2,1,9,9
779,VICTORIA,Alberta,1907 - 1924,14,1921.12.06,597,2c4fde50-eb86-4288-a3d6-0ecb43786cf0,"LUCAS, William Thomas",11402,0.8093,United Farmers of Alberta,Farmer,Protestant,0,1,,,,,,,,,,,,,2,1,1,1,2,2,2,1,2,2,2,1,2,1,1,1,1,2,1,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,9,1,2,2,9,2,1,9,2,1,2,9,2,2,1,9,2,9,1,1,1,9,2,1,9,1,1,1,1,2,1,9,2,1,9,2,1,2,2,1,2,2,2,2,1,1,9,1,1,2,1
274,HANTS,Nova Scotia,1867 - 1924,14,1921.12.06,620,2e260e8b-f807-4883-bc18-86ae7402eaec,"MARTELL, Lewis Herbert",4027,0.4568,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,2,9,2,1,2,1,9,1,1,2,1,9,2,2,2,2,2,1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,2,1,9,2,9,2,9,1,2,9,2,1,2,9,2,9,1,1,1,2,2,2,2,2,9,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2,1,9,2,1,1,1,1,9,9,9,9,9,9
350,L'ASSOMPTION--MONTCALM,Quebec,1914 - 1933,14,1921.12.06,647,2ff96afc-2249-42e1-9fc3-90e92c1d91e0,"SÛGUIN, Paul-Arthur",7408,0.76,Liberal Party of Canada,Notary,Fr.Catholic,1,4,,,,,,,,,,,,,2,9,2,2,2,1,9,1,9,2,1,1,2,2,2,2,2,1,2,2,2,9,9,2,1,2,1,2,1,9,9,9,2,2,9,2,2,2,1,1,2,9,2,1,2,1,2,2,1,1,9,2,2,9,9,2,9,2,9,2,1,9,1,9,2,9,2,1,9,1,2,2,1,2,2,1,1,1,2,9,2,9,1,1,2
130,CHAMBLY--VERCHERES,Quebec,1893 - 1933,14,1921.12.06,648,3012525e-b75c-4c87-89d8-4c9c7330e136,"ARCHAMBAULT, Joseph",8847,0.6461,Liberal Party of Canada,Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,2,1,2,9,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,9,9,1,9,2,1,2,1,2,1,9,9,9,2,1,9,9,9,2,1,1,2,9,2,1,2,9,2,2,1,9,9,9,2,9,9,9,9,9,9,2,1,2,1,9,9,1,9,9,1,1,9,2,1,9,2,9,9,9,9,2,2,9,1,1,9
697,SPRINGFIELD,Manitoba,1914 - 1966,14,1921.12.06,658,311a2358-ec2a-4034-a3f3-b0e956510892,"HOEY, Robert Alexander",5779,0.4662,Progressive,Organizer,Protestant,0,1,,,,,,,,,Ireland,,,,2,1,1,1,2,2,1,2,2,2,2,2,2,1,1,9,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,9,2,1,2,1,1,2,1,2,9,2,1,9,1,2,1,1,1,1,1,9,1,2,1,2,1,1,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,1,1,2,1,1,9,1
559,PORTAGE LA PRAIRIE,Manitoba,1903 - 1947,14,1921.12.06,672,31caaca0-4621-41f8-bfe9-f6857896dea1,"LEADER, Harry",4314,0.5022,Progressive,"Exporter, farmer, rancher",Protestant,0,1,,,,,,,,,,,,,2,9,1,1,2,2,1,2,2,2,2,9,2,1,1,9,1,2,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,9,2,1,9,2,1,2,9,2,2,1,1,2,1,9,9,9,9,9,1,2,9,9,9,1,1,9,9,9,9,1,2,1,2,2,1,2,2,2,2,1,1,1,1,1,2,9
44,BELLECHASSE,Quebec,1867 - 1996,14,1921.12.06,688,329d25ef-2eba-400a-8105-2bf4bef49bfd,"FOURNIER, Charles-Alphonse",5195,0.8241,Liberal Party of Canada,Pharmacist,Fr.Catholic,1,2,,,,,,,,,,,,,2,2,2,9,2,1,1,1,1,2,1,1,2,2,2,2,9,1,2,9,2,9,9,2,1,2,1,2,1,9,9,9,9,9,9,2,2,2,1,1,2,2,9,9,2,1,2,2,1,1,1,2,9,9,9,9,2,2,1,2,1,2,1,9,9,9,2,1,1,1,2,2,1,2,2,1,1,1,2,2,2,2,1,1,9
702,ST. JOHN--ALBERT,New Brunswick,1914 - 1966,14,1921.12.06-1925.07.23,692,32f9f2b3-83a5-460d-be43-fe48135eb0ab,"BAXTER, Hon. John Babington",11646,0.2598,Conservative (1867-1942),"Lawyer, lecturer",Protestant,0,1,,,,,,,,,,Resignation. Enters provincial politics in New Brunswick: 1925.07.23,,,1,2,2,2,9,9,9,9,1,1,2,2,1,1,2,2,9,9,2,2,1,2,2,1,2,2,2,9,9,2,2,2,2,2,2,1,1,1,2,9,9,9,2,2,9,2,1,9,9,9,9,2,9,9,9,9,9,1,2,9,9,9,9,2,1,9,9,9,9,1,9,9,9,9,1,2,2,1,1,9,9,9,9,9,9
587,QUEEN'S,Prince Edward Island,1903 - 1966,14,1921.12.06,715,34308596-a425-4112-b653-9ed571725dc0,"SINCLAIR, John Ewen",7367,0.242,Liberal Party of Canada,Farmer,Protestant,0,2,,1,,,,,,,,,,,2,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,9,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,9,2,2,2,1,1,2,2,2,1,2,9,2,2,1,1,1,2,2,9,2,2,2,1,1,2,1,2,1,1,2,1,2,1,1,1,2,2,1,9,2,1,9,9,9,9,2,2,1,1,2
423,MAPLE CREEK,Saskatchewan,1914 - 1952,14,1921.12.06,722,34be173b-14a6-4825-ae31-976d2f3bea27,"MCTAGGART, Neil Hamon",13344,0.7842,Progressive,Farmer,Protestant,0,1,,,,,,,,,,,,,2,2,1,1,2,2,1,9,2,1,2,9,2,1,1,1,1,1,9,2,9,1,9,9,9,1,2,2,2,1,1,1,1,9,1,1,9,2,1,2,2,9,2,1,2,9,2,2,1,1,2,2,9,2,9,2,2,1,1,1,1,9,1,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1,2,1,1,2,9
266,HALTON,Ontario,1867 - 1987,14,1921.12.06,744,3624878e-997f-42b3-9c67-995f7259584c,"ANDERSON, Robert King",5264,0.4332,Conservative (1867-1942),"Physician, teacher",Protestant,0,2,,,,,,,,,,,,,1,2,9,2,9,2,2,9,9,1,2,9,1,1,2,2,2,2,2,2,9,2,2,1,9,2,2,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,9,9,1,9,2,2,9,9,9,2,2,9,9,1,9,2,1,2,9,2,9,9,9,9,9,9,1,1,2,9,1,2,2,2,1,9,2,2,2,2,1
768,VAUDREUIL--SOULANGES,Quebec,1914 - 1966,14,1922.03.21,749,36a43f91-eeab-483b-975e-323f7250b9fe,"OUIMET, Joseph-Rodolphe",accl.,,Liberal Party of Canada,Notary,Fr.Catholic,0,1,,,,,,,,,,,,,2,9,2,1,2,1,1,1,9,2,1,1,2,9,9,2,2,1,2,9,2,1,1,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,9,1,2,9,2,1,9,9,2,2,1,1,9,2,2,2,9,2,2,2,9,2,1,2,1,1,2,1,2,1,1,1,2,2,1,2,2,1,1,1,2,2,9,2,1,1,9
858,YUKON,Yukon,1902 - 1947,14,1921.12.06,755,3738c10d-d188-441d-ad40-3689553b373a,"BLACK, George",707,0.5112,Conservative (1867-1942),"Barrister, lawyer",Protestant,0,1,,,,,,,,,,,,,1,2,2,2,1,2,2,9,1,1,2,9,1,1,2,2,2,2,2,2,2,9,9,1,2,2,2,2,2,9,9,9,9,9,9,2,1,1,2,2,2,9,2,2,9,9,1,9,2,2,2,1,9,9,1,9,2,1,2,9,9,9,2,2,9,9,9,9,2,1,1,1,2,2,1,9,2,2,1,9,1,9,1,1,1
530,OXFORD SOUTH,Ontario,1867 - 1933,14,1921.12.06,790,39733e89-5c63-44ea-a981-bc71336702b7,"SUTHERLAND, Donald",4476,0.3994,Conservative (1867-1942),Farmer,Protestant,0,3,,,,,,,,,,,,,1,9,9,9,1,2,9,1,1,1,2,2,1,1,2,2,2,2,9,2,2,9,9,1,9,2,2,2,1,2,2,2,2,2,9,2,1,1,9,9,9,9,2,9,1,1,1,9,2,2,1,2,2,2,9,2,9,9,2,1,2,1,2,2,1,2,1,2,9,1,1,1,2,9,1,2,2,2,1,1,2,2,2,2,9
614,RIMOUSKI,Quebec,1867 - 1980,14,1921.12.06-1924.07.19,796,3a13035c-13d2-40f7-a5e0-ed8a943a7c31,"D'ANJOU, Joseph-Emile-Stanislas-Emmanuel",6363,0.8361,Liberal Party of Canada,"Insurance agent, insurance agent, insurance broker, insurance broker",Fr.Catholic,1,2,,,,,,,,,,Resignation. To allow Eugène Fiset to run for office: 1924.07.19,,,2,9,2,1,2,1,1,1,1,2,1,1,2,2,2,2,1,1,2,1,2,1,9,9,1,2,1,2,1,2,2,2,2,1,1,1,9,2,1,1,2,2,2,1,2,1,2,2,1,1,1,2,9,9,9,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
119,CARIBOO,British Columbia,1914 - 1966,14,1921.12.06,807,3ad56615-f402-49df-a834-aa4862c1d7c4,"MCBRIDE, Thomas George",7185,0.6494,Progressive,Farmer,Protestant,0,1,,,,,,,,,Ireland,,,,2,2,2,1,2,1,2,1,2,2,1,1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,2,1,2,2,1,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,9,2,9,1,1,2
141,CHATEAUGUAY--HUNTINGDON,Quebec,1914 - 1947,14,1921.12.06-1921.12.28 and 1922.01.19,824,3c716a03-43b1-401d-820f-7921b10e5565,"ROBB, Hon. James Alexander",5915,0.562,Liberal Party of Canada,"Merchant, miller",Protestant,0,4,,1,,,,,,,,Resignation. Acceptance of an office of emolument under the Crown: 1921.12.28,,,2,2,2,2,2,1,9,1,1,2,1,1,2,2,2,2,1,1,9,2,2,1,1,2,9,2,1,2,1,2,2,2,2,2,1,2,2,2,9,9,9,2,2,1,2,9,2,9,1,1,9,9,2,2,2,9,9,9,1,2,1,2,1,1,2,9,2,1,9,1,9,2,1,2,2,9,9,9,9,2,2,2,1,1,9
593,RED DEER,Alberta,1907 - ,14,1921.12.06,834,3cd49ad9-d55c-4fbe-b68e-e250641d1448,"SPEAKMAN, Alfred",10849,0.691,United Farmers of Alberta,Farmer,Protestant,0,1,,,,,,,,,Scotland,,,,2,1,1,1,2,2,1,2,2,2,2,1,2,9,9,1,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,9,1,2,2,1,2,1,1,2,1,2,1,2,2,1,9,2,1,1,1,1,1,2,1,2,1,2,1,1,2,1,2,2,1,9,2,1,2,2,1,2,2,2,2,1,1,9,1,1,2,9
367,LANARK,Ontario,1914 - 1966,14,1922.12.04,835,3d62cecf-ea76-4b2c-983f-8819c7b24859,"PRESTON, Richard Franklin",8497,0.5466,Conservative (1867-1942),Physician,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,2,2,9,9,9,9,9,1,2,2,2,9,9,9,9,9,9,9,9,2,1,1,9,2,2,9,2,2,9,2,9,9,9,2,2,2,9,2,1,9,9,1,9,2,1,2,2,2,2,2,1,2,9,1,1,1,2,9,1,9,2,2,1,1,2,2,2,2,9
80,BRUCE NORTH,Ontario,1867 - 1933,14,1921.12.06,852,3e478f06-ec31-4aa2-afb1-2c41dbd6f925,"MALCOLM, James",4178,0.4004,Liberal Party of Canada,Industrialist,Protestant,0,1,,,,,,,,,,,,,2,2,2,2,2,1,9,9,1,9,9,9,2,9,9,9,2,1,2,2,2,1,9,9,9,2,1,2,9,9,9,9,9,9,9,9,9,9,1,9,9,9,2,1,9,9,2,2,1,1,9,2,9,2,9,2,2,1,9,9,9,9,9,1,9,9,9,9,9,9,9,2,1,2,9,9,9,9,9,2,2,2,1,1,9
328,KENT,Ontario,1914 - 1966,14,1922.01.19,854,3e57b464-66c8-4a1c-bf6b-c0e2e08ef1bf,"MURDOCK, Hon. James",accl.,,Liberal Party of Canada,"Trainman, union officer",Protestant,0,1,,1,,,,,,,England,,,,2,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,9,2,2,9,9,1,2,2,2,1,9,9,9,9,9,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,1,2,2,2,2,2,1,2,9,2,9,1,9
599,RENFREW NORTH,Ontario,1867 - 1972,14,1921.12.06,875,3f765e24-3ca0-4a65-88f0-db14bbcab004,"MCKAY, Matthew",3828,0.3748,Liberal Party of Canada,"Dental surgeon, dentist, teacher",Protestant,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,9,1,2,2,2,1,1,2,1,2,1,2,1,9,9,9,9,9,9,2,2,2,1,1,2,2,2,1,2,9,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,2,1,2,1,1,1,2,2,1,2,2,9,9,2,9,2,2,2,1,1,9
417,MAISONNEUVE,Quebec,1892 - 1933,14,1921.12.06,929,439c98b7-9195-4068-acf3-b8d0e206f912,"ROBITAILLE, Clement",14222,0.7708,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,2,9,2,2,2,1,9,1,9,2,1,9,2,2,2,2,2,1,2,9,2,1,9,2,1,2,1,2,1,9,9,9,9,9,9,9,9,2,1,9,9,9,2,1,9,1,2,2,1,1,1,2,2,9,9,2,2,2,9,2,1,2,9,1,2,9,2,1,1,1,2,2,1,2,9,1,1,1,2,2,2,2,1,1,2
409,LUNENBURG,Nova Scotia,1867 - 1924,14,1921.12.06,937,441e220e-1526-47d2-9b2f-ab5619ae3aac,"DUFF, William",7899,0.635,Liberal Party of Canada,"Fish merchant, merchant, shipowner",Protestant,0,2,,,,,,,,,,,,,2,9,2,2,2,1,1,1,1,2,1,9,2,2,2,2,2,1,2,2,9,1,1,2,9,2,1,2,1,2,2,2,2,2,1,9,9,2,1,9,9,2,2,1,9,2,2,9,9,1,1,9,9,2,2,2,2,2,9,9,9,9,9,1,9,9,9,9,9,9,2,2,1,9,9,1,1,1,2,9,9,9,9,9,9
352,LABELLE,Quebec,1892 - 1987,14,1921.12.06,944,4472d34d-ab33-4491-a84f-4c3450223604,"FORTIER, Hyacinthe-Adelard",7391,0.7101,Liberal Party of Canada,Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,2,1,2,2,2,1,1,1,1,2,1,9,2,2,2,2,2,1,2,2,1,1,1,2,1,2,1,2,1,2,2,2,2,2,9,9,9,2,1,1,2,2,2,1,9,1,2,2,1,1,9,9,2,2,2,2,9,2,1,2,1,2,1,1,2,9,2,1,1,1,2,2,1,2,2,1,1,1,2,2,9,2,9,9,2
718,SWIFT CURRENT,Saskatchewan,1914 - 1953,14,1921.12.06,956,4516a7aa-6abd-49e2-b507-6d82ce31249d,"LEWIS, Arthur John",9848,0.6068,Progressive,"Clergyperson, manager, secretary",Protestant,0,1,,,,,,,,,England,,,,2,9,1,1,2,2,2,9,2,2,2,1,2,9,9,1,9,2,1,2,9,1,9,9,1,1,2,1,2,9,9,9,1,1,9,9,9,2,1,2,1,1,1,1,9,1,2,1,9,1,2,1,9,1,1,9,9,1,2,1,2,1,1,2,9,9,2,1,9,2,1,2,1,9,2,9,9,2,1,9,2,1,1,9,9
563,PRESCOTT,Ontario,1867 - 1952,14,1921.12.06-1922.12.29,975,46a9bef1-c740-47bf-a690-bff3e273e84b,"BINETTE, Joseph",3661,0.4168,Progressive,"Farmer, hay and grain dealer",Fr.Catholic,1,1,1,,,1,,,,,,,,,2,1,1,1,9,9,1,2,2,2,1,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
563,PRESCOTT,Ontario,1867 - 1952,14,1922.12.30-,975.1,46a9bef1-c740-47bf-a690-bff3e273e84b,"BINETTE, Joseph",3661,0.4168,Liberal Party of Canada,"Farmer, hay and grain dealer",Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
303,HURON NORTH,Ontario,1914 - 1952,14,1921.12.06,980,471dbe2d-0270-4bf0-8927-e905bf560aa8,"KING, John Warwick",5243,0.4471,Progressive,"Farmer, teacher",Protestant,0,1,,,,,,,,,,,,,2,2,1,1,2,2,1,9,2,2,2,9,2,1,1,9,1,2,1,2,2,1,9,1,1,1,2,2,1,1,1,9,9,9,9,1,2,2,1,2,1,2,2,1,2,1,2,2,9,1,2,9,9,9,9,9,9,1,2,1,2,9,1,1,1,1,2,1,1,2,1,2,2,9,2,1,2,2,9,9,2,2,1,9,9
456,MONTMAGNY,Quebec,1867 - 1933,14,1921.12.06,990,47bf0f77-b906-4c4b-b2fa-fb99bda6f130,"DECHENE, Aime-Miville",5103,0.793,Liberal Party of Canada,"Crown prosecutor, lawyer",Fr.Catholic,1,2,,,,,,,,,,,,,2,9,2,2,2,1,9,1,9,2,1,1,2,2,2,2,2,1,2,2,9,1,9,2,1,2,1,2,1,2,2,2,2,2,1,2,9,2,1,1,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,9,9,1,2,1,2,1,1,9,9,2,1,9,1,2,2,1,9,2,1,1,1,2,2,2,9,9,9,2
18,ARGENTEUIL,Quebec,1867 - 1947,14,1921.12.06-1921.12.18,1006,493aa226-db5b-4eff-854d-21fbed53bcca,"MCGIBBON, Peter Robert",3674,0.5069,Liberal Party of Canada,Lumberman,Protestant,0,2,,,,,,,,,,Died in office: 1921.12.18,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
833,YALE,British Columbia,1914 - 1952,14,1924.11.06,1025,4aa810f9-1c2b-42a6-95c4-d4e382d264a1,"STIRLING, Grote",6354,0.5148,Conservative (1867-1942),"Civil engineer, fruit grower",Protestant,0,1,,,,,,,,,England,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,1,2,2,2,2,2,1,2,2,1,1,1,2,9,1,2,2,2,1,1,2,2,2,2,1
768,VAUDREUIL--SOULANGES,Quebec,1914 - 1966,14,1921.12.06-1922.03.10,1026,4b02e0c1-1981-4162-963c-ca1a572cb6f1,"BOYER, Gustave",5366,0.6353,Liberal Party of Canada,"Gentleman, journalist",Fr.Catholic,1,5,,,,,,,,,,Resignation. Called to the Senate: 1922.03.10,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
581,QUEBEC EAST,Quebec,1867 - 1966,14,1921.12.06-1922.01.02 and 1922.01.19,1050,4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c,"LAPOINTE, Hon. Ernest",9005,0.8635,Liberal Party of Canada,Lawyer,Fr.Catholic,1,6,,1,,,,,,,,Resignation. Acceptance of an office of emolument under the Crown: 1922.01.02,,,2,2,2,9,2,1,1,9,1,2,1,1,2,2,2,2,1,1,9,2,2,1,1,9,1,2,1,9,9,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,9,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,2,1,2,1,1,9,2,2,1,2,2,1,1,1,2,2,2,2,1,1,2
287,HOCHELAGA,Quebec,1867 - 1978,14,1921.12.06,1068,4e8ef5b5-5275-4b7f-bb45-5328e39557a0,"ST-PERE, Edouard Charles",20164,0.8962,Liberal Party of Canada,Journalist,Fr.Catholic,1,1,,,,,,,,,,,,,2,1,2,2,2,1,9,1,9,2,1,1,2,9,9,9,2,1,2,2,9,1,9,2,1,2,1,2,2,2,2,2,2,1,9,9,2,2,1,1,2,9,2,1,2,9,2,2,1,9,1,9,2,9,9,2,9,2,1,2,1,2,1,1,9,9,2,1,9,1,2,2,1,2,2,1,1,1,2,9,2,2,1,1,2
313,JACQUES CARTIER,Quebec,1867 - 1952,14,1921.12.06-1922.10.19,1071,4ec792a6-2959-4e13-9458-a23963064623,"LAFORTUNE, David Arthur",18881,0.6308,Liberal Party of Canada,Lawyer,Fr.Catholic,1,4,,,,,,,,,,Died in office: 1922.10.19,,,2,9,2,2,2,1,1,9,9,2,1,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
790,WATERLOO NORTH,Ontario,1867 - 1966,14,1921.12.06,1073,4f101a06-5792-4d8a-9130-5ba8fab659eb,"EULER, William Daum",7466,0.5992,Liberal Party of Canada,Businessman,Protestant,0,2,,,,,,,,,,,,,2,9,9,1,2,1,9,2,1,2,1,9,2,2,2,2,9,1,9,2,2,1,9,2,1,2,1,2,2,2,2,2,9,9,9,9,2,2,9,9,9,1,2,2,9,1,2,2,1,9,9,9,9,2,9,9,9,1,9,9,9,9,9,1,2,9,9,9,9,1,2,9,9,2,9,2,2,2,1,9,2,9,9,9,9
224,FORT WILLIAM AND RAINY RIVER,Ontario,1914 - 1924,14,1921.12.06,1074,4f144b8d-0f62-4502-b6eb-6bf2aa0faaad,"MANION, Hon. Robert James",5642,0.5137,Conservative (1867-1942),Physician,Catholic,0,2,,,,,,,,,,,,,1,2,2,2,9,9,2,9,1,1,2,9,1,1,2,9,2,9,9,2,9,2,9,9,2,9,9,2,2,9,9,9,9,9,9,9,9,1,2,9,9,9,2,2,1,9,1,9,2,2,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,1,9,1,2,9,1,1,1,1,2,9,2,2,2,1,9
