Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H12S1V001,H12S1V002,H12S1V003,H12S1V004,H12S1V005,H12S1V006,H12S1V007,H12S1V008,H12S1V009,H12S1V010,H12S1V011,H12S1V012,H12S1V013,H12S1V014,H12S1V015,H12S1V016,H12S2V001,H12S2V002,H12S2V003,H12S2V004,H12S2V005,H12S2V006,H12S2V007,H12S2V008,H12S2V009,H12S2V010,H12S2V011,H12S2V012,H12S2V013,H12S2V014,H12S2V015,H12S2V016,H12S2V017,H12S2V018,H12S2V019,H12S2V020,H12S2V021,H12S2V022,H12S2V023,H12S2V024,H12S2V025,H12S2V026,H12S2V027,H12S2V028,H12S2V029,H12S2V030,H12S2V031,H12S2V032,H12S2V033,H12S2V034,H12S2V035,H12S2V036,H12S2V037,H12S2V038,H12S2V039,H12S2V040,H12S2V041,H12S2V042,H12S2V043,H12S2V044,H12S2V045,H12S2V046,H12S2V047,H12S3V001,H12S3V002,H12S3V003,H12S3V004,H12S3V005,H12S3V006,H12S3V007,H12S3V008,H12S3V009,H12S3V010,H12S3V011,H12S3V012,H12S3V013,H12S3V014,H12S3V015,H12S3V016,H12S5V001,H12S6V001,H12S6V002,H12S6V003,H12S6V004,H12S6V005,H12S6V006,H12S6V007,H12S6V008,H12S6V009,H12S6V010,H12S6V011,H12S6V012,H12S7V001,H12S7V002,H12S7V003,H12S7V004,H12S7V005,H12S7V006,H12S7V007,H12S7V008,H12S7V009,H12S7V010,H12S7V011,H12S7V012,H12S7V013,H12S7V014,H12S7V015,H12S7V016,H12S7V017,H12S7V018,H12S7V019,H12S7V020,H12S7V021,H12S7V022,H12S7V023,H12S7V024,H12S7V025,H12S7V026,H12S7V027,H12S7V028,H12S7V029
835,YALE--CARIBOO,British Columbia,1892 - 1914,12,1911.09.21- and 1911.11.04,923,431f1aea-d84b-44d7-82cc-340110a7e97d,"BURRELL, Hon. Martin",3851,0.6356,Conservative (1867-1942),"Author, fruit grower, parliamentary librarian",Protestant,0,2,,1,,,,,,,England,Resignation. Appointed Minister of Agriculture: —,,,2,1,2,2,2,9,2,2,2,9,1,2,2,9,2,2,2,2,2,2,1,2,9,9,9,1,9,9,9,9,1,1,1,2,9,2,1,2,1,1,9,9,9,9,9,9,1,1,1,2,9,2,2,2,2,1,2,1,9,9,9,9,9,2,2,9,2,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,1,2,2,2,1,2,1,1,9,2,1,1,9,9,9,1,2,9,2,2,9,9,9,9,2
69,BRANTFORD,Ontario,1903 - 1924,12,1911.09.21,927,4377f02c-8021-4cd3-9d64-deaad7b31431,"COCKSHUTT, William F.",3159,0.5642,Conservative (1867-1942),"Businessman, manufacturer",Protestant,0,2,,,,,,,,,,,,,2,1,2,9,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,9,2,2,1,9,9,9,9,9,9,9,9,9,9,2,1,9,1,1,2,2,2,9,9,9,9,9,9,2,2,2,2,2,2,1,9,9,9,9,9,9,9,2,9,9,2,2,9,2,9,9,2,2,2,2,2,2,9,9,9,2,9,9,9,9,9,9,2,1,2,9,9,9,2,9,9,2,2,2,1,9,9,9,9,9,9,9,9,1,1,1,2,9,9,9,9,9,9,9,2
18,ARGENTEUIL,Quebec,1867 - 1947,12,1911.09.21,938,4430053b-1f47-481d-9354-7a7535f63be9,"PERLEY, George Halsey",1824,0.5978,Conservative (1867-1942),Lumber merchant,Protestant,0,3,,1,,,,,,,United States,,,,2,9,9,2,2,9,9,9,9,2,1,9,9,9,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,9,1,1,1,2,9,2,1,9,1,1,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,1,2,9,2,2,1,9,9,2,2,2,9,9,1,9,9,9,2,2,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
388,LEEDS,Ontario,1903 - 1976,12,1911.09.21-1911.10.25,989,47b47c19-8fe1-4407-b84f-9029f6aec230,"TAYLOR, George",2392,0.6223,Conservative (1867-1942),Industrialist,Protestant,0,8,,,,,,,,,,Resignation. To allow T.W. White to run for office: 1911.10.25,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
766,VAUDREUIL,Quebec,1867 - 1914,12,1911.09.21,1026,4b02e0c1-1981-4162-963c-ca1a572cb6f1,"BOYER, Gustave",1345,0.5434,Liberal Party of Canada,"Gentleman, journalist",Fr.Catholic,1,3,,,,,,,,,,,,,1,2,1,1,9,9,9,9,9,1,2,9,9,9,1,1,9,9,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,9,2,1,2,2,1,1,1,1,2,9,2,2,9,1,9,9,9,1,1,2,1,9,9,9,9,9,9,1,9,9,1,9,2,1,9,9,1,9,1,9,1,9,9,1,9,9,9,9,1,1,1,9,9,9,1,9,9,1,9,9,9,2,1,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,1,1,9,1,2,9,9
679,SHELBURNE AND QUEEN'S,Nova Scotia,1892 - 1924,12,1911.09.21,1037,4c70db2d-27f6-41f1-886a-3572d31f53d1,"MCCURDY, Fleming Blanchard",2678,0.5143,Conservative (1867-1942),Financier,Protestant,0,1,,,1,,,,,,,,,,2,9,2,9,2,9,2,2,2,2,1,9,2,9,2,9,2,2,9,9,9,9,2,2,1,1,1,1,1,9,1,1,1,9,9,2,1,2,1,1,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,2,2,9,9,2,1,2,9,2,2,2,9,9,2,2,9,2,9,9,9,9,9,2,9,9,2,1,2,2,9,9,9,9,9,2,2,2,1,9,9,1,9,9,9,9,9,1,1,1,2,9,2,2,1,2,1,9,2
323,KAMOURASKA,Quebec,1867 - 1976,12,1911.09.21,1050,4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c,"LAPOINTE, Ernest",1840,0.512,Liberal Party of Canada,Lawyer,Fr.Catholic,1,4,,,,,,,,,,,,,1,2,1,9,1,1,9,9,9,1,2,9,1,1,1,1,9,9,1,1,2,1,2,1,2,2,2,2,2,2,9,2,2,1,1,9,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,9,9,1,1,2,2,9,1,1,9,9,9,2,1,1,9,1,1,1,1,1,1,1,1,2,1,9,9,2,1,1,9,1,1,1,9,1,9,1,1,2,2,1,1,2,9,9,2,1,1,2,2,1,9,9,9,9,2,1,1,2,1,2,2,1
576,QU'APPELLE,Saskatchewan,1905 - 1966,12,1911.09.21,1051,4d6aec7f-24f4-4f0f-bfd9-9e401c0c7fc5,"THOMSON, Levi",4298,0.5259,Liberal Party of Canada,"Crown prosecutor, farmer, lawyer",Unknown,0,1,,,,,,,,,,,,,1,2,1,1,1,9,1,1,1,1,2,1,1,1,2,9,1,2,1,1,2,9,1,1,2,2,9,9,9,9,9,2,2,9,9,1,2,9,2,2,9,9,9,9,9,9,2,2,2,9,1,9,9,1,9,2,1,1,1,1,2,2,9,1,1,1,9,1,2,1,1,1,1,1,1,9,1,1,9,1,9,1,9,9,9,1,1,1,9,2,2,9,9,9,9,9,9,2,1,2,1,9,1,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9
415,MACLEOD,Alberta,1907 - 1966,12,1911.09.21,1054,4d85880d-dae0-4f53-8610-16a1c9dc7e00,"WARNOCK, David",3660,0.4944,Liberal Party of Canada,"Farmer, veterinary surgeon",Protestant,0,1,,,,,,,,,Scotland,,,,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,2,9,9,9,9,9,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,9,1,1,1,1,1,1,9,1,9,9,9,9,9,1,1,1,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1267,TORONTO WEST,Ontario,1903 - 1924,12,1911.09.21,1059,4e01e3c6-73dc-40cf-8a42-e6156318db32,"OSLER, Edmund Boyd",11442,0.769,Conservative (1867-1942),Financier,Protestant,0,5,,,,,,,,,,,,,2,9,2,2,9,9,9,9,9,9,9,2,2,2,9,9,2,2,2,2,1,9,2,2,1,9,9,9,9,9,9,9,9,9,2,9,1,2,1,1,9,9,9,9,9,1,1,1,9,2,9,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
455,MONTCALM,Quebec,1867 - 1914,12,1911.09.21,1071,4ec792a6-2959-4e13-9458-a23963064623,"LAFORTUNE, David-Arthur",1432,0.5103,Liberal Party of Canada,Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,1,2,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,9,2,1,2,2,2,2,2,2,2,2,2,1,9,1,2,1,2,2,1,1,1,1,2,9,9,9,9,1,9,9,9,9,1,2,1,9,9,9,9,9,2,1,9,1,1,1,9,1,1,9,1,9,9,9,9,9,9,1,9,9,9,2,2,9,1,9,9,1,1,9,9,2,1,1,9,2,1,1,2,1,2,9,9,9,9,2,1,2,2,2,1,9,9,9,2,1,2,9,9
562,PORTNEUF,Quebec,1867 - 2004,12,1911.09.21,1088,50213f53-4bd4-4a8f-a6eb-ae0ac7c0034d,"DELISLE, Michel-Simeon",2868,0.5767,Liberal Party of Canada,"Gentleman, merchant, person of independent means",Fr.Catholic,1,4,,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,2,9,9,1,1,1,1,2,9,9,9,9,2,1,2,2,2,2,9,9,9,9,9,1,1,9,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,9,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,9,2,2,9,1,1,9,1,1,9,9,9,1,9,9,2,1,1,2,1,2,2,1,1,9,2,1,9,9,9,9,9,1,1,2,1,2,9,9
36,BEAUCE,Quebec,1867 - ,12,1911.09.21,1092,50634114-351e-4c08-8b61-8698a41f8814,"BELAND, Hon. Henri Severin",4823,0.5823,Liberal Party of Canada,Physician,Fr.Catholic,1,4,,,,,,,,,,,,,9,2,1,9,1,1,9,9,9,1,2,1,1,1,1,1,1,2,1,1,2,9,2,1,2,9,9,9,9,9,9,9,9,1,9,9,2,9,9,9,9,9,9,9,9,2,9,9,9,1,1,9,9,1,1,2,9,9,1,9,9,9,9,1,9,9,9,9,9,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
793,WELLAND,Ontario,1867 - 1987,12,1911.09.21,1098,511d8a61-1106-4b86-a494-9cfa7e47f4f6,"GERMAN, William Manly",accl.,,Liberal Party of Canada,Barrister,Protestant,0,5,,,,,,,,,,,,,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,1,1,2,9,2,1,2,9,9,9,9,9,9,9,9,1,1,9,2,1,9,9,9,9,9,9,9,2,2,2,9,1,1,1,1,1,1,2,1,1,1,1,2,2,9,1,1,1,1,9,2,1,9,9,1,9,9,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,1,2,2,1,1,1,1,2,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9
23,ASSINIBOIA,Saskatchewan,1907 - 1987,12,1911.09.21,1114,52a4499f-fa60-4960-92e4-bb99baf0c85e,"TURRIFF, John Gillanders",5804,0.6186,Liberal Party of Canada,"Farmer, merchant",Protestant,0,3,,,,,,,,,,,,,9,2,1,9,1,9,1,1,1,1,2,9,9,9,9,9,1,2,1,1,2,1,1,1,2,9,2,2,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,1,1,9,2,2,1,9,1,1,1,2,1,1,9,1,1,9,2,2,1,1,1,1,1,9,9,1,1,9,9,9,9,9,9,9,9,1,1,2,9,2
609,RICHMOND,Nova Scotia,1867 - 1914,12,1911.09.21,1126,535344f8-2229-4bb7-8b9a-cdbb8bf4b522,"KYTE, George William",1268,0.5633,Liberal Party of Canada,"Barrister, lawyer",Catholic,0,2,,,,,,,,,,,,,1,2,1,1,1,9,1,1,1,1,2,9,9,9,9,9,1,2,1,1,2,1,2,1,2,9,9,9,9,9,9,9,9,9,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,9,9,9,9,9,9,1,9,1,1,1,2,1,1,1,1,1,1,1,9,9,9,1,9,1,9,2,1,1,1,9,9,9,9,9,1,9,9,9,2,2,1,1,2,1,2,2,9,9,2,2,1,2,2,2,1,2,1,1,2,1,2,2,1
311,INVERNESS,Nova Scotia,1867 - 1933,12,1911.09.21,1142,54527ec0-1e62-40d5-99dc-90f2d267f646,"CHISHOLM, Alexander William",2928,0.5884,Liberal Party of Canada,Physician,Catholic,0,2,,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,9,9,9,2,2,9,9,9,9,9,2,9,9,1,2,1,2,2,1,1,1,1,2,9,9,9,9,9,9,9,9,1,1,2,1,9,9,9,9,9,9,1,1,9,9,9,2,1,1,1,1,1,1,1,1,1,9,9,9,9,9,2,1,9,9,9,9,1,1,9,9,9,9,9,9,2,1,1,2,9,9,2,9,9,9,9,9,2,2,2,1,2,9,9,9,9,9,9,9
441,MIDDLESEX NORTH,Ontario,1867 - 1914,12,1911.09.21,1144,545bc45f-d993-4a11-9388-c6e586aa9f2d,"ELLIOT, George",1768,0.5076,Conservative (1867-1942),Farmer,Protestant,0,1,,,,,,,,,,,,,2,9,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,9,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,9,1,2,2,1,1,9,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,9,2,9,1,1,2,9,9,2,1,2,9,2,9,2,2,9,2,2,2,1,9,9,1,2,2,9,1,9,9,9,9,9,9,9,9,1,2,1,1,9
253,GREY SOUTH,Ontario,1867 - 1914,12,1911.09.21,1147,547a3438-cef8-4ac8-a7f3-8351a32095bd,"BALL, Robert James",2139,0.5057,Conservative (1867-1942),"Accountant, life insurance agent, teacher",Protestant,0,1,,,,,,,,,,,,,2,1,2,2,2,9,9,9,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,9,9,9,9,9,1,1,1,1,2,2,2,2,2,2,1,2,9,9,9,9,9,9,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,9,1,1,2,2,2,2,1,2,2,2,9,9,2,9,2,2,2,1,2,1,1,2,2,9,1,2,1,1,1,2,9,9,9,9,9,9,9,9
431,MEDICINE HAT,Alberta,1907 - ,12,1911.09.21,1178,56470474-43c7-4392-9d18-c5e1c4bcdfef,"BUCHANAN, William Ashbury",6330,0.5649,Liberal Party of Canada,"Journalist, publisher",Protestant,0,1,,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,2,9,9,9,2,1,1,2,1,1,2,1,2,1,2,9,9,9,9,2,2,2,2,1,9,9,9,9,9,9,1,1,1,1,2,2,9,9,9,1,1,9,9,9,1,2,1,2,1,1,2,2,9,1,1,9,9,1,9,1,9,1,1,1,1,1,1,1,9,1,1,1,9,2,1,1,9,1,1,2,2,9,9,9,1,1,9,2,2,2,1,1,2,1,9,1,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9
208,ELGIN WEST,Ontario,1867 - 1933,12,1911.09.21-1911.10.10 and 1911.10.27,1180,5654ad0c-4f83-4d39-8720-1bcc13b5d7f5,"CROTHERS, Thomas Wilson",3629,0.5705,Conservative (1867-1942),"Lawyer, teacher",Protestant,0,2,,1,,,,,,,,Resignation. Appointed Minister of Labour: 1911.10.10,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,1,9,9,9,2,2,9,9,2,2,9,9,2,2,9,1,1,2,9,9,9,1,2,9,2,9,9,2,9,2,2,2,1,2,1,1,9,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,2
263,HALIFAX,Nova Scotia,1867 - ,12,1911.09.21,1189,56fdc84e-aaff-46fe-bf93-d6f1014c6188,"MACLEAN, Alexander Kenneth",6946,0.2512,Liberal Party of Canada,Lawyer,Protestant,0,3,,,,,,,,,,,,,1,9,1,9,1,9,1,1,1,1,2,9,1,9,2,9,1,2,9,9,9,9,2,1,2,2,2,2,2,9,2,2,2,9,9,1,2,1,2,2,1,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,1,1,1,9,1,2,1,9,1,1,1,9,1,1,1,9,1,9,9,9,9,9,1,9,9,1,1,1,1,2,9,9,9,2,2,2,2,1,9,9,1,1,1,9,9,9,2,2,2,1,9,1,1,2,1,2,9,2
274,HANTS,Nova Scotia,1867 - 1924,12,1911.09.21,1219,5952bcb3-41b4-4c81-b5bb-bb705a6427fc,"TREMAIN, Hadley Brown",2191,0.51,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,,,,,2,9,2,9,2,2,9,9,9,9,1,9,9,9,2,9,2,2,2,2,1,2,9,9,9,1,1,9,9,9,9,1,1,9,9,2,1,2,1,1,2,2,2,2,1,9,9,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,2,2,9,9,9,1,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,1,1,1,2,1,9,9,9,9,9,9,2
411,MACDONALD,Manitoba,1892 - 1947,12,1911.09.21-1912.04.09,1234,59e1c065-68c5-4024-8c34-8de437f5e8df,"STAPLES, William D.",2956,0.514,Conservative (1867-1942),Farmer,Protestant,0,3,,,,,,,,,,Resignation. Appointed Grain Commissioner for Canada: 1912.04.09,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
790,WATERLOO NORTH,Ontario,1867 - 1966,12,1911.09.21,1237,5a22935b-a18e-420e-b919-eeb4dca1e111,"WEICHEL, William George",3774,0.5218,Conservative (1867-1942),Merchant,Protestant,0,1,,,,,,,,,,,,,2,9,2,2,2,9,9,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,9,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,9,9,2,9,2,2,1,1,1,2,2,2,2,2,1,2,9,2,2,2,2,2,2,2,9,2,9,2,9,9,9,2,2,2,2,1,2,9,9,9,2,2,9,2,2,2,1,2,1,1,2,2,9,1,2,1,1,1,2,9,9,9,1,2,1,1,2
74,BROCKVILLE,Ontario,1867 - 1914,12,1911.09.21,1243,5a88b88d-93ad-4650-96d1-65b59e2be05f,"WEBSTER, John",2251,0.5126,Conservative (1867-1942),Produce dealer,Protestant,0,1,,,,,,,,,,,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,9,1,2,1,1,2,2,2,2,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,1,2,2,2,2,9,9,9,9,9,9,2,2,2,2,1,1,2,2,2,2,1,2,9,9,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,9,9,9,9,9,1,2,2,1,2,1,9,9
487,NIPISSING,Ontario,1892 - 2003,12,1911.09.21-1911.10.25,1244,5ad85252-e5b4-408d-b0ec-d0a246a9a374,"GORDON, George",5872,0.5243,Conservative (1867-1942),Lumber merchant,Protestant,0,2,,,,,,,,,,Resignation. To allow Francis Cochrane to run for office: 1911.10.25,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
243,GLOUCESTER,New Brunswick,1867 - 1990,12,1911.09.21,1245,5afbdf71-2ff3-4501-b9b3-74750bfc73ee,"TURGEON, Onesiphore",3172,0.5927,Liberal Party of Canada,"Editor, journalist",Fr.Catholic,1,4,,,,,,,,,,,,,1,9,1,9,1,9,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,2,9,9,9,9,9,2,2,2,9,9,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,9,9,9,9,2,1,1,9,1,9,2,1,1,1,1,1,1,1,1,1,9,1,9,1,9,2,1,1,9,1,1,1,1,1,1,9,1,1,9,2,1,1,2,1,2,2,1,1,9,2,9,2,2,2,1,9,9,9,9,9,9,9,9
82,BRUCE SOUTH,Ontario,1903 - 1933,12,1913.10.30,1248,5b231382-9350-440c-ae10-5f8a94c52eda,"TRUAX, R.E.",2948,0.5099,Liberal Party of Canada,Sawmiller,Protestant,0,2,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,9,9,9,2,9,1,9,9,9,1,2,9,1,9,1,1,9,2,1,1,1,1,2,9,1,9,9,2,1,9,9,9,9,9,9,9,2,9,9,9,9
687,SIMCOE SOUTH,Ontario,1867 - 1924,12,1911.09.21-1912.04.16,1257,5bfd2fe5-bfe6-42c4-9503-71c3b6f865df,"LENNOX, Haughton Ignatius Sa",3278,0.6671,Conservative (1867-1942),Lawyer,Protestant,0,4,,,,,,,,,,Resignation. Appointed Judge of the High Court of Justice for Ontario: 1912.04.16,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
587,QUEEN'S,Prince Edward Island,1903 - 1966,12,1911.09.21,1271,5d2345c1-90f5-4e72-ac39-e83c1a77539f,"NICHOLSON, Donald",4308,0.2641,Conservative (1867-1942),Tobacco manufacturer,Protestant,0,1,,,,,,,,,,,,,2,1,2,2,9,2,2,2,2,2,1,2,2,2,2,9,2,2,2,2,1,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,1,9,1,1,2,2,2,2,1,1,1,1,1,2,2,9,9,9,9,9,2,1,2,2,1,1,1,2,2,2,9,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,9,1,2,9,2,1,2,9,9,2,2,2,1,2,1,1,2,2,1,1,2,1,1,1,2,9,2,2,9,2,1,9,1
263,HALIFAX,Nova Scotia,1867 - ,12,1911.09.21-1911.10.09 and 1911.10.27,1290,5e8a24b4-f155-4f3d-aacc-e6da13c93756,"BORDEN, Hon. Robert Laird",7040,0.2546,Conservative (1867-1942),Lawyer,Protestant,0,5,,1,,,,,,,,Resignation: 1911.10.09,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,9,9,9,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,9,1,2,2,1,1,1,9,2,9,2,2,1,2,2,2,2,2,2,2,2,2,9,2,2,2,2,1,1,2,2,9,2,1,2,2,9,9,9,2,9,2,2,2,1,2,1,1,2,2,1,1,9,9,9,9,9,1,9,9,1,9,9,1,2
755,THREE RIVERS AND ST. MAURICE,Quebec,1892 - 1924,12,1911.09.21,1340,61c189fb-d551-49ed-82da-cc777b86b056,"BUREAU, Hon. Jacques",3155,0.5007,Liberal Party of Canada,Lawyer,Fr.Catholic,1,4,,,,,,,,,,,,,9,2,1,9,1,1,1,1,1,9,2,9,9,9,9,9,9,9,9,9,2,9,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,9,1,1,1,1,2,9,9,9,9,9,9,9,9,9,9,1,9,9,1,9,9,9,9,9,9,9,9,9,1,9,1,9,2,9,1,9,9,9,1,1,9,1,9,1,9,9,2,1,1,2,1,2,2,1,1,9,2,1,9,9,9,9,9,9,9,2,1,2,2,9
802,WENTWORTH,Ontario,1903 - 1966,12,1911.09.21,1371,64133edf-0990-42a2-9245-175d93050aae,"WILSON, Gordon Crooks",3832,0.5659,Conservative (1867-1942),"Agent, gentleman, merchant",Protestant,0,1,,,,,,,,,,,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,9,2,1,2,1,1,2,2,2,9,9,1,1,1,9,2,2,2,2,2,2,1,9,9,2,2,1,1,9,2,2,2,9,9,1,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,1,2,9,9,9,9,2,9,2,2,2,1,2,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2
