Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S8S1V01,S8S1V02,S8S2V01,S8S2V02,S8S2V03,S8S2V04,S8S2V05,S8S2V06,S8S2V07,S8S3V01,S8S3V02,S8S3V03,S8S3V04,S8S3V05,S8S3V06,S8S3V07,S8S3V08,S8S3V09,S8S3V10,S8S3V11,S8S4V01,S8S4V02,S8S4V03,S8S4V04,S8S4V05,S8S4V06,S8S4V07,S8S4V08,S8S4V09,S8S5V01,S8S5V02,S8S5V03,S8S5V04,S8S5V05,S8S5V06,S8S5V07,S8S5V08,S8S5V09,S8S5V10,S8S5V11,S8S5V12,S8S5V13,S8S5V14,S8S5V15,S8S5V16
"Baker, George Barnard",Liberal-Conservative,Quebec,"Bowell, Mackenzie",1896.01.07 - 1910.02.09 ,1896.01.07 , 1910.02.09 ,(Death),1,9,2,9,9,2,9,9,9,1,9,2,2,9,2,2,1,2,9,2,1,2,1,9,2,1,2,9,2,1,9,9,2,9,9,2,2,1,1,2,2,2,1,2,1
"Forget, Louis Joseph",Conservative (1867-1942),Quebec,"Tupper, Charles",1896.06.15 - 1911.04.07 ,1896.06.15 , 1911.04.07 ,(Death),9,9,2,2,9,2,1,2,9,9,9,9,9,9,2,9,9,2,9,9,9,2,1,1,2,1,2,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Carling, John",Liberal-Conservative,Ontario,"Bowell, Mackenzie",1896.04.23 - 1911.11.06 ,1896.04.23 , 1911.11.06 ,(Death),9,9,2,2,1,2,1,9,2,1,9,9,9,9,2,2,1,9,1,2,9,2,1,9,9,1,2,9,2,1,2,9,2,9,2,9,2,1,1,2,9,2,1,2,9
"McKay, Thomas",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1881.12.24 - 1912.01.13 ,1881.12.24 , 1912.01.13 ,(Death),1,1,2,2,2,2,1,2,1,1,1,9,9,1,1,9,1,9,9,9,2,9,9,2,1,1,2,9,9,1,2,2,2,1,2,9,9,1,1,2,2,2,2,9,9
"Miller, William",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1912.02.23 ,1867.10.23 , 1912.02.23 ,(Death),9,9,9,2,2,9,1,9,2,2,1,9,9,9,9,9,1,2,9,2,2,1,2,9,1,9,9,1,9,1,9,9,2,9,2,2,9,9,9,9,9,9,9,9,9
"Wood, Josiah",Conservative (1867-1942),New Brunswick,"Bowell, Mackenzie",1895.08.05 - 1912.03.12 ,1895.08.05 , 1912.03.12 ,(Resignation),9,9,1,2,2,9,1,2,2,1,9,2,2,1,2,2,1,9,1,9,9,1,2,9,9,9,9,9,9,9,2,9,2,9,2,9,2,9,9,9,9,9,9,9,9
"MacDonald, Andrew Archibald",Liberal-Conservative,Prince Edward Island,"Macdonald, John Alexander",1891.05.11 - 1912.03.21 ,1891.05.11 , 1912.03.21 ,(Death),1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1,2,1,2,1,9,1,1,9,2,1,1,2,2,1,1,2,2,2,2,2,9
"Sullivan, Michael",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1885.01.29 - 1912.11.29 ,1885.01.29 , 1912.11.29 ,(Resignation),2,2,2,2,9,9,9,9,9,1,9,9,9,2,2,9,1,9,1,9,9,9,9,1,2,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2,9
"Scott, Richard William",Liberal Party of Canada,Ontario,"Mackenzie, Alexander",1874.03.13 - 1913.04.23 ,1874.03.13 , 1913.04.23 ,(Death),9,9,2,1,1,1,2,9,9,2,1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,9,2,1,2,1,2,2,1,1,2,2,1,1,1,2,1,2
"Ellis, John Valentine",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1900.09.03 - 1913.06.10 ,1900.09.03 , 1913.06.10 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Cox, George Albertus",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1896.11.13 - 1914.01.16 ,1896.11.13 , 1914.01.16 ,(Death),99,99,1,9,1,1,2,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,1,9,9,9,9,9,9,9,9,1,2,1,9
"McMillan, Donald",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1884.01.11 - 1914.07.26 ,1884.01.11 , 1914.07.26 ,(Death),2,2,9,2,9,2,1,9,9,2,9,2,2,9,9,2,1,9,1,2,9,1,2,1,2,1,2,9,9,1,1,1,9,9,9,2,2,1,1,2,9,2,1,2,1
"Kirchhoffer, John Nesbitt",Conservative (1867-1942),Manitoba,"Thompson, John Sparrow David",1892.12.16 - 1914.12.22 ,1892.12.16 , 1914.12.22 ,(Death),9,9,2,2,9,2,1,2,9,9,9,2,2,1,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,1,2,9,9,9,2,2,9,9,9,9,9,9,9,9,9
"Macdonald, William John",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1915.04.13 ,1871.12.13 , 1915.04.13 ,(Resignation),2,2,2,9,1,2,1,2,9,1,9,1,1,1,1,2,1,2,1,2,2,9,9,9,9,1,2,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Boucher de Boucherville, Charles EugíÂne",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1879.02.12 - 1915.09.11 ,1879.02.12 , 1915.09.11 ,(Death),2,1,2,1,1,2,1,9,2,1,9,1,1,2,2,2,1,2,2,2,9,1,2,2,1,2,2,1,1,1,1,1,9,9,1,9,9,1,1,2,2,2,1,2,1
"MacKeen, David",Conservative (1867-1942),Nova Scotia,"Bowell, Mackenzie",1896.02.21 - 1915.10.15 ,1896.02.21 , 1915.10.15 ,(Resignation),2,1,1,9,9,9,9,9,9,9,9,9,9,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9
"Young, Finlay McNaughton",Liberal Party of Canada,Manitoba,"Laurier, Wilfrid",1900.01.30 - 1916.02.15 ,1900.01.30 , 1916.02.15 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,1,2,2,1,1,2,2,1,1,1,2,1,2
"McDonald, William",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1884.05.12 - 1916.07.04 ,1884.05.12 , 1916.07.04 ,(Death),2,1,2,2,1,2,1,9,2,9,9,9,9,1,2,2,9,9,9,9,2,1,2,2,1,1,2,9,9,1,9,1,9,9,2,2,9,9,9,9,9,9,9,9,9
"Fiset, Jean-Baptiste Romuald",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1897.10.20 - 1917.01.05 ,1897.10.20 , 1917.01.05 ,(Death),99,99,99,99,99,99,99,99,99,2,9,2,1,2,2,9,9,1,2,9,9,2,1,1,2,2,1,2,9,2,9,2,9,9,2,9,1,9,9,9,9,9,9,9,9
"Baird, George Thomas",Conservative (1867-1942),New Brunswick,"Bowell, Mackenzie",1895.06.19 - 1917.04.21 ,1895.06.19 , 1917.04.21 ,(Death),1,1,9,2,9,9,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,2,1,9,2,1,2,9,9,1,9,9,2,2,9,9,1,2,2,1,9,2,2,2,9
"Owens, William",Conservative (1867-1942),Quebec,"Bowell, Mackenzie",1896.01.02 - 1917.06.08 ,1896.01.02 , 1917.06.08 ,(Death),9,9,2,9,9,9,1,2,9,1,9,9,9,1,2,2,9,2,9,9,9,1,2,9,1,1,2,9,9,1,2,9,2,9,9,9,9,9,9,9,9,2,9,9,1
"Bowell, Mackenzie",Conservative (1867-1942),Ontario,"Thompson, John Sparrow David",1892.12.05 - 1917.12.10 ,1892.12.05 , 1917.12.10 ,(Death),1,1,2,2,1,2,1,2,9,1,9,2,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,1,2,9
"Shehyn, Joseph",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1900.02.05 - 1918.07.14 ,1900.02.05 , 1918.07.14 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,2,1,9,9,1,1,9,9,9,9,9,9,9,9
"McLaren, Peter",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1890.02.21 - 1919.05.23 ,1890.02.21 , 1919.05.23 ,(Death),2,9,2,2,2,1,9,9,9,2,1,2,2,1,9,9,9,2,1,1,2,2,1,1,2,1,2,9,9,1,2,1,2,9,1,2,9,1,1,2,9,2,1,2,1
"Landry, Auguste-Charles-Philippe-Robert",Conservative (1867-1942),Quebec,"Abbott, John Joseph Caldwell",1892.02.23 - 1919.12.20 ,1892.02.23 , 1919.12.20 ,(Death),2,2,2,1,1,2,1,9,9,1,9,2,2,1,9,9,1,9,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,9,9,9,9,2,2,1,2,1
"McSweeney, Peter",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1899.03.15 - 1921.02.02 ,1899.03.15 , 1921.02.02 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,1,2,9,9,9,9,2,9,2,1,2,2,1,9,9,9,9,9,9,9,9,9
"Power, Lawrence Geoffrey",Liberal Party of Canada,Nova Scotia,"Mackenzie, Alexander",1877.02.02 - 1921.09.12 ,1877.02.02 , 1921.09.12 ,(Death),2,2,1,1,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,1,2,2,1,2,2,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,2
"Bolduc, Joseph",Nationalist Conservative,Quebec,"Macdonald, John Alexander",1884.10.03 - 1924.08.13 ,1884.10.03 , 1924.08.13 ,(Death),9,9,2,1,9,9,1,2,9,1,9,2,2,1,2,9,9,9,9,9,9,9,9,1,2,9,9,9,9,1,1,1,2,9,2,9,2,1,1,2,1,9,1,9,9
"Yeo, John",Liberal Party of Canada,Prince Edward Island,"Laurier, Wilfrid",1898.11.19 - 1924.12.14 ,1898.11.19 , 1924.12.14 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,1,2,2,1,9,9,2,2,2,9,9,9,9,1,2,2,1,1,1,2,1,2
"Lougheed, James Alexander",Liberal-Conservative,Northwest Territories,"Macdonald, John Alexander",1889.12.10 - 1925.11.02 ,1889.12.10 , 1925.11.02 ,(Death),9,1,2,2,9,9,9,9,9,1,2,2,2,1,2,1,1,2,9,9,1,2,1,1,2,1,2,1,9,1,2,9,2,1,2,9,9,9,9,9,9,9,9,9,9
"Thibaudeau, Alfred",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1896.08.22 - 1926.08.15 ,1896.08.22 , 1926.08.15 ,(Death),9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9
"Montplaisir, Hippolyte",Liberal-Conservative,Quebec,"Macdonald, John Alexander",1891.02.09 - 1927.06.20 ,1891.02.09 , 1927.06.20 ,(Death),2,2,9,1,1,2,1,9,2,9,9,9,9,9,2,9,1,2,2,2,2,1,2,9,1,1,2,1,9,1,1,1,2,9,1,9,2,1,1,2,9,2,9,2,1
"King, George Gerald",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1896.12.18 - 1928.04.28 ,1896.12.18 , 1928.04.28 ,(Death),99,99,9,9,9,9,9,9,9,2,9,2,1,2,9,1,2,9,2,9,9,2,1,1,2,2,1,9,9,2,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9
"Watson, Robert",Liberal Party of Canada,Manitoba,"Laurier, Wilfrid",1900.01.29 - 1929.05.19 ,1900.01.29 , 1929.05.19 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,2,2,1,9,2,1,1,2,2,1,1,1,2,1,2
"Poirier, Pascal",Liberal-Conservative,New Brunswick,"Macdonald, John Alexander",1885.03.09 - 1933.09.25 ,1885.03.09 , 1933.09.25 ,(Death),9,9,9,9,1,9,1,9,2,9,9,9,9,9,9,9,9,9,9,9,2,2,1,9,9,2,1,2,9,9,9,2,9,9,9,2,9,9,9,9,9,9,9,9,9
"Casgrain, Joseph Philippe Baby",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1900.01.29 - 1939.01.06 ,1900.01.29 , 1939.01.06 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,9,1,9,9,9,1,9,9,9,9,1,2,1,9
"Dandurand, Raoul",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1898.01.22 - 1942.03.11 ,1898.01.22 , 1942.03.11 ,(Death),99,99,99,99,99,99,99,99,99,9,9,9,9,2,9,9,9,1,2,1,9,2,1,1,2,2,1,2,9,2,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9
