Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H11S1V001,H11S1V002,H11S1V003,H11S1V004,H11S1V005,H11S1V006,H11S1V007,H11S1V008,H11S1V009,H11S1V010,H11S1V011,H11S1V012,H11S1V013,H11S2V001,H11S2V002,H11S2V003,H11S2V004,H11S2V005,H11S2V006,H11S2V007,H11S2V008,H11S2V009,H11S2V010,H11S2V011,H11S2V012,H11S2V013,H11S2V014,H11S2V015,H11S2V016,H11S2V017,H11S2V018,H11S2V019,H11S2V020,H11S2V021,H11S2V022,H11S2V023,H11S3V001,H11S3V002,H11S3V003,H11S3V004,H11S3V005,H11S3V006,H11S3V007,H11S3V008,H11S3V009,H11S3V010,H11S3V011,H11S3V012,H11S3V013,H11S3V014,H11S3V015,H11S3V016,H11S3V017,H11S3V018,H11S3V019,H11S3V020,H11S3V021,H11S3V022,H11S3V023
298,HUNTINGDON,Quebec,1867 - 1914,11,1908.10.26,824,3c716a03-43b1-401d-820f-7921b10e5565,"ROBB, James Alexander",1292,0.516,Liberal Party of Canada,"Merchant, miller",Protestant,0,1,,,,,,,,,,,,,1,1,1,2,2,2,9,2,2,2,9,9,2,1,1,9,1,2,9,9,9,2,2,2,2,1,2,2,2,9,1,2,9,9,2,1,2,2,1,9,2,2,2,2,1,1,2,9,2,2,9,2,2,2,2,2,9,9,9
152,COLCHESTER,Nova Scotia,1867 - 1933,11,1908.10.26,862,3e9eaadb-7fa5-4651-94a6-03dcbe5d7fb5,"STANFIELD, John",2736,0.5107,Conservative (1867-1942),Industrialist,Protestant,0,2,,,,,,,,,,,,,2,9,2,1,9,1,1,1,1,1,9,2,1,2,2,2,9,1,9,1,1,1,9,1,1,2,1,9,1,1,2,1,1,1,1,9,1,1,2,1,1,1,9,1,2,9,1,1,9,1,1,1,1,9,1,1,9,9,1
415,MACLEOD,Alberta,1907 - 1966,11,1908.10.26,888,4080fe01-bb47-413a-8f32-e4f7c4c4c3de,"HERRON, John",2935,0.4704,Liberal-Conservative,Rancher,Protestant,0,2,,,,,,,,,,,,,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,9,2,1,9,1,1,1,1,1,1,2,9,2,1,1,2,1,1,1,1,9,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
339,KINGS,Nova Scotia,1867 - 1924,11,1908.10.26,894,40fc41ed-f3f0-41b5-bb07-da9a6af9d52f,"BORDEN, Hon. Sir Frederick W.",2482,0.5549,Liberal Party of Canada,Physician,Protestant,0,8,,1,,,,,,,,,,,1,1,9,2,2,2,2,9,2,2,9,9,2,9,1,9,1,2,9,2,1,2,9,9,9,9,2,9,2,2,1,2,2,2,2,1,9,9,1,9,2,9,9,2,9,9,2,2,9,2,9,9,2,2,9,9,2,9,2
16,ANTIGONISH,Nova Scotia,1867 - 1914,11,1908.10.26,909,4220103a-c5df-4b1f-989a-17b7709f2c5c,"CHISHOLM, William",1291,0.5039,Liberal Party of Canada,"Lawyer, teacher",Catholic,0,2,,,,,,,,,,,,,1,1,9,2,2,2,2,2,2,2,9,1,2,1,1,1,1,2,2,9,9,9,2,2,2,1,2,2,2,2,1,2,2,2,2,9,2,2,1,1,2,2,2,2,9,1,2,2,2,2,2,2,2,2,9,9,2,2,2
123,CARLETON,Ontario,1867 - 1966,11,1909.02.22,916,42bcdaad-d952-4e38-9d69-03abfc233511,"KIDD, Edward",accl.,,Conservative (1867-1942),"Cheese maker, farmer",Protestant,0,3,,,,,,,,,,,,,99,2,2,1,1,9,1,1,9,9,1,2,9,2,2,2,9,1,1,1,9,1,2,1,1,2,9,2,1,9,2,1,1,1,1,2,1,1,2,1,1,9,1,1,2,2,1,1,9,1,9,1,1,1,1,1,1,1,1
835,YALE--CARIBOO,British Columbia,1892 - 1914,11,1908.10.26,923,431f1aea-d84b-44d7-82cc-340110a7e97d,"BURRELL, Martin",3413,0.5314,Conservative (1867-1942),"Author, fruit grower, parliamentary librarian",Protestant,0,1,,,,,,,,,England,,,,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,9,1,2,1,2,1,1,2,1,9,1,9,2,1,1,1,1,9,1,1,2,9,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,9,1,1,1
18,ARGENTEUIL,Quebec,1867 - 1947,11,1908.10.26,938,4430053b-1f47-481d-9354-7a7535f63be9,"PERLEY, George Halsey",1587,0.5444,Conservative (1867-1942),Lumber merchant,Protestant,0,2,,,,,,,,,United States,,,,2,2,2,1,1,1,9,1,9,1,1,2,9,2,2,9,9,1,2,1,9,9,9,1,1,2,1,2,9,9,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,9
796,WELLINGTON NORTH,Ontario,1867 - 1952,11,1908.10.26,940,44492e53-92b7-4b3a-bd2c-1b59457ff249,"MARTIN, Alexander Munro",2651,0.508,Liberal Party of Canada,Businessman,Protestant,0,2,,,,,,,,,,,,,1,9,9,2,2,2,2,2,9,9,2,1,2,1,1,9,9,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,9,2,2,1,1,2,2,2,2,9,1,2,2,2,2,2,2,2,2,2,2,2,9,9
388,LEEDS,Ontario,1903 - 1976,11,1908.10.26,989,47b47c19-8fe1-4407-b84f-9029f6aec230,"TAYLOR, George",2356,0.622,Conservative (1867-1942),Industrialist,Protestant,0,7,,,,,,,,,,,,,2,2,2,1,1,1,1,1,1,1,1,9,1,9,2,1,9,1,2,1,2,9,2,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,2,9,9,1,1,1,2,2,1,1,1,9,1,1,1,1,1,1,9,1,1
184,DUFFERIN,Ontario,1903 - 1924,11,1908.10.26-1909.11.19 ,1008,494a8cbe-9876-4914-974a-77fca67aace8,"BARR, John",2240,0.7376,Conservative (1867-1942),Physician,Protestant,0,2,,,,,,,,,,Died in office: 1909.11.19 ,,,2,2,2,1,1,1,1,1,1,1,1,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
766,VAUDREUIL,Quebec,1867 - 1914,11,1908.10.26,1026,4b02e0c1-1981-4162-963c-ca1a572cb6f1,"BOYER, Gustave",1408,0.6825,Liberal Party of Canada,"Gentleman, journalist",Fr.Catholic,1,2,,,,,,,,,,,,,1,1,1,2,2,2,2,9,2,2,9,9,9,9,9,1,9,2,9,2,9,9,2,2,2,1,2,9,2,2,9,2,2,2,2,1,2,2,9,1,9,9,2,2,1,9,2,2,2,2,9,9,2,2,2,9,2,9,9
63,BRANT,Ontario,1903 - 1947,11,1908.10.26,1033,4c0343e7-af09-409c-8b15-82597243d468,"PATERSON, Hon. William",1799,0.5365,Liberal Party of Canada,Confectioner,Protestant,0,10,,1,,,,,,,,,,,1,1,9,2,2,2,2,2,9,2,2,9,9,1,1,1,1,2,2,9,9,9,9,9,9,9,9,2,2,9,1,2,2,2,2,1,2,2,1,2,2,9,2,2,1,9,2,2,2,9,2,2,2,2,2,2,2,2,2
587,QUEEN'S,Prince Edward Island,1903 - 1966,11,1908.10.26,1038,4c87bf8d-3933-4648-a8cc-7c835f29540b,"PROWSE, Lemuel Ezra",4290,0.2562,Liberal Party of Canada,Merchant,Protestant,0,1,,,,,,,,,,,,,1,9,1,2,2,9,9,9,9,2,2,1,2,1,1,1,9,2,9,2,1,2,2,2,2,1,2,2,2,9,9,9,9,2,2,9,2,2,1,9,2,2,2,2,9,1,2,2,2,2,2,2,2,2,2,9,2,2,2
323,KAMOURASKA,Quebec,1867 - 1976,11,1908.10.26,1050,4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c,"LAPOINTE, Ernest",1860,0.5461,Liberal Party of Canada,Lawyer,Fr.Catholic,1,3,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,9,1,2,9,9,9,1,9,2,2,9,2,2,2,2,1,9,9,9,9,1,2,2,9,2,1,2,2,9,9,9,2,2,9,1,9,2,9,9,2,2,9,9,9,2,2,2,2,2
1267,TORONTO WEST,Ontario,1903 - 1924,11,1908.10.26,1059,4e01e3c6-73dc-40cf-8a42-e6156318db32,"OSLER, Edmund Boyd",4772,0.6636,Conservative (1867-1942),Financier,Protestant,0,4,,,,,,,,,,,,,2,9,9,9,1,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1
455,MONTCALM,Quebec,1867 - 1914,11,1909.09.25,1071,4ec792a6-2959-4e13-9458-a23963064623,"LAFORTUNE, David-Arthur",1256,0.5428,Independent Liberal,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,9,1,1,1,2,9,2,9,2,2,2,2,1,9,1,2,9,1,2,2,2,2,1,2,2,9,9,2,2,2,9,1,1,2,9,2,2,2,9,9,2,2,9,2,2,2
393,LENNOX AND ADDINGTON,Ontario,1903 - 1924,11,1908.10.26,1083,4fa6e520-c225-437f-92e4-2fe6af783ace,"WILSON, Uriah",2452,0.5162,Conservative (1867-1942),Merchant,Protestant,0,6,,,,,,,,,,,,,2,2,2,1,1,1,1,9,1,1,1,2,1,2,9,2,2,1,2,1,9,1,2,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
301,HURON EAST,Ontario,1882 - 1914,11,1908.10.26,1087,501d2f98-6e1c-4710-8d9c-177e33d38756,"CHISHOLM, Thomas",2177,0.5097,Conservative (1867-1942),"Author, lecturer, physician, teacher",Catholic,0,2,,,,,,,,,,,,,2,9,2,1,1,1,1,1,1,1,9,9,9,2,2,2,9,1,1,9,2,1,1,1,1,2,1,2,9,9,9,1,9,1,1,9,1,9,2,1,1,1,9,1,2,2,9,9,9,1,1,1,1,1,9,1,1,1,1
562,PORTNEUF,Quebec,1867 - 2004,11,1908.10.26,1088,50213f53-4bd4-4a8f-a6eb-ae0ac7c0034d,"DELISLE, Michel-Simeon",2949,0.5697,Liberal Party of Canada,"Gentleman, merchant, person of independent means",Fr.Catholic,1,3,,,,,,,,,,,,,1,1,1,2,2,2,9,2,2,2,9,9,9,1,1,1,1,2,9,2,1,2,2,2,2,1,2,1,9,9,1,2,2,2,2,9,2,2,1,9,2,2,2,2,1,1,9,2,2,2,2,9,2,2,9,2,2,2,9
36,BEAUCE,Quebec,1867 - ,11,1908.10.26,1092,50634114-351e-4c08-8b61-8698a41f8814,"BELAND, Henri Severin",4083,0.9571,Liberal Party of Canada,Physician,Fr.Catholic,1,3,,1,,,,,,,,,,,1,9,1,2,2,2,2,2,2,9,9,1,2,9,1,1,9,2,9,2,1,2,2,2,2,1,2,1,2,9,1,2,2,2,2,1,2,2,1,9,2,2,9,2,1,1,2,2,2,2,2,2,2,2,9,9,2,2,9
793,WELLAND,Ontario,1867 - 1987,11,1908.10.26,1098,511d8a61-1106-4b86-a494-9cfa7e47f4f6,"GERMAN, William Manly",4449,0.5389,Liberal Party of Canada,Barrister,Protestant,0,4,,,,,,,,,,,,,1,9,1,9,2,9,9,9,2,9,2,9,9,9,1,1,9,9,2,9,9,9,9,9,9,9,9,9,9,9,1,9,9,2,9,1,9,9,9,9,9,2,9,2,9,9,9,9,9,2,9,2,2,2,9,9,9,9,9
23,ASSINIBOIA,Saskatchewan,1907 - 1987,11,1908.10.26,1114,52a4499f-fa60-4960-92e4-bb99baf0c85e,"TURRIFF, John Gillanders",4048,0.5333,Liberal Party of Canada,"Farmer, merchant",Protestant,0,2,,,,,,,,,,,,,1,1,9,2,2,9,2,2,1,9,2,1,2,9,1,9,9,2,9,9,1,2,2,2,2,1,2,9,2,2,1,2,2,9,9,1,2,2,1,9,2,9,2,2,9,9,2,2,9,9,9,2,2,2,2,2,2,2,2
609,RICHMOND,Nova Scotia,1867 - 1914,11,1908.10.26,1126,535344f8-2229-4bb7-8b9a-cdbb8bf4b522,"KYTE, George W.",1279,0.5518,Liberal Party of Canada,"Barrister, lawyer",Catholic,0,1,,,,,,,,,,,,,1,1,1,2,2,2,9,2,2,2,2,9,2,1,1,1,1,2,2,2,1,2,2,2,2,1,9,9,2,2,1,2,2,2,9,9,2,2,9,9,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,9,2,2,2
311,INVERNESS,Nova Scotia,1867 - 1933,11,1908.10.26,1142,54527ec0-1e62-40d5-99dc-90f2d267f646,"CHISHOLM, Alexander W.",3381,0.6479,Liberal Party of Canada,Physician,Catholic,0,1,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,1,9,9,9,9,9,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,9,2,2,9,2,2,1,1,2,2,2,2,1,1,2,2,9,2,2,2,2,2,9,9,2,2,2
208,ELGIN WEST,Ontario,1867 - 1933,11,1908.10.26,1180,5654ad0c-4f83-4d39-8720-1bcc13b5d7f5,"CROTHERS, Thomas Wilson",3259,0.5432,Conservative (1867-1942),"Lawyer, teacher",Protestant,0,1,,,,,,,,,,,,,2,9,9,1,1,1,1,1,9,1,1,2,1,2,2,2,2,1,1,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,9,1,1,1,2,1,9,1,1,1,2,2,1,1,1,1,1,1,1,1,1,9,1,1,1
409,LUNENBURG,Nova Scotia,1867 - 1924,11,1908.10.26-1909.10.23,1189,56fdc84e-aaff-46fe-bf93-d6f1014c6188,"MACLEAN, Alexander Kenneth",3533,0.5146,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,,Resignation. Enters provincial politics in Nova Scotia: 1909.10.23.,,,1,1,1,2,2,2,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
411,MACDONALD,Manitoba,1892 - 1947,11,1908.10.26,1234,59e1c065-68c5-4024-8c34-8de437f5e8df,"STAPLES, William D.",2990,0.5533,Conservative (1867-1942),Farmer,Protestant,0,2,,,,,,,,,,,,,2,2,2,1,1,9,9,9,1,1,1,9,1,2,2,9,2,1,9,1,9,1,2,1,1,2,9,1,1,1,2,1,1,1,1,9,1,1,2,1,1,1,1,1,2,2,1,1,9,1,1,1,1,1,1,9,1,1,1
487,NIPISSING,Ontario,1892 - 2003,11,1908.10.26,1244,5ad85252-e5b4-408d-b0ec-d0a246a9a374,"GORDON, George",4301,0.5012,Conservative (1867-1942),Lumber merchant,Protestant,0,1,,,,,,,,,,,,,2,9,9,9,1,9,1,9,9,1,1,9,1,9,9,9,9,9,9,9,2,1,2,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
243,GLOUCESTER,New Brunswick,1867 - 1990,11,1908.10.26,1245,5afbdf71-2ff3-4501-b9b3-74750bfc73ee,"TURGEON, Onesiphore",2581,0.5521,Liberal Party of Canada,"Editor, journalist",Fr.Catholic,1,3,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,9,9,9,9,1,2,9,9,9,1,2,2,9,9,2,2,2,2,9,1,2,2,2,9,2,2,2,2,2,2,2,2,2
514,ONTARIO SOUTH,Ontario,1867 - 1924,11,1908.10.26,1256,5bf3322b-146c-41c3-83e2-c2475e28bf43,"FOWKE, Fred Luther",2939,0.5216,Liberal Party of Canada,"Businessman, exporter, merchant",Protestant,0,1,,,,,,,,,,,,,9,1,1,2,2,2,2,2,2,2,9,9,2,1,1,1,2,2,9,2,1,2,2,2,2,1,2,2,2,9,1,2,2,2,2,1,2,2,1,9,2,2,2,2,1,1,2,2,2,2,9,2,2,2,2,2,2,2,2
687,SIMCOE SOUTH,Ontario,1867 - 1924,11,1908.10.26,1257,5bfd2fe5-bfe6-42c4-9503-71c3b6f865df,"LENNOX, Haughton",2830,0.6852,Conservative (1867-1942),Lawyer,Protestant,0,3,,,,,,,,,,,,,2,2,2,1,1,1,9,1,1,1,1,2,1,2,2,2,9,1,9,9,2,1,2,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,2,1,9,1,1,1,2,2,1,9,1,1,1,1,1,1,1,1,1,1,1
44,BELLECHASSE,Quebec,1867 - 1996,11,1908.10.26,1261,5c86a0e1-d905-447a-9089-949a4a72123a,"TALBOT, Onesiphore-Ernest",1988,0.7602,Liberal Party of Canada,Farmer,Fr.Catholic,1,4,,,,,,,,,,,,,1,1,1,2,2,9,2,2,9,9,2,9,2,9,9,1,1,2,2,2,9,2,2,2,9,9,9,1,2,9,1,2,9,2,2,1,2,2,1,9,2,2,9,9,1,9,2,9,2,2,9,9,9,9,2,9,9,2,9
409,LUNENBURG,Nova Scotia,1867 - 1924,11,1909.12.22,1284,5de7002e-d3b5-41bc-b341-483ed5ed36d6,"SPERRY, John Drew",3371,0.5206,Liberal Party of Canada,Merchant,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,9,9,9,9,9,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
263,HALIFAX,Nova Scotia,1867 - ,11,1908.10.26,1290,5e8a24b4-f155-4f3d-aacc-e6da13c93756,"BORDEN, Robert Laird",7386,0.268,Conservative (1867-1942),Lawyer,Protestant,0,4,,,,,,,,,,Resignation. Elected for Halifax and for Carleton. Chose to sit for Halifax.,,,2,2,9,1,1,1,9,9,9,1,1,2,1,9,9,9,2,1,2,1,9,1,2,1,1,2,1,2,1,1,2,1,1,1,1,9,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,9,1,1
858,YUKON,Yukon,1902 - 1947,11,1908.10.26,1324,60d1b3e1-f8a7-4a52-bfde-6c03c7c20471,"CONGDON, Frederick Tennyson",992,0.4024,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,9,9,1,2,2,2,9,2,2,2,2,1,2,1,1,1,1,9,2,2,1,2,2,2,2,1,2,1,2,9,1,2,2,2,2,1,2,2,9,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,9,9,2,2
455,MONTCALM,Quebec,1867 - 1914,11,1908.10.26-1909.09.05,1336,614a9bfb-3f35-4d47-87b1-877e754b6e63,"DUGAS, Francois-Octave",1432,0.5327,Liberal Party of Canada,"Crown prosecutor, lawyer",Fr.Catholic,1,3,,,,,,,,,,Resignation. Appointed Judge of the Superior Court of Quebec: 1909.09.05.,,,1,1,1,9,2,2,9,2,2,2,2,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
755,THREE RIVERS AND ST. MAURICE,Quebec,1892 - 1924,11,1908.10.26,1340,61c189fb-d551-49ed-82da-cc777b86b056,"BUREAU, Hon. Jacques",3139,0.639,Liberal Party of Canada,Lawyer,Fr.Catholic,1,3,,1,,,,,,,,,,,1,1,9,9,2,9,9,2,2,2,9,1,2,1,1,1,1,2,9,2,9,2,2,2,2,1,2,9,2,2,1,2,2,9,2,1,2,2,1,2,2,2,2,2,9,1,2,2,2,2,2,2,2,2,9,2,2,2,2
776,VICTORIA,New Brunswick,1867 - 1914,11,1908.10.26,1375,64706d8b-7252-4010-9517-6f90f6dfaf49,"MICHAUD, Pius",2611,0.782,Liberal Party of Canada,"Barrister, lawyer",Fr.Catholic,1,2,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,1,9,1,1,1,9,2,9,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,9,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,9,2,2,2,2,2
345,KOOTENAY,British Columbia,1903 - 1914,11,1908.10.26,1377,64a8b3b9-6cc4-4b67-b0b6-1e57b883617c,"GOODEVE, Arthur Samuel",3109,0.4697,Conservative (1867-1942),Pharmacist,Protestant,0,1,,,,,,,,,,,,,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,9,1,2,9,2,1,1,2,1,9,9,1,2,1,1,1,1,9,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
497,NORTHUMBERLAND,New Brunswick,1867 - 1955,11,1908.10.26,1393,65b95af4-7627-444a-9989-c8b3033301d0,"LOGGIE, William Stewart",3223,0.5898,Liberal Party of Canada,"Company head, manufacturer, merchant",Protestant,0,2,,,,,,,,,,,,,1,1,1,2,2,2,2,9,2,2,2,9,2,1,1,1,1,2,2,2,9,9,2,2,2,1,2,2,2,2,1,2,2,9,2,1,2,2,1,1,2,2,2,9,9,1,2,2,2,2,2,2,2,2,2,2,2,2,2
603,RESTIGOUCHE,New Brunswick,1867 - 1914,11,1908.10.26,1458,6a6494ab-800a-49c6-a153-c5bbc106f7d1,"REID, James",1256,0.528,Liberal Party of Canada,"Lumber merchant, merchant",Protestant,0,3,,,,,,,,,,,,,1,1,1,2,2,2,9,9,2,2,2,1,2,1,1,1,1,2,2,2,1,9,2,2,2,1,9,2,9,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,9,9,2,2
109,NORTH CAPE BRETON AND VICTORIA,Nova Scotia,1903 - 1924,11,1908.10.26,1478,6c38f39b-1f70-4da5-ac6d-14d796590e55,"MCKENZIE, Daniel D.",2849,0.5015,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,,,,,1,1,1,2,2,2,9,2,2,2,2,1,2,1,1,9,1,2,2,2,1,2,2,2,2,1,2,2,2,9,1,2,2,2,9,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
110,CAPE BRETON SOUTH,Nova Scotia,1903 - 1914,11,1908.10.26,1479,6c464b76-816d-4b88-8d66-1501f13845b5,"MADDIN, James William",5048,0.5114,Liberal-Conservative,Lawyer,Protestant,0,1,,,,,,,,,,,,,2,9,2,1,9,9,9,9,1,1,9,2,1,2,9,9,2,1,9,1,1,9,2,1,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,1,2,9,1,1,1,9,9,9,9,9,9,9,1,1,1
327,KENT,New Brunswick,1867 - 1966,11,1908.10.26,1490,6cecc35d-a42b-4a70-b47c-ebf8de97da96,"LEBLANC, Oliver J.",2580,0.5811,Liberal Party of Canada,Farmer,Fr.Catholic,1,3,,,,,,,,,,,,,1,1,1,2,2,2,9,2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,9,2,2,2,1,2,2,2,2,9,2,2,1,1,2,2,2,2,9,9,2,2,2,9,2,2,2,9,2,2,2,2,2
330,KENT EAST,Ontario,1903 - 1914,11,1908.10.26,1504,6d854670-e0f5-4fc3-888f-6c2e288bf87d,"GORDON, David Alexander",2895,0.5464,Liberal Party of Canada,Manufacturer,Protestant,0,2,,,,,,,,,,,,,1,9,9,2,2,9,2,9,9,9,9,9,2,9,9,1,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,2,2,9,9,2,9,2,9,9,9,2,2,9,9,9,9,9
196,EDMONTON,Alberta,1905 - 1914,11,1908.10.26,1525,6e8d69a0-c443-4d32-9982-364df1473067,"OLIVER, Hon. Frank",5212,0.6429,Liberal Party of Canada,Publisher,Protestant,0,4,,1,,,,,,,,,,,1,9,1,9,2,9,9,2,9,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,9,9,2,2,2,2,1,9,9,1,1,2,2,2,2,1,1,2,2,2,2,2,2,9,9,2,9,2,2,9
781,VICTORIA CITY,British Columbia,1903 - 1924,11,1908.10.26,1546,70751f3f-93c4-498e-954c-d7a8df6a4c93,"BARNARD, George Henry",2179,0.5015,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,,,,,2,2,2,1,1,1,1,9,9,9,1,2,1,9,9,9,2,1,9,1,2,9,2,1,1,2,1,9,9,9,2,1,1,9,1,9,1,1,2,1,1,1,1,1,2,9,1,1,1,1,1,1,1,1,9,9,1,1,9
80,BRUCE NORTH,Ontario,1867 - 1933,11,1908.10.26,1553,713cf301-7f68-479b-b74d-641d8d140855,"TOLMIE, John",2774,0.5325,Liberal Party of Canada,Manufacturer,Protestant,0,4,,,,,,,,,Scotland,,,,1,1,1,9,2,2,2,2,2,2,9,9,2,1,1,9,1,2,2,2,1,2,2,2,2,1,2,2,2,9,1,2,2,2,2,1,2,2,1,1,2,2,2,9,1,9,2,2,9,9,2,9,9,9,2,9,9,9,9
235,GASPE,Quebec,1867 - 1996,11,1908.10.26,1590,733cae8a-7e57-46c6-ab2e-478ac991835f,"LEMIEUX, Hon. Rodolphe",2063,0.7832,Liberal Party of Canada,"Author, lawyer, lecturer",Fr.Catholic,1,4,,1,,,,,,,,,,,9,1,9,2,9,2,2,9,2,2,2,1,2,9,9,9,9,9,2,2,1,2,2,2,2,1,9,2,9,2,1,2,2,2,2,1,9,9,9,9,9,2,2,9,1,9,2,2,2,2,2,9,9,9,9,2,2,2,2
624,ROUVILLE,Quebec,1867 - 1914,11,1908.10.26,1592,73436b70-d382-4eb3-9baf-bb0e92fdbf12,"BRODEUR, Hon. Louis Philippe",accl.,,Liberal Party of Canada,Lawyer,Fr.Catholic,1,5,,1,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,1,2,9,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2,9,9,9,2,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9
606,RICHELIEU,Quebec,1867 - 1933,11,1908.10.26,1610,74c835bf-b1e7-4f16-a76d-7f9a6d3eef37,"LANCTOT, Adelard",2468,0.6302,Liberal Party of Canada,Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,1,1,1,2,9,2,9,2,2,9,9,9,2,9,1,1,1,9,9,2,9,2,2,2,2,1,2,9,2,9,1,2,2,2,2,1,2,2,9,9,2,2,2,2,1,1,9,2,9,9,9,2,2,2,2,2,2,2,2
266,HALTON,Ontario,1867 - 1987,11,1908.10.26,1612,74dd6652-cc90-4645-97e9-bfadb4e237e7,"HENDERSON, David",2417,0.5229,Conservative (1867-1942),"Banker, merchant",Protestant,0,6,,,,,,,,,,,,,2,2,9,1,1,1,1,1,1,1,1,2,1,2,2,2,9,1,9,1,2,9,2,1,1,2,9,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,9,1,1,1,1,1,1,1,9,9
820,WINNIPEG,Manitoba,1882 - 1914,11,1908.10.26,1633,766d27fe-f05e-4e0a-bddc-605b5779ad8d,"HAGGART, Alexander",8747,0.5012,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,,,,,2,2,2,1,1,9,9,9,9,1,9,2,1,2,2,2,2,1,1,1,9,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,9,9,1,1,1,1,1,1,1,1
