Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S7S1V01,S7S1V02,S7S1V03,S7S1V04,S7S1V05,S7S1V06,S7S1V07,S7S1V08,S7S1V09,S7S1V10,S7S2V01,S7S2V02,S7S2V03,S7S2V04,S7S2V05,S7S2V06,S7S2V07,S7S3V01,S7S3V02,S7S3V03,S7S3V04,S7S4V01,S7S4V02,S7S4V03,S7S4V04,S7S4V05,S7S4V06,S7S4V07,S7S4V08,S7S4V09,S7S4V10,S7S4V11,S7S4V12,S7S5V01,S7S5V02,S7S5V03,S7S5V04,S7S5V05,S7S5V06,S7S5V07,S7S5V08,S7S5V09
"Vidal, Alexander",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1873.01.15 - 1906.11.18 ,1873.01.15 , 1906.11.18 ,(Death),2,9,2,2,1,1,2,2,2,1,2,1,2,2,1,2,2,1,2,1,9,2,1,2,2,2,2,2,2,1,9,9,9,1,2,2,2,2,2,2,9,9
"Dobson, John",Conservative (1867-1942),Ontario,"Abbott, John Joseph Caldwell",1892.02.23 - 1907.01.27 ,1892.02.23 , 1907.01.27 ,(Death),99,99,99,99,99,99,99,99,99,99,2,9,2,2,1,2,2,1,2,2,9,2,1,9,9,9,9,9,9,9,1,2,2,9,2,9,1,9,2,2,9,9
"Gowan, James Robert",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1885.01.29 - 1907.02.01 ,1885.01.29 , 1907.02.01 ,(Resignation),2,1,2,9,9,9,9,2,2,1,9,9,9,9,9,9,9,2,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9
"Hingston, William Hales",Conservative (1867-1942),Quebec,"Bowell, Mackenzie",1896.01.02 - 1907.02.19 ,1896.01.02 , 1907.02.19 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Casgrain, Charles EusíÂbe",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1887.01.12 - 1907.03.08 ,1887.01.12 , 1907.03.08 ,(Death),9,1,2,2,9,9,9,2,2,1,1,2,2,2,1,1,2,1,2,2,9,9,9,1,1,2,2,1,1,2,1,9,9,2,1,2,1,1,2,2,9,9
"Merner, Samuel",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1887.01.12 - 1908.08.11 ,1887.01.12 , 1908.08.11 ,(Death),1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,9,9,1,1,1,9,2,1,2,1,9,9,9,9,9,1,1,1,1,2,9,1,1,2,1,9,9
"Bernier, Thomas-Alfred",Conservative (1867-1942),Manitoba,"Abbott, John Joseph Caldwell",1892.10.27 - 1908.12.30 ,1892.10.27 , 1908.12.30 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,9,2,9,1,2,1,9,2,2,1,1,2,1,2,2,2,1,2,2,2,9,2,2,2
"Thibaudeau, Joseph-Rosaire",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1878.01.04 - 1909.06.16 ,1878.01.04 , 1909.06.16 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9
"Perley, William Dell",Conservative (1867-1942),Northwest Territories,"Macdonald, John Alexander",1888.08.03 - 1909.07.15 ,1888.08.03 , 1909.07.15 ,(Death),2,9,2,2,9,2,2,2,2,1,2,2,1,2,2,1,2,9,9,1,9,2,2,9,1,2,2,9,9,2,2,2,9,1,2,2,9,1,1,2,9,9
"Ferguson, Donald",Conservative (1867-1942),Prince Edward Island,"Thompson, John Sparrow David",1893.09.04 - 1909.09.03 ,1893.09.04 , 1909.09.03 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,1,1,2,9,2,2,9,9,9,1,2,2,9,9,9,9,2,2
"Drummond, George Alexander",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1888.12.01 - 1910.02.02 ,1888.12.01 , 1910.02.02 ,(Death),9,9,9,2,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,1,9,9,9,9,9,1,2,2,2,9,9,2,2,1,9,2,1,9,2,2,9,9
"Baker, George Barnard",Liberal-Conservative,Quebec,"Bowell, Mackenzie",1896.01.07 - 1910.02.09 ,1896.01.07 , 1910.02.09 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Forget, Louis Joseph",Conservative (1867-1942),Quebec,"Tupper, Charles",1896.06.15 - 1911.04.07 ,1896.06.15 , 1911.04.07 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Carling, John",Liberal-Conservative,Ontario,"Bowell, Mackenzie",1896.04.23 - 1911.11.06 ,1896.04.23 , 1911.11.06 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"McKay, Thomas",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1881.12.24 - 1912.01.13 ,1881.12.24 , 1912.01.13 ,(Death),2,1,2,2,2,2,2,2,9,1,2,1,1,2,2,1,9,1,2,1,9,2,1,2,9,1,1,2,2,1,2,9,9,1,2,2,1,2,2,2,9,9
"Miller, William",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1912.02.23 ,1867.10.23 , 1912.02.23 ,(Death),2,1,2,2,2,2,1,2,2,1,9,1,2,9,1,2,2,1,2,9,9,9,9,9,1,2,2,2,9,9,9,9,9,1,1,9,1,2,9,9,9,9
"Wood, Josiah",Conservative (1867-1942),New Brunswick,"Bowell, Mackenzie",1895.08.05 - 1912.03.12 ,1895.08.05 , 1912.03.12 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"MacDonald, Andrew Archibald",Liberal-Conservative,Prince Edward Island,"Macdonald, John Alexander",1891.05.11 - 1912.03.21 ,1891.05.11 , 1912.03.21 ,(Death),99,2,9,9,2,2,2,2,9,1,1,1,9,2,1,1,2,1,1,1,9,1,2,1,1,2,2,9,9,1,1,9,9,2,1,2,9,2,2,2,9,9
"Sullivan, Michael",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1885.01.29 - 1912.11.29 ,1885.01.29 , 1912.11.29 ,(Resignation),9,1,9,2,9,2,1,2,2,9,2,9,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,2,9,1,9,1,9,9,2,9,2
"Scott, Richard William",Liberal Party of Canada,Ontario,"Mackenzie, Alexander",1874.03.13 - 1913.04.23 ,1874.03.13 , 1913.04.23 ,(Death),1,2,1,2,1,1,2,1,2,2,9,1,9,1,2,1,1,1,2,9,9,1,2,1,2,1,2,1,1,2,9,1,1,2,1,1,1,2,1,1,1,1
"McMillan, Donald",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1884.01.11 - 1914.07.26 ,1884.01.11 , 1914.07.26 ,(Death),9,1,2,2,9,2,1,2,9,1,2,9,2,2,1,2,2,9,9,1,2,9,9,9,9,1,2,9,9,9,1,2,2,9,1,9,1,1,2,2,9,9
"Kirchhoffer, John Nesbitt",Conservative (1867-1942),Manitoba,"Thompson, John Sparrow David",1892.12.16 - 1914.12.22 ,1892.12.16 , 1914.12.22 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,2,2,1,2,9,2,2,2,2,2,9,9,9,1,2,9,9,9,9,2,9,9
"Macdonald, William John",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1915.04.13 ,1871.12.13 , 1915.04.13 ,(Resignation),2,1,2,2,2,2,1,2,2,1,1,1,2,2,1,2,2,9,2,1,9,2,2,9,2,2,2,9,9,9,9,9,9,1,2,9,2,2,2,2,9,9
"Boucher de Boucherville, Charles EugíÂne",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1879.02.12 - 1915.09.11 ,1879.02.12 , 1915.09.11 ,(Death),2,2,2,1,2,2,9,2,2,1,9,9,9,9,9,9,9,9,2,1,1,9,9,1,9,1,1,1,1,2,1,2,2,2,9,2,1,2,2,2,9,9
"MacKeen, David",Conservative (1867-1942),Nova Scotia,"Bowell, Mackenzie",1896.02.21 - 1915.10.15 ,1896.02.21 , 1915.10.15 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"McDonald, William",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1884.05.12 - 1916.07.04 ,1884.05.12 , 1916.07.04 ,(Death),9,2,2,9,9,2,1,2,2,1,9,1,1,9,2,1,2,9,1,9,9,9,9,9,1,1,1,9,9,2,9,9,9,2,1,2,2,1,9,9,9,9
"Baird, George Thomas",Conservative (1867-1942),New Brunswick,"Bowell, Mackenzie",1895.06.19 - 1917.04.21 ,1895.06.19 , 1917.04.21 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,9,9
"Owens, William",Conservative (1867-1942),Quebec,"Bowell, Mackenzie",1896.01.02 - 1917.06.08 ,1896.01.02 , 1917.06.08 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bowell, Mackenzie",Conservative (1867-1942),Ontario,"Thompson, John Sparrow David",1892.12.05 - 1917.12.10 ,1892.12.05 , 1917.12.10 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,2,2,1,2,2,2,2,2,2,2,9,9,9,1,1,2,1,2,2,2,2,2
"McLaren, Peter",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1890.02.21 - 1919.05.23 ,1890.02.21 , 1919.05.23 ,(Death),9,9,9,9,9,2,1,2,9,9,9,9,9,2,9,1,2,9,9,9,2,9,9,2,9,2,2,2,2,2,1,1,1,1,9,9,9,1,2,2,9,9
"Landry, Auguste-Charles-Philippe-Robert",Conservative (1867-1942),Quebec,"Abbott, John Joseph Caldwell",1892.02.23 - 1919.12.20 ,1892.02.23 , 1919.12.20 ,(Death),99,99,99,99,99,99,99,99,99,99,9,1,2,2,9,1,9,9,9,9,9,1,2,1,9,1,2,1,1,9,1,9,9,9,1,2,1,9,1,2,9,9
"Power, Lawrence Geoffrey",Liberal Party of Canada,Nova Scotia,"Mackenzie, Alexander",1877.02.02 - 1921.09.12 ,1877.02.02 , 1921.09.12 ,(Death),2,2,1,1,1,1,2,1,9,9,9,1,1,1,2,1,1,2,1,2,2,1,2,1,9,1,1,1,1,1,2,9,9,2,1,1,2,1,1,1,1,1
"Bolduc, Joseph",Nationalist Conservative,Quebec,"Macdonald, John Alexander",1884.10.03 - 1924.08.13 ,1884.10.03 , 1924.08.13 ,(Death),9,2,2,2,2,2,1,2,9,1,9,9,2,2,1,9,2,1,9,2,9,1,2,9,9,9,9,9,9,9,1,9,9,9,1,2,1,9,9,2,9,9
"Lougheed, James Alexander",Liberal-Conservative,Northwest Territories,"Macdonald, John Alexander",1889.12.10 - 1925.11.02 ,1889.12.10 , 1925.11.02 ,(Death),9,1,9,9,9,9,9,9,9,9,2,1,9,9,1,2,9,9,9,1,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,2,1,1,2,2,9,9
"Montplaisir, Hippolyte",Liberal-Conservative,Quebec,"Macdonald, John Alexander",1891.02.09 - 1927.06.20 ,1891.02.09 , 1927.06.20 ,(Death),1,2,2,2,2,2,9,2,2,1,1,9,2,2,1,9,2,1,9,2,1,1,2,1,9,1,9,9,9,2,9,2,2,2,1,9,1,9,9,9,9,9
"Poirier, Pascal",Liberal-Conservative,New Brunswick,"Macdonald, John Alexander",1885.03.09 - 1933.09.25 ,1885.03.09 , 1933.09.25 ,(Death),1,9,9,2,2,1,2,9,9,1,9,9,2,9,2,1,9,2,1,9,9,1,2,1,9,9,9,1,1,2,9,2,2,2,1,2,1,1,9,2,9,9
