Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S1S1V01,S1S1V02,S1S1V03,S1S1V04,S1S1V05,S1S1V06,S1S1V07,S1S1V08,S1S1V09,S1S2V01,S1S2V02,S1S2V03,S1S2V04,S1S2V05,S1S2V06,S1S2V07,S1S2V08,S1S2V09,S1S3V01,S1S3V02,S1S3V03,S1S3V04,S1S3V05,S1S3V06,S1S4V01,S1S4V02,S1S4V03,S1S4V04,S1S4V05,S1S4V06,S1S5V01,S1S5V02,S1S5V03,S1S5V04,S1S5V05,S1S5V06
"Sanborn, John Sewall",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1872.10.01 ,1867.10.23 , 1872.10.01 ,(Resignation),2,9,9,9,1,1,1,1,1,1,1,9,9,9,1,1,1,1,9,9,1,2,1,1,1,1,1,1,2,1,1,2,9,9,9,9
"Mitchell, Peter",Liberal-Conservative,New Brunswick,Royal Proclamation,1867.10.23 - 1872.07.13 ,1867.10.23 , 1872.07.13 ,(Resignation),1,2,2,1,2,1,2,2,2,2,1,2,1,9,2,2,2,2,1,2,2,1,2,2,9,2,2,2,1,2,1,2,9,1,1,2
"Bill, Caleb Rand",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1872.02.01 ,1867.10.23 , 1872.02.01 ,(Death),1,1,2,1,1,1,2,1,2,2,1,2,1,1,2,2,2,2,1,1,2,1,2,2,9,2,2,2,1,9,9,9,9,9,99,99
"Duchesnay, Henri Elz_ar Jucherau",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1871.05.12 ,1867.10.23 , 1871.05.12 ,(Death),1,1,1,2,2,9,2,1,2,9,2,2,1,2,2,2,2,2,2,9,2,1,2,2,9,9,9,9,9,9,99,99,99,99,99,99
"Ross, John",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1871.01.31 ,1867.10.23 , 1871.01.31 ,(Death),9,9,1,2,9,1,1,2,2,2,9,9,1,1,2,2,2,2,9,2,2,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99
"Duchesnay, Antoine Juchereau",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1871.01.07 ,1867.10.23 , 1871.01.07 ,(Resignation),9,9,9,9,9,9,9,9,9,2,2,1,1,2,1,1,1,2,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99
"McCrea, Walter",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1871.01.05 ,1867.10.23 , 1871.01.05 ,(Resignation),2,1,2,1,2,1,2,1,1,1,1,9,1,1,2,2,1,2,1,9,2,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99
"Anderson, John Hawkins",Liberal Party of Canada,Nova Scotia,Royal Proclamation,1867.10.23 - 1870.12.24 ,1867.10.23 , 1870.12.24 ,(Death),1,1,9,9,1,9,1,1,9,9,9,2,1,9,1,1,1,9,1,1,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99
"McCully, Jonathan",Liberal Party of Canada,Nova Scotia,Royal Proclamation,1867.10.23 - 1870.09.28 ,1867.10.23 , 1870.09.28 ,(Resignation),2,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,9,1,2,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99
"Ritchie, John William",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1870.09.28 ,1867.10.23 , 1870.09.28 ,(Resignation),1,9,2,1,9,9,9,9,9,9,9,2,1,1,2,2,1,2,1,2,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99
"Crawford, George",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1870.07.04 ,1867.10.23 , 1870.07.04 ,(Death),9,1,9,9,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,99,99,99,99,99,99,99,99,99,99,99,99
"Wier, Benjamin",Liberal Party of Canada,Nova Scotia,Royal Proclamation,1867.10.23 - 1868.04.14 ,1867.10.23 , 1868.04.14 ,(Death),1,1,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Boss_, Joseph-No•l",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1868.01.01 ,1867.10.23 , 1868.01.01 ,(Resignation),1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Blair, Adam Johnston Fergusson",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1867.12.29 ,1867.10.23 , 1867.12.29 ,(Death),2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Belleau, Narcisse-Fortunat",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1867.10.23 ,1867.10.23 , 1867.10.23 ,(Appointment declined),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Chandler, Edward Barron",Liberal-Conservative,New Brunswick,Royal Proclamation,1867.10.23 - 1867.10.23 ,1867.10.23 , 1867.10.23 ,(Appointment declined),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Todd, William",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1867.10.23 ,1867.10.23 , 1867.10.23 ,(Appointment declined),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
