Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H07S1V001,H07S1V002,H07S1V003,H07S1V004,H07S1V005,H07S1V006,H07S1V007,H07S1V008,H07S1V009,H07S1V010,H07S1V011,H07S1V012,H07S1V013,H07S1V014,H07S1V015,H07S1V016,H07S1V017,H07S1V018,H07S1V019,H07S1V020,H07S1V021,H07S1V022,H07S1V023,H07S1V024,H07S1V025,H07S1V026,H07S1V027,H07S1V028,H07S2V001,H07S2V002,H07S2V003,H07S2V004,H07S2V005,H07S2V006,H07S2V007,H07S2V008,H07S2V009,H07S2V010,H07S2V011,H07S2V012,H07S2V013,H07S3V001,H07S3V002,H07S3V003,H07S3V004,H07S3V005,H07S3V006,H07S3V007,H07S3V008,H07S3V009,H07S3V010,H07S3V011,H07S3V012,H07S4V001,H07S4V002,H07S4V003,H07S4V004,H07S4V005,H07S4V006,H07S4V007,H07S4V008,H07S4V009,H07S4V010,H07S4V011,H07S4V012,H07S4V013,H07S4V014,H07S4V015,H07S4V016,H07S4V017,H07S4V018,H07S4V019,H07S4V020,H07S4V021,H07S4V022,H07S4V023,H07S4V024,H07S4V025,H07S4V026,H07S4V027,H07S4V028,H07S4V029,H07S4V030,H07S4V031,H07S4V032,H07S5V001,H07S5V002,H07S5V003,H07S5V004,H07S5V005,H07S5V006,H07S5V007,H07S5V008,H07S5V009,H07S5V010,H07S5V011,H07S5V012,H07S5V013,H07S5V014,H07S5V015,H07S5V016,H07S5V017,H07S5V018,H07S5V019,H07S5V020,H07S5V021,H07S5V022,H07S6V001,H07S6V002,H07S6V003,H07S6V004,H07S6V005,H07S6V006,H07S6V007,H07S6V008,H07S6V009,H07S6V010,H07S6V011,H07S6V012,H07S6V013
770,VERCHERES,Quebec,1867 - 1892,7,1895.04.17,441,205af01b-b12b-4c07-84e0-030adf8b75e7,"GEOFFRION, Christophe-Alphonse",accl.,,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,Elected at a by-election following the death of his brother,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,2,9,9,9,1,2,9,9,9,9,9,9,9
452,MONCK,Ontario,1867 - 1892,7,1892.03.12,457,2150d2b3-8b91-4368-84a4-0f46fbc571db,"BOYLE, Arthur",accl.,,Conservative (1867-1942),Grocer,Protestant,0,2,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,1,2,2,2,1,1,2,9,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,9,1,2,2,9,9,9,2,2,2,9,9,2,2,2,2,2,1,9,9,1,2,2,2,2,2,2,2,9,2,1,2,1,9,9,9,9,9,2,2,2,9,9,9,9,2,2,2,2,2,9,9,9,9,9,2,1,2,2,1,2,1,9,2
530,OXFORD SOUTH,Ontario,1867 - 1933,7,1891.03.05,466,221bfffd-b6d9-41fd-99ba-f08555304a71,"CARTWRIGHT, Sir Richard J.",2021,0.6109,Liberal Party of Canada,"Author, banker, businessman",Protestant,0,7,,,,,,,,,,,,,2,2,9,2,2,2,1,9,2,2,2,1,9,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,9,1,2,1,9,1,2,2,1,9,9,9,1,9,9,1,9,9,1,1,1,1,1,1,1,2,2,9,2,1,1,9,2,1,1,1,1,1,9,1,1,1,1,1,2,9,1,2,2,2,1,2,1,2,1,1,1,9,1,2,1,1,1,2,2,1,1,9,1,1,9,1,2,1,1,1,1,2,1,9,9,2,1,2,2,1,2,1,1,2,1
305,HURON WEST,Ontario,1882 - 1914,7,1891.03.05- and 1896.01.14,473,22962b8e-2f39-4509-bd67-c98056fe5bf1,"CAMERON, Malcolm Colin",2199,0.5472,Liberal Party of Canada,Lawyer,Protestant,0,6,,,,,,,,,,,Unseated: ó.,,2,2,2,9,2,2,1,1,2,2,9,1,9,1,2,1,1,1,9,1,1,1,1,1,2,2,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,2,1,2,2,1,9,9,9,2,9
208,ELGIN WEST,Ontario,1867 - 1933,7,1891.03.05,477,22d58154-634c-42ca-b52c-6c59b10242bf,"CASEY, George E.",2335,0.5855,Liberal Party of Canada,"Author, journalist",Protestant,0,6,,,,,,,,,,,,,9,9,9,2,2,2,1,9,9,9,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,2,9,9,1,1,1,1,1,2,1,1,9,9,9,9,1,2,2,1,2,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,9,1,2,1,2,2,1,1,2,1,1,1,1,9,9,2,1,9,1,1,1,1,9,1,1,2,2,1,2,2,1,9,1,9,2,9
107,CAPE BRETON,Nova Scotia,1867 - 1903,7,1896.02.04,503,24d7bdd8-53ef-4f57-a585-5c5b9effd3dd,"TUPPER, Charles",accl.,,Conservative (1867-1942),Physician,Protestant,0,7,,1,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,9,9,2,1,1,2,1,2,1,1,9
7,ALBERTA (PROVISIONAL DISTRICT),Northwest Territories,,7,1891.03.05,514,25db2f52-da19-4643-8781-7158c85a7d3d,"DAVIS, Donald Watson",2742,0.7457,Conservative (1867-1942),Merchant,Protestant,0,2,,,,,,,,,United States,,,,1,1,1,1,1,1,2,2,2,1,9,2,1,2,1,2,9,2,2,2,2,2,2,2,1,2,2,1,1,9,2,1,9,2,2,1,1,2,2,9,2,2,9,9,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,9,9,9,9,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,9,2,9,2,2,2,2,2,2,1,2,9,9,9,2,1,1,2,1,2,1,1,2
268,HAMILTON,Ontario,1867 - 1903,7,1891.03.05,528,270a0631-dd1d-46db-95a7-74bd72c468bc,"MCKAY, Alex",4186,0.2727,Conservative (1867-1942),Grain merchant,Protestant,0,2,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,9,9,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,9,9,2,2,2,2,9,9,2,2,2,2,2,2,2,9,1,9,1,2,2,2,1,2,2,2,2,9,2,2,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,2,1,9,2,2,2,1,1,1,2,2,9,2,2,9,2,2,2,2,2,2,9,2,9,9,1,2,1,1,2,1,2,9,1,2
134,CHARLEVOIX,Quebec,1867 - 1914,7,1891.03.05-1895.11.06,548,2853d235-5227-4d89-9f07-d4984819ccee,"SIMARD, Henry",1542,0.5553,Liberal Party of Canada,Merchant,Catholic,1,1,,,,,,,,,,Died in office: 1895.11.06,,,2,2,9,9,2,9,1,1,2,2,2,9,9,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,2,2,2,1,1,9,2,2,2,2,9,9,2,2,9,2,2,2,9,2,9,2,9,1,9,9,9,9,2,1,2,2,2,2,9,2,2,2,2,2,2,1,1,2,1,2,2,9,9,9,9,9,9,2,9,9,9,2,2,1,9,9,2,9,2,2,9,9,2,9,2,9,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99
186,DUNDAS,Ontario,1867 - 1924,7,1891.03.05,549,28715f57-a88a-42df-93f5-88662ba7a8fb,"ROSS, Hugo H.",2086,0.5073,Conservative (1867-1942),"Merchant, teacher",Protestant,0,1,,,,,,,,,,,,,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,2,2,2,2,2,9,2,2,2,1,2,2,1,9,2,2,1,2,2,2,1,1,2,1,9,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,9,1,2,2,2,2,2,2,9,2,9,9,2,9,2,2,2,9,9,9,9,2,2,2,9,2,2,2,2,2,9,2,2,2,9,9,9,9,2,2,9,2,9,9,2,9,2,2,2,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9
243,GLOUCESTER,New Brunswick,1867 - 1990,7,1894.05.05,567,2980d9a0-2e80-4582-bf18-55bf3d416397,"BLANCHARD, Theotime",accl.,,Conservative (1867-1942),"Farmer, merchant, teacher",Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,9,2,2,2,9,2,1,2,2,2,2,1,2,2,9,9,2,2,2,9,2,9,2,2,2,2,9,2,9,9,9,2,1,1,2,1,2,1,9,9
309,IBERVILLE,Quebec,1867 - 1892,7,1891.03.05,590,2b8629c1-6e3d-45ef-84c5-f9bd80ecb59a,"BÑCHARD, Francois",1029,0.6537,Liberal Party of Canada,Farmer,Fr.Catholic,1,7,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,9,1,1,9,2,2,1,2,2,1,1,2,1,1,1,2,2,1,2,2,9,1,1,1,1,9,1,1,1,1,1,1,1,1,9,2,2,2,1,1,1,1,1,1,9,9,1,1,1,9,2,2,1,1,1,1,2,2,2,1,9,9,9,9,9,1,2,1,2,2,9,9,1,1,1,9,1,1,9,2,1,9,1,1,1,1,9,2,2,9,9,1,2,2,1,1,2,1,9,9
349,L'ASSOMPTION,Quebec,1867 - 1914,7,1892.05.31,599,2c83dd76-9e8b-45b4-9b72-ec45f2aadb06,"JEANNOTTE, Hormidas",accl.,,Conservative (1867-1942),Notary,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,1,9,9,2,2,2,2,2,2,2,9,9,2,9,2,2,9,9,9,2,9,2,9,9,2,2,2,2,2,1,1,2,1,2,2,2,1,9,2,2,2,2,1,9,9,9,9,9,1,1,2,2,9,2,9,9,2,1,1,2,1,2,9,2,1,9,1,2,1,1,2,1,2,1,1,9
335,KING'S,New Brunswick,1867 - 1903,7,1891.03.05,604,2cf93f16-ac02-4963-ae74-f74b1cb23251,"FOSTER, George E.",1931,0.5096,Conservative (1867-1942),"Professor, teacher",Protestant,0,3,,1,,,,,,,,,,,1,1,1,1,1,1,2,9,2,1,9,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,9,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,9,9,1,9,9,9,9,2,2,9,9,9,9,9,9,2,2,2,1,9,2,1,2,9,2,9,9,2,9,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,9,2,1,1,2,1,9,1,1,2
650,SAINT MAURICE,Quebec,1867 - 1892,7,1891.03.05,629,2f0b3543-efd4-4609-ab80-4954f3eeccb7,"DÑSAULNIERS, Francois Lesieur",894,0.5441,Conservative (1867-1942),"Author, editor, lawyer",Fr.Catholic,1,2,,,,,,,,,,,,,1,1,9,9,9,1,2,2,2,1,9,9,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,9,2,9,9,2,2,2,2,9,9,2,2,2,9,2,9,2,9,1,9,9,2,2,9,9,9,2,9,2,2,9,2,2,2,2,2,1,1,2,1,2,2,9,9,9,9,2,9,2,1,9,9,2,9,9,9,9,2,9,2,9,9,9,2,1,2,2,2,2,9,2,1,9,1,2,1,1,9,1,2,1,1,9
24,ASSINIBOIA EAST,Northwest Territories,1886 - 1905,7,1892.11.21,641,2f9942d0-c4b9-4a00-bfbd-aa4c011651f3,"MCDONALD, William Walter",accl.,,Conservative (1867-1942),"Clerk, farmer",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,1,9,2,9,2,2,2,2,2,1,1,1,1,2,2,9,9,2,2,2,2,2,2,2,2,9,9,9,9,2,2,1,1,2,2,9,9,9,9,9,2,1,2,2,2,2,1,9,9,2,2,9,2,9,1,2,2,2,9,2,2,9,2,9,9,1,2,1,1,2,1,2,1,1,2
442,MIDDLESEX SOUTH,Ontario,1882 - 1903,7,1891.03.05-1893.01.26 ,649,301fec8d-a501-441c-853c-7862842685b2,"ARMSTRONG, James",1906,0.5979,Liberal Party of Canada,Farmer,Protestant,0,3,,,,,,,,,,Died in office: 1893.01.26 ,,,2,2,2,2,2,2,1,1,2,2,2,1,1,1,9,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,9,2,9,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
144,CHICOUTIMI--SAGUENAY,Quebec,1867 - 1924,7,1891.03.05,654,30b6c52a-9978-41e3-9721-f91e3e68cbc7,"SAVARD, P.V.",1927,0.5165,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,9,9,9,2,2,1,9,1,2,2,2,2,2,9,1,1,1,1,1,1,1,9,1,1,2,2,1,2,1,9,2,1,2,2,2,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
65,BRANT NORTH,Ontario,1867 - 1892,7,1891.03.05,655,30d6930b-f006-4863-9b1d-294976a71146,"SOMERVILLE, James",1729,0.7383,Liberal Party of Canada,"Journalist, newspaper editor, newspaper owner",Protestant,0,3,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,9,1,9,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,9,9,1,1,2,1,1,1,9,1,9,1,2,2,1,2,1,1,9,2,1,1,9,9,9,9,1,1,1,1,9,2,1,1,2,2,1,9,9,9,9,9,9,1,2,1,2,1,9,9,2,2,1,1,1,1,1,2,1,2,1,1,1,1,9,1,2,1,2,1,2,9,9,9,9,9,2,9
311,INVERNESS,Nova Scotia,1867 - 1933,7,1891.03.05,679,321fe155-5bac-4b4d-92e4-06832e57d969,"CAMERON, Hugh",1877,0.545,Conservative (1867-1942),Physician,Catholic,0,4,,,,,,,,,,,,,1,1,1,1,1,9,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,9,2,9,2,1,1,9,1,2,2,2,1,2,2,2,2,2,2,2,9,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,9,9,2,1,1,1,2,1,1,2,1,2,1,1,9
497,NORTHUMBERLAND,New Brunswick,1867 - 1955,7,1896.02.06,698,333ac298-d1d0-4a8d-a221-ccb67bc9ecf7,"ROBINSON, James",accl.,,Conservative (1867-1942),"Lumberman, merchant",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,1,9,2,1,1,9,1,2,9,1,9
171,TWO MOUNTAINS,Quebec,1867 - 1914,7,1892.02.27,700,33429deb-eacf-48ee-b362-b7a3299e22ed,"GIROUARD, Joseph",accl.,,Conservative (1867-1942),Notary,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,9,2,1,2,2,2,1,1,9,2,2,2,2,2,2,2,2,1,2,2,2,9,2,9,2,1,1,9,1,2,2,9,9,2,9,9,2,9,2,2,2,2,2,2,1,9,2,1,2,2,2,9,1,2,2,9,2,1,2,2,2,2,1,1,1,1,9,2,2,2,9,2,1,2,2,2,2,1,2,1,9,1,2,1,1,2,1,2,1,1,2
777,VICTORIA,British Columbia,1872 - 1903,7,1891.03.05,701,33521008-6e57-4192-9463-187873f6fb54,"EARLE, Thomas",1061,0.3587,Conservative (1867-1942),"Businessman, store manager",Protestant,0,2,,,,,,,,,,,,,1,1,1,1,9,1,2,2,2,1,9,2,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2,2,2,1,1,2,2,9,2,2,2,2,2,9,9,2,2,2,2,2,2,2,9,1,9,1,2,2,9,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,9,2,9,9,9,9,2,1,9,9,9,9,9,1,1,2,2,2,9,2,9,2,2,2,2,2,2,1,2,1,1,9,2,1,9,2,1,2,1,1,2
3,ADDINGTON,Ontario,1867 - 1903,7,1891.03.05,716,343198fa-392f-4330-baa1-0c8fb66ad11a,"DAWSON, Geo. W.W.",2307,0.5067,Liberal Party of Canada,"Lumberman, merchant, postmaster",Protestant,0,1,,,,,,,,,Ireland,,,,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,1,9,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,9,1,1,1,1,1,1,2,1,1,1,9,1,9,1,2,2,1,2,1,9,9,2,1,9,9,9,9,9,1,1,1,1,1,2,9,9,9,2,9,1,2,1,2,1,1,1,2,1,1,1,9,9,2,2,1,1,9,9,9,2,1,1,1,1,1,1,9,1,9,2,2,1,2,2,1,2,1,9,9,1
228,FRONTENAC,Ontario,1867 - 1924,7,1891.03.05-1892.05.30,725,3550a98c-e921-48ae-a874-12b2e2dc96d5,"KIRKPATRICK, Hon. George A.",1427,0.5387,Conservative (1867-1942),Lawyer,Protestant,0,7,,,,,,,,,,Resignation. Appointed Lieutenant Governor of Ontario: 1892.05.30,,,1,1,9,1,9,1,2,2,2,1,9,2,1,2,1,9,2,2,2,2,9,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,9,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
756,VANCOUVER,British Columbia,1872 - 1903,7,1891.03.05-1893.02.19,734,3592bb20-53b4-4226-9478-75788143a244,"GORDON, David W.",accl.,,Liberal-Conservative,"Builder, contractor",Protestant,0,3,,,,,,,,,,Died in office: 1893.02.19,,,1,1,9,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,9,9,2,1,2,9,2,1,1,2,1,1,2,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
80,BRUCE NORTH,Ontario,1867 - 1933,7,1891.03.05,737,35aae345-273d-4108-88af-902e87ffd3fe,"MCNEILL, Alexander",1862,0.5041,Liberal-Conservative,Lawyer,Protestant,0,3,,,,,,,,,Ireland,,,,1,1,9,9,1,1,9,2,1,1,1,2,9,2,1,2,2,2,9,2,2,2,2,2,1,2,2,1,9,9,2,1,2,2,2,1,1,2,1,9,2,2,9,9,2,1,1,2,2,9,1,9,1,2,1,1,9,1,2,2,9,1,2,2,2,2,9,2,2,9,2,1,1,2,2,1,2,2,1,2,9,9,9,9,9,2,9,9,9,9,9,1,9,9,2,9,2,2,2,9,9,9,2,2,2,2,9,9,9,1,1,1,2,1,9,2,1,1,2,9
562,PORTNEUF,Quebec,1867 - 2004,7,1891.03.05,771,387cd467-865f-4f4c-a22b-3ce9c9f5989a,"DELISLE, Arthur",1906,0.5205,Liberal Party of Canada,"Editor, lawyer",Fr.Catholic,1,1,,,,,,,,,,,,,2,2,9,2,2,2,1,1,2,2,2,1,9,1,2,1,1,1,1,9,1,9,9,1,2,2,1,2,9,9,1,2,1,1,9,9,9,9,2,9,9,1,9,9,1,9,9,1,1,1,9,1,9,1,2,2,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,9,1,2,9,1,9,9,9,9,9,9,9,9,9,9,1,9,1,9,2,9,9,1,9,1,1,9,1,1,9,9,2,1,9,9,9,2,9,1,9
578,QUEBEC COUNTY,Quebec,1867 - 1924,7,1891.03.05,778,38f1749c-d510-4be6-9451-ca5685cc57d2,"FREMONT, J.J.T.",1692,0.5558,Liberal Party of Canada,"Author, lawyer, professor",Fr.Catholic,1,1,,,,,,,,,,,,,2,2,2,2,1,2,9,9,9,9,9,1,9,1,2,1,1,9,1,1,9,1,1,1,9,9,9,9,2,9,1,2,9,9,1,2,2,9,2,9,9,1,9,9,1,9,9,9,1,9,9,9,9,1,2,9,2,2,1,9,9,9,1,9,9,9,9,9,9,1,2,2,2,1,9,9,9,2,2,9,9,9,9,9,9,1,9,9,9,2,9,9,9,9,1,9,9,1,1,2,1,9,1,9,9,1,2,1,2,9,9,2,1,9,9,1,2,1,1,9
316,JOLIETTE,Quebec,1867 - 1933,7,1891.03.05,781,3907cca5-4ccf-4f4d-bdb6-64bc8767cbdf,"LIPPE, Urbain",1581,0.5097,Conservative (1867-1942),Notary,Fr.Catholic,1,1,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,2,9,1,2,1,2,2,9,1,2,2,2,2,2,9,9,2,2,2,2,1,1,2,1,2,2,2,9,2,2,2,2,2,9,2,2,9,9,9,1,1,2,2,2,2,9,1,2,9,2,2,2,2,1,9,9,9,9,2,1,9,9,1,2,1,9,2
37,BEAUHARNOIS,Quebec,1867 - 1933,7,1891.03.05,782,3910a438-5fde-4091-939f-2fcdb64be7ff,"BERGERON, J.G.H.",1458,0.558,Conservative (1867-1942),Lawyer,Fr.Catholic,1,4,,,,,,,,,,,,,1,1,9,1,1,1,2,2,2,1,1,2,2,2,1,9,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,9,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,9,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,9,2,1,2,2,2,9,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,9,2,1,1,2,1,2,1,1,2
383,LAVAL,Quebec,1867 - 1914,7,1891.03.05-1892.01.10 and 1892.01.25,811,3b439282-558f-41b7-8ca0-55b642ce12a9,"OUIMET, Hon. Joseph-Alderic",1082,0.6638,Liberal-Conservative,Lawyer,Fr.Catholic,1,6,,1,,,,,,,,Resignation. Appointed Minister of Public Works: 1892.01.10,,,1,1,9,1,1,9,9,9,9,9,9,2,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,9,2,2,2,2,2,2,1,9,2,2,2,2,2,2,1,1,9,1,9,9,2,1,2,2,2,2,9,2,2,2,2,2,2,1,1,2,1,2,2,2,1,9,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,9,9,9,2,2,2,2,1,2,1,9,1,2,1,1,2,1,2,1,1,2
777,VICTORIA,British Columbia,1872 - 1903,7,1891.03.05-1895.12.16  and 1896.01.06,815,3b8f0b3f-f800-4809-a535-8af37ce3a2c2,"PRIOR, Edward Gawler",1031,0.3485,Conservative (1867-1942),"Land surveyor, merchant, mining engineer",Protestant,0,2,,1,,,,,,,England,Resignation. Appointed Controller of Inland Revenue : 1895.12.16,,,1,1,1,1,1,9,9,2,2,1,9,9,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,9,9,2,1,9,2,2,1,1,9,9,9,9,2,2,2,2,9,1,2,2,2,2,2,2,2,9,1,9,1,2,2,2,9,9,2,9,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,9,9,9,9,2,9,9,9,9,9,9,1,1,2,2,2,2,9,9,2,2,2,2,9,2,1,2,2,9,9,2,1,1,2,1,2,1,1,2
548,PETERBOROUGH EAST,Ontario,1867 - 1924,7,1891.03.05,840,3d896484-8474-44a9-b4af-a36694fa30e6,"BURNHAM, John",1832,0.504,Conservative (1867-1942),Lawyer,Protestant,0,3,,,,,,,,,,,,,1,1,1,9,9,1,2,9,2,1,9,9,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,9,2,9,9,9,9,2,1,1,9,9,9,9,2,2,2,2,9,9,9,2,2,9,2,9,2,9,9,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,2,9,9,2,9,9,9,2,2,2,2,2,9,2,9,9,9,2,1,9,9,1,9,9,9,9
