Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H17S1V001,H17S1V002,H17S1V003,H17S1V004,H17S1V005,H17S1V006,H17S2V001,H17S2V002,H17S2V003,H17S2V004,H17S2V005,H17S2V006,H17S2V007,H17S2V008,H17S2V009,H17S2V010,H17S2V011,H17S2V012,H17S2V013,H17S2V014,H17S2V015,H17S2V016,H17S2V017,H17S2V018,H17S2V019,H17S2V020,H17S2V021,H17S2V022,H17S2V023,H17S2V024,H17S2V025,H17S3V001,H17S3V002,H17S3V003,H17S3V004,H17S3V005,H17S3V006,H17S3V007,H17S3V008,H17S3V009,H17S3V010,H17S3V011,H17S3V012,H17S3V013,H17S3V014,H17S3V015,H17S3V016,H17S3V017,H17S3V018,H17S3V019,H17S3V020,H17S3V021,H17S3V022,H17S3V023,H17S3V024,H17S4V001,H17S4V002,H17S4V003,H17S4V004,H17S4V005,H17S4V006,H17S4V007,H17S4V008,H17S4V009,H17S4V010,H17S4V011,H17S4V012,H17S4V013,H17S4V014,H17S4V015,H17S4V016,H17S4V017,H17S4V018,H17S4V019,H17S4V020,H17S4V021,H17S4V022,H17S4V023,H17S4V024,H17S4V025,H17S4V026,H17S4V027,H17S4V028,H17S4V029,H17S4V030,H17S4V031,H17S4V032,H17S4V033,H17S4V034,H17S4V035,H17S4V036,H17S4V037,H17S4V038,H17S4V039,H17S4V040,H17S5V001,H17S5V002,H17S5V003,H17S5V004,H17S5V005,H17S5V006,H17S5V007,H17S5V008,H17S5V009,H17S5V010,H17S5V011,H17S5V012,H17S5V013,H17S5V014,H17S5V015,H17S5V016,H17S5V017,H17S5V018,H17S5V019,H17S5V020,H17S5V021,H17S5V022,H17S5V023,H17S5V024,H17S5V025,H17S5V026,H17S5V027,H17S6V001,H17S6V002,H17S6V003,H17S6V004,H17S6V005,H17S6V006,H17S6V007,H17S6V008,H17S6V009,H17S6V010,H17S6V011,H17S6V012,H17S6V013,H17S6V014,H17S6V015,H17S6V016,H17S6V017,H17S6V018,H17S6V019,H17S6V020,H17S6V021,H17S6V022,H17S6V023,H17S6V024,H17S6V025,H17S6V026,H17S6V027
796,WELLINGTON NORTH,Ontario,1867 - 1952,17,1930.07.28,293,15d2a1ed-71cc-41ad-a359-69ee5412750f,"BLAIR, John Knox",4716,0.5048,Liberal Party of Canada,"Physician, teacher",,0,1,,,,,,,,,,,,,1,1,2,1,2,1,2,1,1,2,1,1,9,9,1,9,1,9,9,1,1,2,1,2,9,9,2,1,9,9,9,2,1,9,9,1,2,9,1,2,2,2,1,2,1,1,2,9,1,2,9,1,9,1,9,2,1,2,1,1,2,2,1,2,2,2,9,9,9,1,1,2,2,2,9,2,9,1,2,2,9,9,2,1,2,1,9,2,2,9,2,2,9,2,9,9,9,1,1,9,9,1,2,9,1,1,2,9,2,2,9,9,2,2,1,9,9,1,2,2,9,9,9,2,1,9,1,1,1,9,9,1,2,1,2,1,9,9,2,2,2,9,9,9,2,1,1,9,9
732,TIMISKAMING NORTH,Ontario,1924 - 1933,17,1930.07.28,312,17232084-6a45-4ebd-bd5d-cab516ff3bfd,"BRADETTE, Joseph Arthur",9586,0.5772,Liberal Party of Canada,"Farmer, merchant",,1,2,,,,,,,,,,,,,1,1,1,1,2,1,2,1,1,2,9,9,9,9,1,1,1,1,2,1,9,2,1,2,2,1,9,9,9,9,9,2,1,9,9,1,2,9,1,9,2,2,1,9,9,1,9,2,1,2,9,9,2,9,9,2,1,2,9,1,2,9,9,9,9,9,2,9,1,1,1,2,2,2,2,2,9,1,2,2,1,2,9,9,9,9,2,2,2,9,2,2,9,2,9,9,1,1,9,2,9,1,2,1,1,1,2,2,9,2,9,1,9,9,9,1,9,9,9,9,9,9,1,2,1,9,1,1,9,2,9,2,2,1,9,1,2,2,9,9,9,2,2,9,2,1,1,1,9
111,CAPE BRETON SOUTH,Nova Scotia,1924 - 1966,17,1930.07.28,321,177a65fd-a518-4af6-ae02-6b1b29546f4f,"MACDONALD, Finlay",15886,0.6315,Conservative (1867-1942),Barrister,,0,3,,,,,,,,,,,,,9,2,2,2,1,2,9,9,9,9,2,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,1,9,9,9,9,1,9,9,9,1,1,2,2,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,1,9,9,1,1,1,9,9,9,9,9,1,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
343,KINGSTON CITY,Ontario,1924 - 1952,17,1930.07.28,331,17d9fbdf-1bc5-4137-ac59-4e782464990f,"ROSS, Arthur Edward",6539,0.5782,Conservative (1867-1942),"Physician, professor",,0,4,,,,,,,,,,,,,9,9,2,2,1,9,1,9,9,9,9,9,9,9,9,9,1,2,1,9,9,9,9,9,1,2,9,2,1,9,9,9,2,9,9,1,1,2,2,9,1,1,2,9,9,9,9,2,2,1,9,2,1,2,9,1,2,1,9,9,1,9,9,9,9,9,1,9,2,2,2,1,9,9,9,1,2,2,1,9,2,9,2,2,1,9,9,9,9,9,1,1,9,9,9,9,1,2,2,1,9,9,9,2,2,9,9,9,1,1,9,9,1,2,2,9,1,1,9,1,9,9,9,9,9,9,2,2,1,1,2,9,2,2,1,9,9,9,2,9,9,9,9,9,1,9,9,9,1
856,YORKTON,Saskatchewan,1924 - 1966,17,1930.07.28,343,18b8cc86-9739-4ae6-84d6-27c2ad62b115,"MCPHEE, George Washington",6887,0.5602,Liberal Party of Canada,"Barrister, crown prosecutor",,0,3,,,,,,,,,,,,,1,1,2,1,2,1,2,1,1,2,1,9,9,2,9,9,1,1,2,1,1,9,9,9,9,9,2,1,9,1,9,9,1,9,9,1,2,1,1,9,9,9,9,9,9,9,2,2,9,9,9,1,1,2,9,1,9,2,1,1,2,9,9,9,9,9,2,9,9,1,1,9,2,9,9,2,9,9,2,9,9,9,2,1,2,9,2,2,2,9,2,2,2,2,9,2,9,1,1,9,9,1,2,9,1,1,2,9,2,2,2,1,2,2,1,1,9,9,9,2,1,2,1,2,1,9,1,1,9,2,1,1,2,1,2,9,2,2,2,9,2,2,2,2,9,9,9,1,2
632,ST. DENIS,Quebec,1914 - 1947,17,1930.07.28-1934.10.01 ,349,19361366-c528-430b-9bee-470c51580e81,"DENIS, Joseph-Arthur",28646,0.64,Liberal Party of Canada,Physician,,1,4,,,,,,,,,,Died in office: 1934.10.01 ,,,9,1,2,1,2,1,2,1,1,2,9,2,1,2,1,1,2,9,2,1,1,9,9,9,2,1,9,1,9,9,9,2,9,2,2,1,2,9,1,2,2,2,1,9,9,9,2,2,1,2,1,1,9,9,9,2,1,2,9,9,2,2,2,2,2,2,2,2,2,2,9,1,2,2,9,2,9,1,2,2,1,9,2,1,2,2,9,2,2,1,2,2,2,2,9,9,1,1,1,9,9,9,9,1,1,9,9,2,2,2,9,9,2,2,2,1,2,1,2,2,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
304,HURON SOUTH,Ontario,1867 - 1933,17,1932.10.03,353,19b57531-d55f-4ce5-9bb6-5a6b5c119570,"GOLDING, William Henry",7046,0.582,Liberal Party of Canada,Machinist,,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,2,9,9,9,2,1,2,2,2,2,9,2,9,9,9,2,2,9,2,9,9,2,9,1,2,2,1,2,9,9,9,9,9,2,2,9,2,9,2,9,1,1,2,2,9,9,1,1,1,2,2,2,2,2,1,9,9,1,1,2,1,9,9,9,9,1,2,1,9,1,9,9,2,9,1,2,1,2,9,9,2,2,2,9,2,2,2,9,1,1,1,9
492,NORFOLK--ELGIN,Ontario,1924 - 1933,17,1930.07.28,358,1a32ab2a-7522-4e79-8458-5338b67ab725,"TAYLOR, William H.",9424,0.5001,Liberal Party of Canada,Farmer,,0,2,,,,,,,,,,,,,9,1,2,1,2,1,2,1,1,2,9,9,1,9,1,9,1,9,9,1,1,2,1,2,9,1,2,1,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,9,9,9,9,9,2,1,2,1,1,2,9,9,9,9,9,9,9,9,2,1,9,9,9,2,2,9,1,2,9,1,2,2,1,2,9,2,9,9,9,2,9,9,9,9,9,2,1,1,9,9,9,9,9,1,9,9,9,2,2,2,9,9,2,1,1,9,9,2,2,9,9,1,9,9,9,1,1,1,2,1,1,2,1,2,1,9,9,9,2,2,9,9,9,2,1,9,1,9
382,LAURIER--OUTREMONT,Quebec,1914 - 1933,17,1930.07.28-1935.07.16,368,1b1e9995-c96d-482b-a5ce-b58a0df081f3,"MERCIER, Joseph-Alexandre",15259,0.5692,Liberal Party of Canada,Lawyer,,1,3,,,,,,,,,,Died in office: 1935.07.16,,,9,1,9,9,9,9,9,1,1,2,9,9,9,2,9,9,2,9,9,1,1,9,9,9,9,1,9,1,9,9,9,9,9,2,9,9,2,1,1,9,2,2,1,9,9,9,9,9,9,9,9,9,2,9,9,1,9,2,9,9,9,9,9,9,9,9,9,2,1,9,9,1,9,2,9,2,9,9,9,2,9,9,2,1,2,9,9,2,2,1,9,9,9,2,9,9,9,1,9,9,2,9,2,9,9,9,9,9,2,2,9,9,9,2,2,9,9,1,9,2,9,9,9,9,9,9,1,9,9,2,9,1,2,1,2,1,9,9,2,2,9,9,9,9,2,9,9,9,9
538,PEEL,Ontario,1867 - 1966,17,1930.07.28,372,1b64bce7-d840-42c6-9af1-8dc647e68c79,"CHARTERS, Samuel",7112,0.5095,Conservative (1867-1942),"Newspaper editor, newspaper owner, publisher",,0,5,,,,,,,,,,,,,2,9,2,2,1,2,1,2,2,1,9,9,9,9,2,2,1,9,9,2,2,2,2,1,9,9,1,2,9,2,9,1,2,9,9,2,1,9,2,1,1,1,2,1,2,2,1,9,2,1,9,2,1,2,9,1,2,1,2,2,1,1,1,1,1,1,9,1,2,2,2,1,1,1,9,1,9,2,1,1,9,9,2,2,1,9,9,1,1,9,1,1,9,1,9,2,1,2,2,9,9,2,1,9,2,2,1,9,1,1,9,9,1,2,1,9,9,1,1,1,9,9,9,9,1,9,2,2,1,9,9,9,2,2,1,2,9,9,9,1,1,9,9,9,1,1,2,9,9
697,SPRINGFIELD,Manitoba,1914 - 1966,17,1930.07.28,380,1bed44fb-f672-4868-8f66-648136aee00a,"HAY, Thomas",5446,0.4957,Conservative (1867-1942),Farmer,,0,3,,,,,,,,,,,,,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,1,2,1,9,9,2,2,1,9,2,1,9,1,2,2,1,2,1,1,2,9,2,2,1,1,1,2,1,2,2,1,2,2,1,2,2,9,9,2,1,2,1,2,2,1,1,9,9,9,9,1,1,2,2,2,1,1,9,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,1,9,1,1,9,1,2,2,1,1,2,1,2,9,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,1,2,2,1,2,9,9,9,1,1,1,1,1,1,1,2,2,9
762,VANCOUVER NORTH,British Columbia,1924 - 1947,17,1930.07.28,382,1c09c70d-a251-423e-abff-9a7d7ccce558,"MUNN, Albert Edward",6799,0.5415,Liberal Party of Canada,"Lumber merchant, manager",,0,1,,,,,,,,,,,,,9,1,1,1,2,1,2,1,1,2,9,9,9,9,1,9,1,1,9,9,9,2,1,2,2,1,2,1,2,1,9,2,1,9,9,1,2,9,1,9,9,9,1,9,1,1,2,9,1,2,9,9,2,9,9,1,1,2,9,1,2,2,9,9,9,2,2,9,2,1,1,9,2,9,2,1,9,1,2,2,9,2,2,1,2,9,9,1,9,9,2,9,9,9,9,9,1,1,1,2,2,9,2,9,1,1,2,2,9,2,2,1,2,2,9,9,9,9,2,2,2,9,1,2,1,1,1,1,9,9,1,2,2,1,9,1,2,9,2,2,2,2,2,9,2,1,1,1,9
254,GREY SOUTHEAST,Ontario,1914 - 1933,17,1930.07.28,399,1d6a8f18-7d15-4909-b0f5-88f9b514f20a,"MACPHAIL, Agnes Campbell",6619,0.5093,Progressive,"Farmer, teacher",,0,4,,,,,,,,,,,,,1,1,9,9,9,1,2,1,9,2,1,9,9,9,9,2,1,1,2,1,9,1,1,2,1,9,9,9,2,9,9,2,9,9,9,1,2,1,1,9,9,9,9,2,9,9,2,1,1,2,9,9,9,9,1,9,9,9,9,9,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,9,9,2,9,9,9,1,2,2,9,9,9,2,9,1,9,2,2,9,1,2,1,1,9,2,9,9,2,1,9,2,9,1,1,9,2,9,1,1,2,1,1,2,2,1,1,9,9,1,1,1,1,1,1,1,2,1,1,2,9,9,9,2,2,2,1,1,9,2,1,9,9,2
680,SHELBURNE--YARMOUTH,Nova Scotia,1924 - 1933,17,1930.07.28,412,1e31f4aa-36bd-40a6-a784-7d94f0e97979,"RALSTON, Hon. James Layton",8173,0.5458,Liberal Party of Canada,Barrister,,0,2,,,,,,,,,,,,,9,1,2,1,2,1,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,2,1,2,9,9,9,1,2,1,1,2,9,2,2,1,2,9,9,9,9,9,1,9,9,1,9,9,9,9,9,1,9,9,9,9,1,2,9,9,2,9,9,9,9,2,9,2,9,9,9,9,9,9,9,9,9,1,9,9,9,9,2,1,2,1,9,9,9,9,9,9,2,9,9,9,2,9,1,9,9,9,9,1,1,9,9,9,2,9,9,9,9,9,1,1,2,9,9,9,9,9,9,9,9,1,9,9,9,9,9,1,9,9,9,9,2,2,9,9,9,9,9,9,9,9,1,9,2
123,CARLETON,Ontario,1867 - 1966,17,1930.07.28,414,1e502396-052a-4afd-8d90-249bea49b95c,"GARLAND, William Foster",7317,0.4378,Conservative (1867-1942),"Breeder, pharmacist",,0,5,,,,,,,,,,,,,2,2,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,1,2,1,9,1,9,9,1,2,9,9,2,9,2,2,1,1,1,2,9,2,2,1,2,2,1,9,9,9,9,9,1,2,1,2,9,1,9,9,9,9,9,1,1,2,2,2,9,9,1,1,1,2,2,1,9,2,9,2,2,1,9,9,9,1,9,9,9,9,1,9,2,1,2,9,9,9,9,9,9,2,2,1,9,1,1,9,9,1,2,1,9,9,1,1,9,9,9,9,2,1,9,9,2,1,9,9,9,9,9,9,9,1,9,9,1,9,9,9,9,1,9,2,2,1
590,QUEENS--LUNENBURG,Nova Scotia,1924 - 1947,17,1930.07.28,427,1f568e90-7d07-4ec9-820d-d4b5c0323e38,"ERNST, William Gordon",10504,0.5283,Conservative (1867-1942),Barrister,,0,2,,,,,,,,,,,,,2,2,2,2,1,2,1,2,2,1,9,9,9,9,2,2,1,9,9,9,9,2,2,1,1,9,1,2,1,2,9,1,2,1,1,9,9,2,2,1,9,9,9,1,2,2,9,2,2,1,9,2,9,9,9,1,2,1,2,2,1,1,1,1,1,1,1,9,9,2,2,9,1,2,1,9,9,2,1,1,2,9,9,9,9,9,9,1,1,2,1,9,9,9,9,2,1,2,2,2,9,2,1,2,9,2,1,9,1,1,1,1,1,2,9,2,1,1,9,9,2,9,2,2,9,2,2,9,9,1,9,1,9,9,9,2,1,1,1,9,9,1,1,9,1,1,2,2,9
533,PARKDALE,Ontario,1914 - 1976,17,1930.07.28,436,1fd6461a-ee02-4d2c-880e-860b930c4499,"SPENCE, David",11713,0.6679,Conservative (1867-1942),Merchant,,0,4,,,,,,,,,Ireland,,,,2,9,2,2,1,2,1,2,2,1,2,2,2,1,2,2,1,9,9,2,2,2,2,1,1,9,9,2,1,2,2,9,9,9,9,9,9,2,2,9,1,1,2,9,9,9,9,2,9,9,9,9,1,2,2,1,2,9,9,9,9,1,1,1,1,1,9,1,1,2,2,1,1,1,9,1,9,9,9,9,2,1,2,9,9,1,9,1,9,2,9,1,1,9,9,2,1,2,9,9,1,9,9,2,9,9,9,9,9,1,9,9,9,9,1,2,1,1,1,1,9,9,2,9,9,9,2,9,9,9,2,1,2,2,1,2,9,9,1,1,1,1,9,9,9,9,2,2,1
836,YAMASKA,Quebec,1867 - 1933,17,1930.07.28-1933.10.23,455,212572eb-4fe5-4eef-8f4b-e193f8ac082a,"BOUCHER, Aime",3505,0.5001,Liberal Party of Canada,Notary,,1,5,,,,,,,,,,Election declared void: 1930.07.28,,,1,1,2,1,2,1,9,1,1,2,9,1,1,2,1,1,9,9,9,1,1,9,1,2,9,9,9,9,2,1,9,9,9,9,9,9,2,1,1,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,2,9,9,1,1,9,9,2,9,2,2,9,2,2,1,1,2,1,2,2,9,9,9,9,9,9,1,1,1,2,9,1,9,9,9,1,9,9,9,9,9,9,9,9,2,1,1,1,2
683,SHERBROOKE,Quebec,1924 - ,17,1930.07.28,486,2383d6a2-7bc8-4d50-94b0-288e425fa899,"HOWARD, Charles Benjamin",8546,0.515,Liberal Party of Canada,"Businessman, industrialist, lumber merchant",,0,3,,,,,,,,,,,,,9,1,9,9,9,9,2,1,1,2,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,1,9,9,2,9,9,9,9,9,9,9,2,9,1,9,2,2,1,9,9,1,9,2,9,9,9,9,2,9,9,9,9,9,9,9,2,2,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,2,1,2,9,9,9,9,9,2,9,9,9,9,9,2,1,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,2,1,9,9,1,9,9,9,9,9,9,9,9,1,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
47,BERTHIER--MASKINONGE,Quebec,1924 - 1952,17,1930.07.28,501,24afb66c-ee49-4658-8927-30c3ead84b7d,"BARRETTE, Joseph-Arthur",7206,0.5127,Conservative (1867-1942),"Businessman, farmer, notary",,1,2,,,,,,,,,,,,,2,9,2,2,1,9,1,2,2,1,9,2,2,1,9,9,1,9,9,9,9,9,9,9,1,2,9,9,1,2,9,9,9,9,9,9,9,2,2,9,1,1,2,9,9,9,9,2,9,9,9,9,9,2,2,9,2,1,9,9,9,9,1,1,1,1,1,9,1,2,2,9,9,9,9,1,9,9,9,1,9,9,2,2,1,9,9,9,9,2,1,1,1,1,9,9,1,2,2,1,9,9,9,2,2,9,9,9,1,1,9,9,1,2,2,9,9,1,1,1,9,9,2,9,9,9,2,2,1,1,9,1,2,9,9,2,9,1,9,1,1,1,1,9,1,1,9,9,9
325,KENORA--RAINY RIVER,Ontario,1924 - 2003,17,1930.07.28-1934.07.09,509,255d2664-d4b3-46aa-9933-79b13d340d2e,"HEENAN, Hon. Peter",6313,0.5207,Liberal Party of Canada,Locomotive engineer,,0,3,,,,,,,,,Ireland,Resignation: 1934.07.09,,,1,1,9,9,9,1,2,1,1,2,9,9,9,9,9,9,9,1,2,1,1,9,9,9,2,1,2,1,9,9,9,9,1,9,2,1,9,9,9,2,9,9,1,9,1,9,9,2,1,2,1,9,2,9,9,2,9,2,9,9,2,9,9,9,9,9,9,9,9,1,9,9,2,2,2,2,9,1,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,2,1,9,9,9,1,2,9,1,9,9,9,9,9,2,1,9,9,9,9,9,9,2,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
757,VANCOUVER CENTRE,British Columbia,1914 - ,17,1930.07.28,519,265c71ea-2b44-4000-8150-fde7d37d4577,"MACKENZIE, Hon. Ian Alastair",12064,0.5462,Liberal Party of Canada,Barrister,,0,1,,,,,,,,,Scotland,,,,1,1,2,1,2,9,2,1,1,2,9,9,1,2,1,9,1,1,2,1,1,2,1,2,9,9,2,1,9,1,9,2,9,9,2,1,2,1,1,2,2,2,9,2,1,1,9,2,1,2,9,9,9,9,9,2,1,2,9,9,2,9,9,9,9,9,9,2,9,1,1,9,2,2,2,9,1,1,9,9,1,9,2,1,2,1,9,2,2,1,2,9,9,9,9,9,9,1,1,2,2,1,2,9,1,1,2,2,2,2,2,1,9,9,1,1,2,1,2,2,1,1,1,9,9,1,9,1,9,2,1,1,9,9,9,1,2,2,9,9,2,9,9,9,2,1,1,1,2
477,NELSON,Manitoba,1914 - 1933,17,1930.07.28,525,26f64b98-ff37-46d7-86d2-73a455727626,"STITT, Bernard Munroe",4741,0.5383,Conservative (1867-1942),"Agent, forest engineer",,0,1,,,,,,,,,,,,,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,1,2,1,9,9,2,2,1,1,2,9,9,1,2,9,1,2,9,9,9,1,2,2,1,9,9,9,1,2,2,9,2,2,1,2,2,9,9,9,1,2,1,2,2,1,1,1,1,1,1,1,9,2,1,2,1,9,1,1,1,2,2,1,1,2,1,2,2,1,2,9,9,9,9,9,9,9,9,9,9,1,2,2,2,1,2,1,9,2,2,1,1,1,1,1,9,1,2,2,2,1,1,1,1,9,2,2,2,1,2,2,9,1,1,2,1,2,2,1,9,1,1,1,1,1,1,1,1,1,1,2,2,1
198,EDMONTON EAST,Alberta,1914 - 2000,17,1930.07.28,571,29f4a12d-1127-490f-9ae1-2d9ac93671eb,"BURY, Ambrose Upton Gledstanes",6662,0.4483,Conservative (1867-1942),Barrister,,0,2,,,,,,,,,Ireland,,,,9,2,2,2,1,9,1,2,2,1,2,2,2,1,2,2,1,2,1,9,9,2,2,1,1,2,1,2,1,2,2,1,9,1,1,9,1,9,2,1,1,1,2,1,2,2,1,2,2,1,9,1,1,9,2,1,9,1,2,2,1,1,1,1,1,1,1,1,9,9,2,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,9,2,2,1,9,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1
745,TORONTO--HIGH PARK,Ontario,1924 - 1933,17,1930.07.28,575,2a491fe5-0fd9-41c0-9a96-951b3efa94eb,"ANDERSON, Alexander James",11807,0.6719,Conservative (1867-1942),"Barrister, lawyer",,0,3,,,,,,,,,,,,,9,2,2,2,1,2,1,2,2,1,9,9,9,9,2,2,9,9,9,2,2,2,2,1,1,9,9,9,1,2,2,9,2,1,1,2,1,2,2,1,1,1,2,1,2,2,9,2,2,1,2,2,9,9,2,1,2,1,9,9,1,1,1,1,1,1,1,1,2,2,2,1,9,1,9,1,9,2,1,1,2,9,2,2,1,1,9,9,9,9,9,1,9,1,1,9,1,2,2,1,1,9,9,2,2,9,9,1,1,1,9,9,1,2,1,2,1,1,1,1,9,9,2,2,9,9,2,2,1,1,9,9,2,2,1,2,9,1,1,1,1,9,9,9,1,1,9,9,9
579,QUEBEC--MONTMORENCY,Quebec,1924 - 1966,17,1930.07.28,578,2a736990-9a2d-4fb2-a4b6-d4ddb3bd13a7,"DORION, Charles-Napoleon",7212,0.4965,Conservative (1867-1942),Lawyer,,1,1,,,,,,,,,,,,,2,9,2,2,1,2,1,2,2,1,9,9,9,1,2,1,1,9,9,9,9,2,2,1,9,9,9,9,9,9,9,9,9,9,1,9,9,1,2,1,1,1,2,9,9,9,9,2,2,1,2,9,9,9,9,1,2,1,9,9,9,1,1,1,1,1,9,9,1,2,2,9,9,9,9,1,9,2,1,1,9,9,2,2,1,9,9,9,1,9,1,9,1,9,9,9,9,2,9,9,9,9,9,9,2,9,9,9,1,9,9,9,9,9,1,9,9,1,1,1,9,9,9,2,9,9,9,2,1,1,9,1,9,9,9,9,9,1,2,1,9,9,9,9,9,9,9,9,9
352,LABELLE,Quebec,1892 - 1987,17,1930.07.28,579,2a8c7330-53c3-44dc-9f77-c16aa6af7898,"BOURASSA, Henri",accl.,,Independent,"Newspaper editor, publicist",,1,6,,,,,,,,,,,,,9,9,1,1,2,9,2,1,9,9,9,9,9,2,9,9,2,9,9,1,1,2,1,2,2,1,9,9,2,1,1,9,9,9,9,9,2,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,2,2,2,2,2,2,9,9,1,9,9,2,9,9,9,1,9,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,2,2,9,9,2,1,9,9,9,9,1,2,9,9,9,1,1,2,9,9,9,9,9,9,2,9,9,9,9,2,9,9,9,9,9,9,9,9,9,2,9,9,2,2,9,9,9,1,9,9
106,CAMROSE,Alberta,1924 - 1952,17,1930.07.28,597,2c4fde50-eb86-4288-a3d6-0ecb43786cf0,"LUCAS, William Thomas Lougheed",6462,0.5932,United Farmers of Alberta,Farmer,,0,4,,,,,,,,,,,,,1,2,1,9,9,1,2,1,2,2,9,1,9,2,2,2,1,9,2,9,9,1,2,9,1,9,9,9,9,9,2,2,1,9,1,1,1,1,1,1,1,2,1,9,9,2,9,1,2,2,1,1,2,1,9,2,1,1,1,9,1,2,1,1,1,1,9,2,9,1,9,9,2,9,9,1,9,1,9,1,2,2,1,2,2,1,9,9,9,1,1,1,9,9,9,1,2,1,1,2,2,1,2,2,1,2,1,9,1,1,9,2,1,1,1,2,1,1,2,1,9,9,9,9,9,9,9,1,9,1,1,9,1,2,9,9,1,9,2,9,2,1,1,9,1,1,2,9,9
143,CHICOUTIMI,Quebec,1924 - 2000,17,1930.07.28,602,2cb62e8c-ec6c-4ba0-9a05-d3ea855236b5,"DUBUC, Julien-Edouard-Alfred",10641,0.522,Liberal Party of Canada,"Bank manager, director, manufacturer",,1,3,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
157,COMPTON,Quebec,1867 - 1947,17,1930.07.28,614,2d8bf138-dba3-41dc-9222-42ece3116f57,"GOBEIL, Samuel",6701,0.5118,Conservative (1867-1942),Farmer,,1,1,,,,,,,,,,,,,2,2,2,2,1,2,9,2,2,1,9,2,2,1,2,1,1,9,1,2,2,2,2,1,1,2,9,9,1,9,2,1,9,9,1,2,1,2,2,1,1,1,2,1,2,2,9,2,2,1,2,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,9,2,1,2,9,2,1,1,1,1,9,1,1,2,1,2,1,9,1,1,2,2,2,2,1,2,2,2,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1
