Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S3S1V01,S3S1V02,S3S1V03,S3S1V04,S3S2V01,S3S2V02,S3S2V03,S3S2V04,S3S2V05,S3S2V06,S3S2V07,S3S2V08,S3S2V09,S3S2V10,S3S2V11,S3S2V12,S3S2V13,S3S2V14,S3S2V15,S3S2V16,S3S2V17,S3S2V18,S3S2V19,S3S2V20,S3S2V21,S3S2V22,S3S2V23,S3S2V24,S3S2V25,S3S2V26,S3S2V27,S3S3V01,S3S3V02,S3S3V03,S3S3V04,S3S3V05,S3S3V06,S3S3V07,S3S3V08,S3S3V10,S3S3V11,S3S3V12,S3S4V01,S3S4V02,S3S4V03,S3S4V04,S3S4V05,S3S4V06,S3S4V07,S3S4V08,S3S4V09,S3S4V10,S3S4V11,S3S4V12,S3S4V13,S3S4V14,S3S4V15,S3S4V16,S3S4V17,S3S4V18,S3S4V19,S3S4V20,S3S4V21,S3S5V01,S3S5V02,S3S5V03,S3S5V04,S3S5V05,S3S5V06,S3S5V07,S3S5V08,S3S5V09,S3S5V10,S3S5V11,S3S5V12,S3S5V13,S3S5V14,S3S5V15,S3S5V16,S3S5V17,S3S5V18,S3S5V19,S3S5V20,S3S5V21,S3S5V22
"Ferguson, John",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1888.08.21 ,1867.10.23 , 1888.08.21 ,(Death),1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2,9,1,1,2,2,1,9,2,1,2,2,1,9,9,9,9,9,2,1,2,2,2,9,2,2,1,1,2,1,2,1,2,2,9,2,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9
"Ryan, Thomas",Liberal-Conservative,Quebec,Royal Proclamation,1867.10.23 - 1889.05.25 ,1867.10.23 , 1889.05.25 ,(Death),1,1,1,1,9,2,1,1,1,1,1,9,2,2,9,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,2,9,1,1,2,9,2,1,1,1,2,2,2,1,2,1,1,9,2,2,2,1,2,1,1,1,1,2,2,2,2,1,1,1,9,9,9,1,2,9,9,9,9,9,1,2,2,2,1,1,1,1,1,1,9
"Archibald, Thomas Dickson",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1890.10.18 ,1867.10.23 , 1890.10.18 ,(Death),2,9,9,9,1,1,9,9,9,9,9,9,9,9,2,2,2,1,9,9,2,2,1,9,2,2,2,2,9,2,9,1,9,2,1,2,2,9,2,2,9,2,1,1,9,9,1,9,9,1,2,2,1,2,1,2,2,2,2,9,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Leonard, Elijah",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1891.05.14 ,1867.10.23 , 1891.05.14 ,(Death),2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,9,2,1,2,2,9,1,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,2,2,9,9,1,9,2,1,2,2,2,2,2,2,2,2,2,2,1,9,9,9,9,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2
"Odell, William Hunter",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1891.07.25 ,1867.10.23 , 1891.07.25 ,(Death),9,9,9,9,9,1,2,2,2,2,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,2,2,1,9,9,9,9,2,2,1,2,1,1,1,2,9,2,1,2,1,2,2,1,9,9,9,9,9,9,1,1,9,9,1,2,9,2,1,9,1,9,9,9,9,9,9,9,9,9,9,9
"Botsford, Amos Edwin",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1894.03.22 ,1867.10.23 , 1894.03.22 ,(Death),2,1,1,1,2,1,1,1,1,1,1,1,2,1,9,1,9,2,2,2,9,9,2,2,2,2,1,2,9,1,1,9,2,1,2,9,9,2,2,1,2,9,1,1,2,1,1,1,1,2,2,1,2,1,2,2,9,1,2,1,2,9,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,9
"Flint, Billa",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1894.06.14 ,1867.10.23 , 1894.06.14 ,(Death),9,1,2,2,2,9,9,1,9,2,1,2,9,1,9,1,2,1,2,2,1,1,9,2,1,1,1,2,1,2,1,9,9,9,1,1,1,9,2,2,1,1,2,9,2,1,1,2,1,9,1,2,1,2,1,2,2,1,1,1,9,2,1,9,9,9,9,9,9,9,9,9,9,9,1,2,2,2,1,1,2,1,1,1,1
"Chaffers, William Henry",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1894.07.19 ,1867.10.23 , 1894.07.19 ,(Death),2,2,9,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,9,1,2,2,2,2,2,2,2,2,9,2,9,2,2,2,2,2,1,1,2,2,1,2,9,9,9,9,2,2,1,2,2,9,9,2,2,2,1,2,2,1,2,1,1,2,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2
"GuíÂvremont, Jean-Baptiste",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1896.06.14 ,1867.10.23 , 1896.06.14 ,(Resignation),1,9,1,2,1,2,1,1,1,1,1,9,2,9,1,1,1,1,9,2,1,9,9,1,1,1,2,1,9,9,2,2,2,2,1,1,1,9,2,9,9,9,2,2,9,9,9,9,9,1,1,1,2,1,9,2,9,2,2,1,1,1,9,1,9,2,1,9,9,9,2,1,9,1,1,9,9,9,1,9,9,9,9,9,9
"Macpherson, David Lewis",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1896.08.16 ,1867.10.23 , 1896.08.16 ,(Death),2,1,1,2,2,1,2,2,2,2,2,2,1,2,9,1,9,9,1,2,2,1,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,1,1,2,2,9,1,2,1,9,1,2,2,2,1,2,1,2,1,1,2,2,2,2,1,1,9,1,2,9,1,2,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1
"McClelan, Abner Reid",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1896.12.09 ,1867.10.23 , 1896.12.09 ,(Resignation),1,2,9,2,9,9,2,2,2,2,2,2,1,1,2,9,2,1,9,9,9,9,1,1,2,2,2,2,1,2,1,9,2,2,9,1,1,9,2,2,9,9,2,2,9,9,2,2,1,9,1,1,2,9,9,9,9,9,9,9,9,9,9,2,1,1,9,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,9
"Reesor, David",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1901.01.01 ,1867.10.23 , 1901.01.01 ,(Resignation),2,2,1,2,1,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2,1,2,2,9,2,2,1,1,1,9,1,2,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1,9,9,9,2,1,2,1,2,2,2,2,1,9,9,1,2,2,2,2,2,2
"Allan, George William",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1901.07.24 ,1867.10.23 , 1901.07.24 ,(Death),9,1,1,1,1,9,1,1,1,2,1,2,2,2,9,9,1,1,1,2,2,1,2,2,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2,1,2,1,2,1,1,2,2,2,2,1,1,1,1,1,9
"Armand, Joseph Franí_ois",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1903.01.01 ,1867.10.23 , 1903.01.01 ,(Death),1,1,1,1,1,2,9,9,9,9,9,9,9,1,1,1,1,1,1,2,9,9,9,1,1,1,1,1,1,9,2,2,1,1,1,1,1,1,2,1,2,9,9,1,2,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,1,1,2,2,1,1,9,9,2,1,1,9,1,2,2,2,1,1,1,1,1,1,1
"Dickey, Robert Barry",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1903.07.14 ,1867.10.23 , 1903.07.14 ,(Death),2,9,9,9,2,1,1,1,1,1,9,1,2,2,1,1,1,9,9,2,9,1,2,2,1,1,1,1,1,1,1,1,1,1,1,9,9,2,2,1,2,9,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,1,1,1,2,1,1,2,9,9,9,1,2,1,2,1,1,1,1,2,2,2,1,1,2,9,9,9,9
"Wark, David",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1905.08.20 ,1867.10.23 , 1905.08.20 ,(Death),2,2,1,2,2,1,1,1,1,9,1,9,2,2,2,2,2,9,1,1,2,2,1,9,2,2,2,2,2,2,1,1,2,2,1,1,1,9,2,1,2,2,9,2,1,2,2,2,1,9,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,9,2,1,9,1,2,2,2,2,1,1,1,1,2,2,2,2,2,9
"Miller, William",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1912.02.23 ,1867.10.23 , 1912.02.23 ,(Death),1,2,1,2,1,9,2,2,2,2,2,2,1,1,2,1,2,9,1,9,9,9,1,1,2,2,2,2,2,9,2,9,1,1,9,9,9,9,9,1,1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,2,1,9,1,1,2,9,2,2,1,2,1,2,1,2,1,1,2,9,9,2,1,2,9,1,1,1
"Chapais, Jean-Charles",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1868.01.30 - 1885.07.17 ,1868.01.30 , 1885.07.17 ,(Death),1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,9,1,1,2,2,1,1,2,1,1,9,9,2,9,1,1,1,1,1,2,1,2,1,1,1,9,9,9,1,2,2,2,1,2,1,1,9,1,2,2,1,1,9,9,1,9,2,1,2,1,9,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1
"Benson, James Rea",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1868.03.14 - 1885.03.18 ,1868.03.14 , 1885.03.18 ,(Death),9,9,9,2,1,1,2,2,2,2,2,2,1,2,2,9,2,1,9,2,2,1,9,9,2,1,1,9,1,2,1,1,9,1,1,2,2,2,9,9,9,2,1,9,2,1,1,9,1,1,1,2,1,2,1,2,2,2,2,1,2,9,9,1,1,2,2,2,1,1,2,1,1,9,1,2,2,2,2,1,2,1,1,9,9
"Glasier, John",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1894.07.07 ,1868.03.14 , 1894.07.07 ,(Death),9,9,9,9,2,1,9,9,9,2,9,9,9,1,2,1,2,9,2,1,2,2,9,1,1,2,2,2,9,2,9,1,9,9,1,1,1,2,2,2,1,1,9,2,9,9,2,9,9,1,2,2,1,2,1,2,2,9,9,9,9,9,9,1,1,9,2,1,2,9,2,1,9,9,9,2,2,2,2,1,9,1,9,9,9
"Dever, James",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1904.05.07 ,1868.03.14 , 1904.05.07 ,(Death),2,1,1,9,9,9,2,2,2,2,2,2,1,9,2,1,1,9,2,2,9,1,2,9,1,1,1,1,1,9,9,9,1,1,1,2,2,2,9,2,9,9,1,2,2,1,1,9,2,2,2,2,1,2,9,9,9,9,9,9,9,9,9,2,2,2,2,1,2,1,2,1,2,1,1,2,2,2,1,1,2,1,1,1,9
"McLelan, Archibald Woodbury",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1869.06.21 - 1881.05.20 ,1869.06.21 , 1881.05.20 ,(Resignation),1,9,9,2,2,1,2,2,2,2,2,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,2,9,9,1,9,9,9,2,1,2,1,1,1,2,2,1,1,2,9,9,9,9,9,9,9,9,9,9,2,9,2,2,9,1,9,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1
"Northup, Jeremiah",Liberal Party of Canada,Nova Scotia,"Macdonald, John Alexander",1870.10.10 - 1879.04.10 ,1870.10.10 , 1879.04.10 ,(Death),9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,2,1,2,1,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,1,2,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9
"MacFarlane, Alexander",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1870.10.10 - 1898.12.14 ,1870.10.10 , 1898.12.14 ,(Death),2,1,1,9,9,1,2,1,2,1,9,9,9,1,1,1,1,2,9,2,2,1,9,9,1,1,1,2,9,2,1,1,9,9,9,9,2,2,9,9,9,9,2,2,2,1,1,1,2,2,2,1,2,1,1,2,9,9,9,9,9,9,9,2,1,2,2,1,2,9,2,1,2,1,1,2,9,9,2,1,2,1,9,9,9
"Perry, Ebenezer",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.02 - 1876.05.01 ,1871.02.02 , 1876.05.01 ,(Death),1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Smith, Frank",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.02 - 1900.01.01 ,1871.02.02 , 1900.01.01 ,(Resignation),2,9,9,9,2,9,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2,2,2,9,9,9,9,1,2,9,9,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,9,1,1,1,1,9
"Churchill, Ezra",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1871.02.03 - 1874.05.08 ,1871.02.03 , 1874.05.08 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Panet, Louis",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1871.02.10 - 1874.03.26 ,1871.02.10 , 1874.03.26 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Read, Robert",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.24 - 1896.06.29 ,1871.02.24 , 1896.06.29 ,(Death),2,1,9,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,9,1,1,9,9,9,9,9,9,9,9,9,2,1,2,1,1,1,2,9,1,9,9,2,1,2,2,2,2,2,1,2,1,9,1,2,2,1,2,1,2,1,1,1,1,2,2,2,1,1,2,1,1,1,9
"De Lery, Alexandre-Rení© Chaussegros",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1871.12.13 - 1876.04.11 ,1871.12.13 , 1876.04.11 ,(Resignation),9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Carrall, Robert William Weir",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1879.09.19 ,1871.12.13 , 1879.09.19 ,(Death),9,1,9,1,2,9,2,2,2,2,9,9,1,9,9,1,9,2,9,9,9,9,1,1,9,2,1,2,2,2,2,9,1,1,1,9,9,9,9,9,1,1,1,1,2,1,1,1,1,9,9,9,9,2,1,9,2,2,2,9,9,2,1,9,9,2,9,1,2,9,2,1,1,1,1,2,2,2,9,9,1,1,1,1,1
"Cornwall, Clement Francis",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1881.07.01 ,1871.12.13 , 1881.07.01 ,(Resignation),9,9,9,9,9,1,1,1,1,1,9,9,9,1,1,1,9,2,9,9,2,1,1,9,9,1,1,9,2,9,9,1,1,1,9,9,9,2,1,1,2,9,1,2,2,1,9,9,2,2,2,1,2,1,2,1,1,9,9,9,9,9,9,2,1,9,9,1,2,1,2,1,1,1,1,2,9,9,9,9,9,9,9,9,9
"Girard, Marc-Amable",Conservative (1867-1942),Manitoba,"Macdonald, John Alexander",1871.12.13 - 1892.09.12 ,1871.12.13 , 1892.09.12 ,(Death),1,1,1,1,1,2,2,2,2,2,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,2,9,2,2,2,1,1,2,1,1,2,1,1,2,1,9,2,1,2,1,1,2,1,1,1,1,9,1,1,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,1,1
"Sutherland, John",Independent Conservative,Manitoba,"Macdonald, John Alexander",1871.12.13 - 1899.04.13 ,1871.12.13 , 1899.04.13 ,(Resignation),2,1,1,2,2,1,2,2,2,2,9,9,9,2,2,1,2,9,9,1,9,9,1,1,2,2,2,2,9,9,1,1,2,1,9,2,2,2,9,2,1,9,1,2,2,1,2,1,1,1,9,2,1,2,2,2,2,2,2,2,2,2,2,2,1,9,9,1,2,1,9,9,9,1,9,1,2,2,9,1,2,2,9,9,9
"Macdonald, William John",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1915.04.13 ,1871.12.13 , 1915.04.13 ,(Resignation),2,1,9,1,1,1,2,2,2,2,2,2,1,2,9,9,2,9,2,1,2,2,1,1,9,2,2,2,2,2,2,1,2,2,9,2,2,2,2,2,9,1,1,1,9,9,2,9,9,1,1,1,2,1,1,9,9,9,9,1,9,9,9,9,1,2,2,9,2,1,2,1,1,1,9,2,9,9,9,9,9,9,9,9,9
"Kaulback, Henry Adolphus Newman",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1872.03.27 - 1896.01.08 ,1872.03.27 , 1896.01.08 ,(Death),2,1,9,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,9,2,9,1,2,2,9,1,1,9,9,1,1,1,1,1,2,2,2,2,9,1,1,2,1,2,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,9,2,1,1,2,1,2,1,1,2,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,9
"Cochrane, Matthew Henry",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1872.10.17 - 1903.08.12 ,1872.10.17 , 1903.08.12 ,(Death),9,9,9,9,9,1,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,9,9,9,9,9,9,9,9,2,2,1,2,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9
"Muirhead, William",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1873.01.04 - 1884.12.29 ,1873.01.04 , 1884.12.29 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,1,1,9,9,1,9,1,2,2,2,2,2,9,1,9,9,1,1,2,2,9,2,2,9,2,9,9,9,9,9,9,9,1,1,2,1,2,1,1,2,2,2,1,2,2,1,9,9,2,2,9,2,9,2,1,2,1,1,2,2,2,1,1,1,9,9,9,9
"Vidal, Alexander",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1873.01.15 - 1906.11.18 ,1873.01.15 , 1906.11.18 ,(Death),1,9,9,2,2,9,1,1,1,2,1,9,2,9,1,1,1,1,2,2,2,1,2,9,1,1,1,2,1,2,1,1,9,1,9,9,2,2,9,2,1,9,2,2,2,1,1,1,9,1,1,1,2,1,1,2,1,1,1,9,9,9,1,2,9,2,2,2,1,9,2,1,2,2,9,2,2,2,9,9,1,1,1,1,9
"Chinic, EugíÂne",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.04.10 - 1882.11.03 ,1873.04.10 , 1882.11.03 ,(Resignation),9,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1,9,9,1,1,2,2,2,1,9,9,2,9,1,2,1,1,1,2,1,2,2,2,9,9,9,9,9,9,1,2,1,2,1,2,2,9,2,2,9,9,2,1,1,9,2,1,9,9,9,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9
"Alexander, George",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1873.05.30 - 1891.05.29 ,1873.05.30 , 1891.05.29 ,(Resignation),2,1,1,1,2,9,2,1,1,1,9,9,9,2,9,1,9,1,1,2,9,1,2,2,1,1,1,9,1,9,1,1,1,1,1,2,2,9,9,1,2,2,1,1,2,1,1,2,1,1,9,1,2,9,1,9,9,2,2,9,2,1,1,2,1,9,9,1,2,1,2,1,9,1,1,2,2,2,2,1,1,1,1,1,9
"Bellerose, Joseph Hyacinthe",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.10.07 - 1899.08.13 ,1873.10.07 , 1899.08.13 ,(Death),1,1,1,1,9,2,1,1,1,1,9,9,9,1,1,1,1,1,1,9,1,9,9,2,1,1,1,1,1,9,2,2,9,1,2,1,1,1,2,1,2,2,2,1,2,1,1,1,2,1,2,1,2,1,2,2,1,2,2,1,1,2,1,1,2,2,1,1,2,1,2,1,1,1,1,9,2,2,1,1,1,1,1,1,1
"Haviland, Thomas Heath",Conservative (1867-1942),Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1879.07.01 ,1873.10.18 , 1879.07.01 ,(Resignation),1,1,1,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,1,1,2,1,1,9,1,2,2,2,1,2,1,1,2,1,1,1,2,2,1,2,1,2,2,1,2,9,2,1,1,1,1,2,2,2,1,1,2,1,1,1,9
"Howlan, George William",Liberal Party of Canada,Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1880.12.27 ,1873.10.18 , 1880.12.27 ,(Resignation),1,9,9,9,9,9,1,1,1,1,1,1,2,1,1,1,9,1,2,9,2,1,2,9,1,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,1,9,2,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,2,2,9,2,1,9,9,9,9,1,9,2,9,9,9,9,9,1,9,9,9
"Haythorne, Robert Poore",Liberal Party of Canada,Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1891.05.07 ,1873.10.18 , 1891.05.07 ,(Death),1,9,1,2,9,1,2,1,2,2,2,2,1,2,1,2,2,9,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,9
"Montgomery, Donald",Conservative (1867-1942),Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1893.07.31 ,1873.10.18 , 1893.07.31 ,(Death),2,1,1,2,1,1,2,2,2,2,2,2,1,1,2,9,9,9,2,9,2,2,1,1,2,2,2,2,2,2,1,1,9,1,1,2,2,2,9,1,2,2,1,2,9,9,9,9,9,1,2,2,1,2,1,2,2,1,1,2,2,2,1,2,1,2,9,1,2,9,2,1,9,1,1,2,2,2,2,1,2,1,1,9,9
"Trudel, Franí_ois-Xavier-Anselme",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.10.31 - 1890.01.17 ,1873.10.31 , 1890.01.17 ,(Death),1,9,9,1,9,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,9,1,1,1,1,1,1,1,2,2,1,1,9,1,1,1,2,1,1,2,2,1,2,1,1,1,2,2,1,1,2,1,2,9,1,2,2,1,1,9,1,1,2,1,1,1,9,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,9
"Brown, George",Liberal Party of Canada,Ontario,"Mackenzie, Alexander",1873.12.16 - 1880.05.09 ,1873.12.16 , 1880.05.09 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,9,9,9,9,9,9,2,2,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,1,2,2,2,9,9,1,1,1,2,2,2,2,9,9
"Penny, Edward Goff",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1874.03.13 - 1881.10.11 ,1874.03.13 , 1881.10.11 ,(Death),2,2,9,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,1,2,9,9,9,9,9,2,2,2,9,9,2,1,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,1,2,1,1,2,2,2,1,2,9,9,9,2,2,1,1,1,1,2,2,2,2,2,2
"Scott, Richard William",Liberal Party of Canada,Ontario,"Mackenzie, Alexander",1874.03.13 - 1913.04.23 ,1874.03.13 , 1913.04.23 ,(Death),2,2,1,2,9,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,9,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"Panet, Charles-EugíÂne",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1874.03.27 - 1875.02.04 ,1874.03.27 , 1875.02.04 ,(Resignation),2,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Baillargeon, Pierre",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1874.03.27 - 1891.12.15 ,1874.03.27 , 1891.12.15 ,(Death),1,2,9,2,1,2,2,2,2,2,2,2,1,2,9,2,2,2,1,1,9,9,1,9,2,2,2,2,2,2,2,2,9,2,1,2,2,2,2,1,1,2,1,2,1,2,2,1,1,1,2,1,2,1,2,2,9,9,9,9,9,9,9,9,2,2,1,2,1,9,1,2,9,2,2,1,1,1,1,2,2,2,2,2,2
"Fabre, Hector",Nationalist,Quebec,"Mackenzie, Alexander",1875.02.05 - 1882.07.12 ,1875.02.05 , 1882.07.12 ,(Resignation),99,99,99,99,1,2,2,2,2,2,9,2,1,9,2,2,2,2,1,1,9,9,9,9,2,2,2,2,9,9,9,9,9,2,1,9,2,2,2,9,1,1,1,1,1,2,2,9,1,9,2,2,1,2,2,2,9,2,2,2,2,2,2,1,9,2,2,2,1,2,9,9,9,2,2,1,9,9,1,2,2,2,2,2,9
