Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S9S1V01,S9S1V02,S9S1V03,S9S2V01,S9S2V02,S9S2V03,S9S2V04,S9S3V01,S9S3V02,S9S3V03,S9S3V04,S9S3V05,S9S3V06,S9S3V07,S9S3V08,S9S3V09,S9S3V10,S9S3V11,S9S3V12,S9S3V13,S9S3V14,S9S4V01,S9S4V02,S9S4V03,S9S4V04,S9S4V05,S9S4V06,S9S4V07,S9S4V08,S9S4V09,S9S4V10,S9S4V11,S9S4V12,S9S4V13,S9S4V14,S9S4V15,S9S4V16,S9S4V17,S9S4V18,S9S4V19,S9S4V20,S9S4V21
"McMullen, James",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1902.02.11 - 1913.03.18 ,1902.02.11 , 1913.03.18 ,(Death),99,99,99,2,1,2,2,1,2,2,1,9,9,1,1,2,1,1,9,9,9,2,1,1,9,2,1,9,9,9,9,9,1,9,2,1,1,1,2,1,2,2
"Scott, Richard William",Liberal Party of Canada,Ontario,"Mackenzie, Alexander",1874.03.13 - 1913.04.23 ,1874.03.13 , 1913.04.23 ,(Death),1,2,9,2,9,2,2,1,2,2,1,1,2,2,2,1,1,9,1,2,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2
"Ellis, John Valentine",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1900.09.03 - 1913.06.10 ,1900.09.03 , 1913.06.10 ,(Death),1,2,9,2,1,2,9,1,9,2,1,1,1,2,2,1,1,9,1,2,1,9,9,1,2,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9
"Cox, George Albertus",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1896.11.13 - 1914.01.16 ,1896.11.13 , 1914.01.16 ,(Death),1,2,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Gibson, William",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1902.02.11 - 1914.05.04 ,1902.02.11 , 1914.05.04 ,(Death),99,99,99,9,1,2,2,2,2,9,9,1,9,1,9,9,9,9,9,9,9,1,2,2,2,2,1,2,2,2,2,1,1,9,9,2,9,9,9,9,9,9
"Coffey, Thomas",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1903.03.12 - 1914.06.08 ,1903.03.12 , 1914.06.08 ,(Death),99,99,99,9,9,9,9,2,2,2,1,1,1,2,2,1,1,1,1,2,9,9,9,1,2,2,1,2,2,2,2,1,1,1,1,2,1,2,1,2,1,9
"McMillan, Donald",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1884.01.11 - 1914.07.26 ,1884.01.11 , 1914.07.26 ,(Death),2,1,9,1,2,1,9,9,2,9,9,9,1,1,1,9,9,9,2,1,9,9,9,1,9,1,2,9,9,9,9,9,9,9,2,1,1,1,1,9,1,9
"Kirchhoffer, John Nesbitt",Conservative (1867-1942),Manitoba,"Thompson, John Sparrow David",1892.12.16 - 1914.12.22 ,1892.12.16 , 1914.12.22 ,(Death),2,1,2,1,1,1,9,2,9,9,9,9,9,9,9,2,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Macdonald, William John",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1915.04.13 ,1871.12.13 , 1915.04.13 ,(Resignation),2,1,1,1,9,1,2,2,2,1,9,2,1,1,9,9,9,9,9,9,9,9,9,1,1,1,2,1,1,1,1,2,2,9,2,1,1,1,2,1,1,9
"Robertson, James Edwin",Liberal Party of Canada,Prince Edward Island,"Laurier, Wilfrid",1902.02.07 - 1915.04.13 ,1902.02.07 , 1915.04.13 ,(Resignation),99,99,99,2,1,9,9,2,2,2,1,2,2,1,1,2,1,1,1,2,9,9,9,1,2,2,1,2,2,2,2,1,9,9,9,9,1,1,1,9,9,9
"Boucher de Boucherville, Charles EugíÂne",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1879.02.12 - 1915.09.11 ,1879.02.12 , 1915.09.11 ,(Death),9,9,2,9,2,2,1,1,2,2,2,2,1,1,2,9,9,2,2,1,9,9,9,1,1,1,2,1,1,1,1,2,9,9,1,1,1,1,2,9,9,1
"MacKeen, David",Conservative (1867-1942),Nova Scotia,"Bowell, Mackenzie",1896.02.21 - 1915.10.15 ,1896.02.21 , 1915.10.15 ,(Resignation),2,1,9,9,9,1,9,2,9,9,9,9,9,1,1,9,9,2,2,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Young, Finlay McNaughton",Liberal Party of Canada,Manitoba,"Laurier, Wilfrid",1900.01.30 - 1916.02.15 ,1900.01.30 , 1916.02.15 ,(Death),1,2,9,2,1,2,2,2,9,2,1,1,2,9,9,1,2,1,1,2,1,9,9,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2
"McDonald, William",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1884.05.12 - 1916.07.04 ,1884.05.12 , 1916.07.04 ,(Death),2,1,1,9,9,1,9,2,1,1,2,2,1,1,2,2,1,1,2,9,9,9,9,1,2,1,2,1,1,1,1,2,9,9,2,1,9,9,9,9,9,9
"Frost, Francis Theodore",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1903.03.12 - 1916.08.25 ,1903.03.12 , 1916.08.25 ,(Death),99,99,99,9,9,9,9,2,9,2,1,1,9,1,1,1,1,9,1,2,9,9,9,9,2,2,1,2,2,2,2,1,1,9,1,9,9,9,9,2,9,9
"Kerr, James Kirkpatrick",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1903.03.12 - 1916.12.04 ,1903.03.12 , 1916.12.04 ,(Death),99,99,99,9,9,9,9,9,9,9,9,1,9,1,1,9,9,9,9,9,9,1,2,2,2,9,1,9,9,9,9,9,1,9,1,2,2,2,1,2,2,2
"Mackay, Robert",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1901.01.21 - 1916.12.25 ,1901.01.21 , 1916.12.25 ,(Death),1,2,9,9,1,2,2,1,1,9,9,1,9,9,9,2,1,9,9,1,9,9,9,9,9,2,1,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9
"Fiset, Jean-Baptiste Romuald",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1897.10.20 - 1917.01.05 ,1897.10.20 , 1917.01.05 ,(Death),1,2,9,9,2,9,9,9,1,2,1,1,2,2,2,2,1,9,1,9,9,9,9,2,9,2,1,9,9,9,9,9,9,1,2,2,9,9,9,9,2,9
"Davis, Thomas Osborne",Liberal Party of Canada,Northwest Territories,"Laurier, Wilfrid",1904.09.30 - 1917.01.23 ,1904.09.30 , 1917.01.23 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Jones, Lyman Melvin",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1901.01.21 - 1917.04.15 ,1901.01.21 , 1917.04.15 ,(Death),1,2,1,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Baird, George Thomas",Conservative (1867-1942),New Brunswick,"Bowell, Mackenzie",1895.06.19 - 1917.04.21 ,1895.06.19 , 1917.04.21 ,(Death),9,9,9,9,9,2,9,1,1,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,1,2,9,9,9,9,9,9,1,9,9,9,1,2,9,9,9
"Owens, William",Conservative (1867-1942),Quebec,"Bowell, Mackenzie",1896.01.02 - 1917.06.08 ,1896.01.02 , 1917.06.08 ,(Death),2,1,9,1,1,1,1,1,1,9,9,9,9,1,1,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,1,9,1,9,1,2,9,9,1
"Bowell, Mackenzie",Conservative (1867-1942),Ontario,"Thompson, John Sparrow David",1892.12.05 - 1917.12.10 ,1892.12.05 , 1917.12.10 ,(Death),2,1,9,1,1,9,2,1,2,9,9,2,9,1,1,2,1,1,2,1,2,2,1,2,9,1,2,1,1,1,1,2,9,1,1,1,2,2,1,1,1,1
"Shehyn, Joseph",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1900.02.05 - 1918.07.14 ,1900.02.05 , 1918.07.14 ,(Death),1,2,9,2,9,2,9,1,1,2,1,9,9,9,9,9,9,9,1,9,9,9,9,2,2,2,1,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9
"McLaren, Peter",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1890.02.21 - 1919.05.23 ,1890.02.21 , 1919.05.23 ,(Death),2,1,1,9,1,9,2,9,9,9,9,9,9,1,1,9,9,9,9,1,9,9,9,1,9,1,2,9,9,9,9,9,9,1,2,9,1,1,2,9,1,9
"Landry, Auguste-Charles-Philippe-Robert",Conservative (1867-1942),Quebec,"Abbott, John Joseph Caldwell",1892.02.23 - 1919.12.20 ,1892.02.23 , 1919.12.20 ,(Death),2,1,9,1,2,2,1,9,1,1,2,2,1,9,1,2,1,9,2,1,9,2,1,1,9,1,2,1,1,1,1,2,2,9,9,9,1,1,2,1,1,1
"Choquette, Philippe Auguste",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1904.09.30 - 1919.12.29 ,1904.09.30 , 1919.12.29 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"McSweeney, Peter",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1899.03.15 - 1921.02.02 ,1899.03.15 , 1921.02.02 ,(Death),1,2,2,2,9,2,9,1,1,9,9,1,2,2,9,2,1,2,1,2,9,9,9,1,2,2,1,2,2,2,2,1,2,2,2,2,9,1,1,9,9,9
"Domville, James",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1903.04.20 - 1921.07.30 ,1903.04.20 , 1921.07.30 ,(Death),99,99,99,9,9,9,9,9,9,2,1,9,9,2,2,2,9,9,1,9,9,2,1,1,2,9,9,9,9,9,9,9,2,2,2,2,1,1,2,1,1,9
"Power, Lawrence Geoffrey",Liberal Party of Canada,Nova Scotia,"Mackenzie, Alexander",1877.02.02 - 1921.09.12 ,1877.02.02 , 1921.09.12 ,(Death),1,2,2,2,2,2,9,1,2,2,1,9,2,1,1,2,1,9,9,2,1,1,2,2,9,2,1,2,2,2,2,1,1,1,1,2,2,2,1,9,9,2
"Edwards, William Cameron",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1903.03.17 - 1921.09.17 ,1903.03.17 , 1921.09.17 ,(Death),99,99,99,9,9,9,9,9,9,2,1,9,9,9,1,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,2,1,1,9,9,2,1,9,9,9
"Thompson, Frederick Pemberton",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1902.02.07 - 1922.04.27 ,1902.02.07 , 1922.04.27 ,(Death),99,99,99,2,9,2,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Godbout, Joseph",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1901.04.04 - 1923.04.01 ,1901.04.04 , 1923.04.01 ,(Death),9,9,2,9,9,9,9,9,1,9,9,9,9,1,1,2,1,1,1,9,9,1,2,2,9,9,9,9,9,9,9,9,9,1,1,2,2,9,9,9,2,9
"Bolduc, Joseph",Nationalist Conservative,Quebec,"Macdonald, John Alexander",1884.10.03 - 1924.08.13 ,1884.10.03 , 1924.08.13 ,(Death),2,1,9,9,2,9,9,9,1,1,2,9,1,1,1,9,9,9,2,9,9,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,9,9,9
"Yeo, John",Liberal Party of Canada,Prince Edward Island,"Laurier, Wilfrid",1898.11.19 - 1924.12.14 ,1898.11.19 , 1924.12.14 ,(Death),1,2,2,9,1,2,9,2,1,2,1,1,2,2,2,1,2,1,1,2,9,9,9,9,9,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,9,2
"Lougheed, James Alexander",Liberal-Conservative,Northwest Territories,"Macdonald, John Alexander",1889.12.10 - 1925.11.02 ,1889.12.10 , 1925.11.02 ,(Death),9,9,9,1,1,9,9,2,1,9,9,9,9,1,1,9,9,1,2,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,9,9,9
"Mitchell, William",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1904.03.05 - 1926.05.10 ,1904.03.05 , 1926.05.10 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,9,2,2,1,2,2,2,2,1,9,9,1,9,2,2,1,2,9,2
"Thibaudeau, Alfred",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1896.08.22 - 1926.08.15 ,1896.08.22 , 1926.08.15 ,(Death),1,2,9,9,9,9,2,9,1,9,9,1,2,9,9,9,9,2,1,2,1,9,9,9,9,2,1,2,2,2,2,1,9,9,9,9,9,9,9,9,9,2
"David, Laurent-Olivier",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.06.19 - 1926.08.24 ,1903.06.19 , 1926.08.24 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,9,9,1,1,9,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,2,9,1
"McHugh, George",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1901.01.21 - 1926.11.28 ,1901.01.21 , 1926.11.28 ,(Death),1,2,1,9,2,9,9,2,1,9,9,1,9,2,2,9,1,9,1,9,9,2,1,2,9,2,1,9,9,9,9,9,1,9,1,2,2,2,1,9,2,9
"Montplaisir, Hippolyte",Liberal-Conservative,Quebec,"Macdonald, John Alexander",1891.02.09 - 1927.06.20 ,1891.02.09 , 1927.06.20 ,(Death),2,1,9,1,2,9,1,9,1,1,2,2,9,1,9,1,9,1,2,9,9,9,9,1,9,1,2,1,1,1,1,2,2,1,2,9,9,9,9,9,9,9
"Cloran, Henry Joseph",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.06.30 - 1928.02.08 ,1903.06.30 , 1928.02.08 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,9,9,2,1,2,1,2,1,1,2,2,1,2,2,2,2,1,9,2,2,2,1,1,2,1,9,1
"King, George Gerald",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1896.12.18 - 1928.04.28 ,1896.12.18 , 1928.04.28 ,(Death),1,2,1,9,9,2,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,9,9,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Watson, Robert",Liberal Party of Canada,Manitoba,"Laurier, Wilfrid",1900.01.29 - 1929.05.19 ,1900.01.29 , 1929.05.19 ,(Death),1,2,9,2,1,2,2,2,2,9,9,1,2,9,2,1,2,2,9,2,1,9,9,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2
"Bostock, Hewitt",Liberal Party of Canada,British Columbia,"Laurier, Wilfrid",1904.06.06 - 1930.04.28 ,1904.06.06 , 1930.04.28 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9
"Legris, Joseph Hormisdas",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.02.10 - 1932.03.06 ,1903.02.10 , 1932.03.06 ,(Death),99,99,99,9,9,9,9,1,9,9,9,9,1,1,2,2,2,9,1,2,9,9,9,2,2,2,1,9,9,9,9,9,9,9,2,2,9,9,9,2,2,9
"Ross, James Hamilton",Liberal Party of Canada,Northwest Territories,"Laurier, Wilfrid",1904.09.30 - 1932.12.14 ,1904.09.30 , 1932.12.14 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bí©ique, Frí©dí©ric Liguori",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1902.02.07 - 1933.09.12 ,1902.02.07 , 1933.09.12 ,(Death),99,99,99,9,9,2,2,1,1,2,1,9,2,9,1,2,1,1,1,2,1,9,9,2,9,2,1,9,9,9,9,9,9,1,1,2,2,2,1,2,2,1
"Poirier, Pascal",Liberal-Conservative,New Brunswick,"Macdonald, John Alexander",1885.03.09 - 1933.09.25 ,1885.03.09 , 1933.09.25 ,(Death),9,9,9,1,9,9,9,2,9,9,9,1,9,9,2,9,9,2,9,9,9,2,1,1,1,9,9,9,9,9,9,9,9,2,2,9,1,9,9,9,9,9
"Tessier, Jules",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.03.12 - 1934.01.06 ,1903.03.12 , 1934.01.06 ,(Death),99,99,99,9,9,9,9,2,9,2,1,9,9,1,9,1,1,1,1,2,9,2,1,9,9,2,1,2,2,2,2,1,9,9,9,2,9,9,9,9,2,9
"Casgrain, Joseph Philippe Baby",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1900.01.29 - 1939.01.06 ,1900.01.29 , 1939.01.06 ,(Death),1,2,9,9,9,9,2,9,1,2,1,1,2,1,2,1,1,1,1,2,9,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,2,9,9
"Dandurand, Raoul",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1898.01.22 - 1942.03.11 ,1898.01.22 , 1942.03.11 ,(Death),1,2,9,9,9,9,2,9,1,2,1,1,2,9,2,9,9,9,9,9,9,1,2,2,9,2,1,2,2,2,2,1,9,9,1,2,2,2,1,9,2,1
