Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H03S1V001,H03S1V002,H03S1V003,H03S1V004,H03S1V005,H03S1V006,H03S1V007,H03S1V008,H03S1V009,H03S2V001,H03S2V002,H03S2V003,H03S2V004,H03S2V005,H03S2V006,H03S2V007,H03S2V008,H03S2V009,H03S2V010,H03S2V011,H03S2V012,H03S2V013,H03S2V014,H03S2V015,H03S2V016,H03S2V017,H03S2V018,H03S2V019,H03S2V020,H03S2V021,H03S2V022,H03S2V023,H03S2V024,H03S2V025,H03S2V026,H03S2V027,H03S2V028,H03S2V029,H03S2V030,H03S2V031,H03S2V032,H03S2V033,H03S2V034,H03S2V035,H03S3V001,H03S3V002,H03S3V003,H03S3V004,H03S3V005,H03S3V006,H03S3V007,H03S3V008,H03S3V009,H03S3V010,H03S3V011,H03S3V012,H03S3V013,H03S4V001,H03S4V002,H03S4V003,H03S4V004,H03S4V005,H03S4V006,H03S4V007,H03S4V008,H03S4V009,H03S4V010,H03S4V011,H03S4V012,H03S4V013,H03S4V014,H03S4V015,H03S4V016,H03S4V017,H03S4V018,H03S4V019,H03S4V020,H03S4V021,H03S4V022,H03S4V023,H03S4V024,H03S4V025,H03S4V026,H03S4V027,H03S4V028,H03S4V029,H03S4V030,H03S4V031,H03S4V032,H03S4V033,H03S4V034,H03S4V035,H03S4V036,H03S5V001,H03S5V002,H03S5V003,H03S5V004,H03S5V005,H03S5V006,H03S5V007,H03S5V008,H03S5V009,H03S5V010,H03S5V011,H03S5V012,H03S5V013,H03S5V014,H03S5V015,H03S5V016,H03S5V017,H03S5V018,H03S5V019,H03S5V020,H03S5V021,H03S5V022,H03S5V023,H03S5V024,H03S5V025,H03S5V026,H03S5V027,H03S5V028,H03S5V029,H03S5V030,H03S5V031,H03S5V032,H03S5V033,H03S5V034
280,HASTINGS WEST,Ontario,1867 - 1924,3,1874.01.22,333,180eff99-5fdf-43d8-8abb-3e3653611be2,"BROWN, James",414,0.8942,Conservative (1867-1942),Businessman,Protestant,0,3,,,,,,,,,Scotland,,,,2,2,1,9,2,2,1,9,2,2,2,2,1,9,2,2,1,1,1,9,2,2,9,9,9,2,1,1,9,9,1,2,2,2,1,2,2,9,9,2,2,2,1,2,2,9,1,9,2,2,2,2,2,2,1,2,9,2,1,9,9,9,9,1,9,9,1,1,2,1,9,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,9,2,2,1,9,9,9,1,1,2,2,2,2,9,2,2,2,1,9,1,2,1,2,2,9,2,2,2,9,2,2,2,2,2,2,2,1,2,9,1,2
278,HASTINGS NORTH,Ontario,1867 - 1903,3,1874.01.22,338,1871c43c-bda4-464a-949f-e8206ed0d673,"BOWELL, Mackenzie",847,0.5297,Conservative (1867-1942),"Editor, printer",Protestant,0,3,,,,,,,,,England,,,,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,1,2,2,2,1,9,9,2,1,1,2,1,1,1,1,9,2,1,9,9,1,2,1,2,2,2,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,9,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,9,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,9,1,1,1,1,1,1,1,1,1,9,9,1,1,2,1
251,GREY EAST,Ontario,1872 - 1914,3,1874.01.22,354,19d911c0-3646-4d28-8732-c376dba765a3,"FLESHER, William Kingston",1566,0.5828,Conservative (1867-1942),Miller,Protestant,0,2,,,,,,,,,England,,,,2,2,1,9,2,1,9,9,1,2,2,1,2,1,2,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,9,1,1,2,9,9,9,9,9,9,1,2,1,2,2,1,1,1,2,9,2,1,1,1,1,1,1,1,1,1,1,2,9,9,9,9,9,9,1,9,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,2,2,2,1,9,9,1,1,1,1,1,1,9,9,9,1,2,1,1,9,1,1,1,1,1,2,1,1,9,9,2,2,1,1,1,9
238,GLENGARRY,Ontario,1867 - 1914,3,1875.07.07- and 1876.07.31,360,1abd2e33-3c70-4da8-abeb-b5a1762d4b1b,"MCNAB, Archibald",1227,0.5649,Liberal Party of Canada,Railway company director,Protestant,0,1,,,,,,,,,,Unseated: „,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,2,1,2,2,2,2,9,1,2,9,1,2,2,9,1,2,1,1,1,2,2,1,9,9,1,2,2,2,2,2,2,2,2,2,2,2,1,2,9,9,2,2,1,2,1,9,1,2,2,2,1,1,1,9,2,1,1,9,2,2,1,2,1,2,9,2,2,1,2,9,9,2,2,2,2,1,2,2,1,2
36,BEAUCE,Quebec,1867 - ,3,1876.10.18,367,1af76c37-20ef-4449-a23f-7007cd2a0af8,"BOLDUC, Joseph",1404,0.5361,Conservative (1867-1942),"Farmer, lumber merchant, notary, railway director",Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,2,2,2,2,2,2,2,2,1,2,9,9,9,1,1,1,1,1,1,2,2,1,9,9,1,1,1,2,9,1,9,9,9,1,1,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,9,9,9,9,1,2,1,9,9,1,1,2,1,1,9,1
268,HAMILTON,Ontario,1867 - 1903,3,1874.01.22- and 1875.05.20,392,1d059359-b222-4796-89ca-aa20151ffe37,"WOOD, Andrew Trew",2086,0.2896,Liberal Party of Canada,Businessman,Protestant,0,1,,,,,,,,,Ireland,Election declared void: „,,,2,2,1,1,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1,1,2,2,9,9,9,2,2,2,9,2,2,2,2,9,9,2,2,2,2,1,2,1,9,2,1,2,1,1,2,2,2,2,2,2,1,2,2,1,1,2,9,1,1,9,9,9,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,9,9,9,1,2,2,9,1,1,1,1,9,9,9,9,2,2,1,2,1,2,9,2,2,1,2,2,2,2,2,2,2,9,2,2,1,2
397,LINCOLN,Ontario,1867 - 1882,3,1874.01.22- 1874.11.17-1877.04.18 and 1877.05.09,395,1d1616ab-6beb-4aa5-b834-c5b79d7d9235,"NORRIS, James",1493,0.5274,Liberal Party of Canada,"Merchant, miller, shipowner",Protestant,0,1,,,,,,,,,Scotland,Unseated on petition: after the first election and Resignation: 1877.04.18,,,2,2,1,2,2,2,1,2,1,2,1,2,1,1,9,2,1,1,1,1,2,2,9,1,1,2,9,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,9,1,2,2,1,1,2,1,1,2,9,9,1,1,2,1,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,1,2,2,2,9,9,1,1,2,1,1,2,2,2,1,1,1,2,9,2,2,1,2,2,2,9,2,2,1,1,9,9,9,9
832,YALE,British Columbia,1872 - 1892,3,1874.01.22,402,1db74329-c89a-49b4-b798-7de2e61447e7,"DEWDNEY, Edgar",89,0.8165,Conservative (1867-1942),"Civil engineer, land surveyor",Protestant,0,2,,,,,,,,,England,,,,2,2,1,9,9,9,9,9,1,9,9,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,2,9,2,9,9,9,9,9,2,9,2,9,1,9,2,2,2,2,1,9,9,9,9,1,1,9,1,2,1,9,9,1,1,2,1,9,9,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,9,9,2,9,1,2,2,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,9,1,2,1,1,1,1
189,DURHAM WEST,Ontario,1867 - 1903,3,1874.04.07,438,2000949a-10c5-42de-80e6-816be46f0127,"BURK, Harvey William",1251,0.5585,Liberal Party of Canada,Farmer,Protestant,0,1,,,,,,,,,,,,,2,2,1,9,2,2,1,2,1,2,1,2,1,9,9,2,1,1,1,1,2,2,2,1,1,2,1,2,9,9,9,2,9,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,9,2,2,2,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,9,2,1,1,1,2,2,2,1,1,1,1,2,1,2,9,2,2,1,2,1,2,9,2,2,1,2,2,2,2,2,9,2,1,2,2,1,2
259,HALDIMAND,Ontario,1867 - 1892,3,1874.01.22,461,21c1dc61-8e15-4770-a419-78fdc4a8c2e9,"THOMPSON, David",accl.,,Liberal Party of Canada,Merchant,Protestant,0,3,,,,,,,,,,,,,2,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,1,9,2,2,9,9,9,2,1,1,1,1,1,2,9,1,2,2,2,1,2,1,2,2,2,2,2,9,2,2,9,9,9,9,9,9,9,9,2,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,9,2,2,2,1,2,1,2,9,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2
392,LENNOX,Ontario,1867 - 1903,3,1874.01.22,466,221bfffd-b6d9-41fd-99ba-f08555304a71,"CARTWRIGHT, Hon. R.J.",accl.,,Liberal Party of Canada,"Author, banker, businessman",Protestant,0,3,,1,,,,,,,,,,,2,2,1,2,2,2,2,2,9,2,1,2,1,1,1,2,1,1,1,9,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,2,1,9,9,2,2,1,1,9,9,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,9,9,1,1,2,9,1,2,2,2,1,2,1,2,9,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2
5,ALBERT,New Brunswick,1867 - 1903,3,1874.01.22,467,222566cd-5fa7-4813-ab0c-e0a53784224c,"WALLACE, John",810,0.5159,Liberal Party of Canada,Farmer,Protestant,0,3,,,,,,,,,,,,,2,2,1,9,2,2,1,9,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,9,2,2,2,2,1,9,9,9,9,9,9,9,9,1,9,2,2,2,2,9,2,9,9,2,2,2,2,2,1,2,2,1,2,2,1,1,2,1,9,1,2,9,1,1,9,9,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,9,9,1,2,9,9,9,9,1,1,2,1,2,9,2,2,1,2,1,2,1,2,2,1,2,2,9,2,2,2,9,1,2,2,1,2
107,CAPE BRETON,Nova Scotia,1867 - 1903,3,1874.01.22,471,22832b32-9296-43b7-92b1-0d910b170d7d,"MCKAY, Newton L.",1136,0.325,Liberal Party of Canada,Lawyer,Unknown,0,2,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,9,9,2,1,1,9,2,1,1,1,1,2,2,2,1,1,9,2,2,2,2,2,2,2,2,1,9,9,9,9,9,9,2,2,9,2,1,2,2,2,2,2,2,2,2,1,2,2,9,2,2,9,1,2,1,1,1,2,2,1,1,9,9,9,2,2,2,9,2,2,2,2,2,2,1,2,2,1,2,2,1,9,2,1,1,2,2,2,1,1,9,1,2,1,1,1,2,2,1,2,1,2,9,2,2,9,2,1,2,2,2,2,9,1,2,2,1,2
304,HURON SOUTH,Ontario,1867 - 1933,3,1874.01.22,473,22962b8e-2f39-4509-bd67-c98056fe5bf1,"CAMERON, Malcolm Collin",1522,0.5145,Liberal Party of Canada,Lawyer,Protestant,0,3,,,,,,,,,,,,,2,2,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
208,ELGIN WEST,Ontario,1867 - 1933,3,1874.01.22,477,22d58154-634c-42ca-b52c-6c59b10242bf,"CASEY, George E.",1216,0.5771,Liberal Party of Canada,"Author, journalist",Protestant,0,2,,,,,,,,,,,,,2,2,1,9,2,2,1,2,2,2,1,2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,9,9,2,2,2,2,2,2,1,2,2,2,9,1,2,1,9,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,9,2,1,9,9,2,2,1,9,9,9,2,2,2,2,2,2,2,2,2,2,2,1,2,2,9,2,2,1,2,1,9,1,2,1,2,9,9,1,9,1,9,9,9,2,2,1,2,9,2,9,2,9,9,2,2,2,9,2,2,9,9,2,2,1,2
549,PETERBOROUGH WEST,Ontario,1867 - 1952,3,1874.01.22,483,236e1c35-9735-4724-a14e-546ea819480f,"BERTRAM, John",892,0.5269,Liberal Party of Canada,Businessman,Protestant,0,2,,,,,,,,,Scotland,,,,2,2,1,2,2,2,1,2,1,2,1,2,1,1,2,2,1,1,1,1,2,9,2,1,1,2,2,2,2,2,2,2,9,2,1,2,2,2,9,1,9,1,2,2,2,1,2,2,2,2,2,1,2,2,9,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,9,9,9,1,2,2,2,1,1,1,1,2,1,2,2,2,2,1,9,1,2,1,2,2,1,9,2,9,2,2,2,2,1,2,2,1,2
805,WENTWORTH SOUTH,Ontario,1867 - 1903,3,1874.01.22,502,24ca0d3f-39d4-4e01-8ea2-774b6913163e,"RYMAL, Joseph",1184,0.575,Liberal Party of Canada,Farmer,Protestant,0,3,,,,,,,,,,,,,2,2,1,2,2,2,1,9,2,2,1,2,1,1,1,2,1,1,1,1,2,9,2,1,1,9,1,1,1,1,1,1,1,1,2,1,9,9,1,9,9,2,9,9,2,9,2,2,1,2,2,2,9,9,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,2,2,1,1,2,2,9,9,2,2,1,2,2,1,9,2,1,2,9,9,1,2,1,2,1,1,2,1,2,1,1,1,2,2,1,2,9,9,9,9,9,1,2,2,2,2,2,2,9,1,2,2,1,2
164,CUMBERLAND,Nova Scotia,1867 - 1966,3,1874.01.22,503,24d7bdd8-53ef-4f57-a585-5c5b9effd3dd,"TUPPER, Hon. Charles",1580,0.5681,Conservative (1867-1942),Physician,Protestant,0,3,,,,,,,,,,,,,2,2,1,1,1,1,9,9,9,2,2,1,2,1,9,9,9,9,9,9,1,1,9,9,9,9,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,1,9,9,9,9,9,1,1,9,9,1,1,1,1,1,1,2,1,9,9,2,1,1,2,2,1,1,2,1,1,1,2,1,1,2,1,1,9,1,2,2,2,1,9,9,1,1,9,9,9,9,9,9,9,1,2,1,9,9,9,1,2,9,1,1,1,1,1,9,9,2,1,1,9,9
603,RESTIGOUCHE,New Brunswick,1867 - 1914,3,1878.01.12,550,28777f92-2aea-4885-8029-24f56ba6935e,"HADDOW, George",accl.,,Independent,Merchant,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,2,9,9,1,9,9,9,2,2,2,9,9,9,9,2,9,9,2,9,2,2,9,1,2,9,9,9,9,9,9,9
441,MIDDLESEX NORTH,Ontario,1867 - 1914,3,1874.01.22-1876.04.15,551,289a117f-68c9-47a3-b222-259845a24f84,"SCATCHERD, Thomas",accl.,,Liberal Party of Canada,Lawyer,Protestant,0,3,,,,,,,,,,Died in office: 1876.04.15,,,2,2,1,2,2,2,1,9,1,2,1,2,1,1,2,2,1,1,1,9,9,9,1,2,9,9,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,9,9,9,2,2,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
309,IBERVILLE,Quebec,1867 - 1892,3,1874.01.22,590,2b8629c1-6e3d-45ef-84c5-f9bd80ecb59a,"BECHARD, Francois",accl.,,Liberal Party of Canada,Farmer,Fr.Catholic,1,3,,,,,,,,,,,,,2,1,2,2,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,2,1,1,9,9,2,2,9,2,2,1,9,2,1,2,1,1,9,9,2,2,2,2,9,2,2,2,9,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,9,9,9,1,2,1,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,2,2,1,2,9,2,2,1,2,2,2,1,2,2,1,2
677,SHEFFORD,Quebec,1867 - ,3,1874.01.22,601,2c984275-5721-4676-ae66-9ef1aaf92a79,"HUNTINGTON, Hon. L.S.",1618,0.5799,Liberal Party of Canada,Lawyer,Protestant,0,3,,1,,,,,,,,,,,2,1,2,9,2,2,9,9,2,2,1,9,9,9,1,2,1,1,1,9,2,2,9,9,9,2,2,2,9,2,2,2,2,2,1,2,2,2,9,1,2,9,9,2,2,1,2,2,9,9,9,9,2,2,9,9,2,9,2,2,9,9,2,9,9,9,2,2,1,9,9,9,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,2,9,1,9,1,1,1,2,9,9,9,9,1,2,2,9,1,2,2,2,1,2,9,2,9,2,2,9,2,2,2,2,2,9,2,1,2,2,1,2
791,WATERLOO SOUTH,Ontario,1867 - 1966,3,1874.01.22,638,2f72a99c-81aa-4f23-b10a-49341fa115f4,"YOUNG, James",accl.,,Liberal Party of Canada,"Businessman, journalist",Protestant,0,3,,,,,,,,,,,,,2,2,1,9,2,2,2,9,1,2,1,2,1,1,1,2,1,1,1,1,2,2,2,1,1,9,2,2,2,1,2,2,2,2,1,2,9,2,2,1,2,2,9,2,2,1,2,2,2,2,2,2,2,2,1,9,9,9,2,2,1,9,9,1,9,9,2,2,1,1,1,1,2,2,2,2,9,2,2,2,1,2,2,1,2,2,1,2,2,1,2,9,9,1,2,2,2,1,1,1,1,2,9,9,9,2,2,1,2,1,2,1,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2
624,ROUVILLE,Quebec,1867 - 1914,3,1874.01.22,681,3239ce1c-d875-4273-bb38-aa4735d19eb0,"CHEVAL, Guillaume",812,0.9175,Liberal Party of Canada,Merchant,Fr.Catholic,1,2,,,,,,,,,,,,,1,1,2,2,1,2,1,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,9,1,1,2,1,1,2,9,9,1,1,1,9,1,2,9,9,2,2,1,2,2,1,2,2,2,2,1,1,9,2,2,2,2,9,2,2,2,2,2,2,2,1,2,2,2,9,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,9,9,9,1,2,9,9,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2
588,QUEEN'S COUNTY,Prince Edward Island,1873 - 1892,3,1874.01.22,685,328fafd1-42b3-468c-8cc3-f541c1a5defb,"SINCLAIR, Peter",accl.,,Liberal Party of Canada,Farmer,Protestant,0,2,,,,,,,,,Scotland,,,,2,2,1,9,2,2,1,9,2,2,1,2,1,1,1,2,2,9,2,9,2,2,2,1,1,2,2,2,9,2,1,2,2,9,9,2,2,1,9,1,2,1,9,2,2,9,2,2,9,2,2,2,2,2,1,9,9,1,2,2,9,1,2,1,9,1,2,2,1,1,9,9,9,2,2,2,2,2,2,9,9,2,2,2,2,2,1,2,9,1,2,1,1,1,2,2,2,9,1,1,1,2,1,2,9,2,2,1,2,9,2,1,2,2,9,2,2,2,1,9,2,2,1,2,2,1,2
12,ANNAPOLIS,Nova Scotia,1867 - 1914,3,1874.01.22,699,333ee861-b0f6-4f0a-9457-8b4be74a5bfd,"RAY, William H.",878,0.7996,Liberal Party of Canada,"Farmer, merchant",Protestant,0,3,,,,,,,,,,,,,2,1,1,9,2,2,9,9,9,2,1,2,1,1,2,2,1,1,1,1,2,2,9,1,9,9,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,2,2,9,2,2,2,2,9,1,2,9,1,9,9,9,9,9,9,9,9,2,2,1,9,9,9,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,1,1,1,9,2,1,9,2,2,2,1,2,1,2,9,2,2,9,9,2,2,2,2,2,2,1,2,2,1,2
737,TORONTO EAST,Ontario,1867 - 1933,3,1875.01.18,706,338aeefa-cff8-421a-97b0-5093c5a2e967,"PLATT, Samuel",1396,0.587,Independent,"Brewer, distiller",Protestant,0,1,,,,,,,,,Ireland,,,,99,99,99,99,99,99,99,99,99,2,2,1,2,1,2,9,9,9,9,9,9,9,1,2,9,9,1,2,2,2,2,1,1,9,9,1,1,1,2,9,9,2,1,1,2,2,1,1,9,2,2,2,1,9,2,9,1,1,1,1,9,1,2,1,9,9,1,1,2,9,9,9,9,1,1,2,9,1,1,2,1,1,1,2,1,1,2,1,1,2,1,9,9,2,1,9,9,1,1,1,9,1,1,2,1,1,1,2,1,9,9,9,1,1,1,1,2,1,1,1,9,1,2,1,1,2,1
228,FRONTENAC,Ontario,1867 - 1924,3,1874.01.22,725,3550a98c-e921-48ae-a874-12b2e2dc96d5,"KIRKPATRICK, George Airey",1172,0.6274,Conservative (1867-1942),Lawyer,Protestant,0,3,,,,,,,,,,,,,2,2,1,9,1,1,1,2,9,2,2,1,2,1,9,1,2,2,2,1,1,2,2,1,9,2,2,1,9,2,2,9,1,1,2,2,2,2,9,2,2,9,9,1,9,2,1,1,9,2,2,2,9,9,1,1,9,1,1,1,9,1,2,1,1,1,1,1,2,9,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,9,9,9,9,9,9,2,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,9,9,1,1,1,1,2,2,1,1,1,1
400,LISGAR,Manitoba,1871 - 1987,3,1874.01.22,726,35541ccf-8242-4f22-b82c-aebeef40d396,"SCHULTZ, John Christian",285,0.5689,Conservative (1867-1942),"Newspaper publisher, physician",Protestant,0,3,,,,,,,,,,,,,2,2,1,9,9,9,9,9,9,9,9,2,1,1,1,9,1,1,1,9,1,1,2,1,9,9,9,9,9,1,9,2,9,1,2,9,2,9,2,1,2,2,1,9,2,9,9,1,2,9,9,9,2,9,9,9,9,1,1,1,1,1,2,1,9,9,1,1,2,1,9,9,9,9,2,2,2,9,9,2,2,9,9,2,9,2,9,2,1,9,9,9,9,9,1,9,9,9,9,9,1,1,1,2,9,9,1,2,9,1,9,9,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9
441,MIDDLESEX NORTH,Ontario,1867 - 1914,3,1876.06.07,732,357602ba-b17f-424d-9754-0948094df308,"SCATCHERD, Robert Colin",1576,0.5446,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,9,9,2,9,1,1,2,2,1,1,9,9,2,2,2,2,2,2,2,9,9,2,2,1,2,2,1,2,2,1,9,9,9,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,2,9,2,2,1,2,2,2,9,2,2,1,1,2,2,1,2
146,CITY AND COUNTY OF ST. JOHN,New Brunswick,1867 - 1914,3,1874.01.22,756,37779ef5-797f-4aba-b1ac-7a5f73023bd9,"BURPEE, Hon. Isaac",2826,0.4251,Liberal Party of Canada,Businessman,Protestant,0,2,,1,,,,,,,,,,,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,1,2,2,2,1,9,2,2,2,2,2,2,2,2,2,1,2,2,2,9,9,2,1,2,2,2,1,2,2,9,2,2,2,2,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,9,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,9,2,1,1,1,2,9,2,9,9,1,9,2,1,1,2,2,2,1,2,1,2,9,2,2,9,2,2,2,2,2,2,2,1,2,2,1,2
157,COMPTON,Quebec,1867 - 1947,3,1874.01.22,763,381528b7-e175-4b97-b9ec-c869e5b4b4c3,"POPE, Hon. J.H.",1387,0.7216,Liberal-Conservative,"Promoter, speculator",Protestant,0,3,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,1,2,2,2,9,1,1,1,2,9,9,1,1,9,9,9,9,1,1,2,9,9,9,9,2,2,1,9,1,2,2,1,1,9,9,9,9,1,1,2,9,1,9,1,1,2,2,1,2,2,2,9,9,9,2,2,2,1,1,1,1,1,1,1,2,1,9,9,9,1,1,2,1,9,2,9,2,2,2,1,1,1,2,2,9,9,9,2,2,1,2,1,2,2,2,1,9,1,1,2,1,2,1,9,1,9,1,9,9,9,9,9
736,TORONTO CENTRE,Ontario,1872 - 1924,3,1875.05.21,776,38e3fa10-aa28-4ae6-be37-259481c7c853,"MACDONALD, John",accl.,,Independent Liberal,Businessman,Protestant,0,1,,,,,,,,,Scotland,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,9,2,2,2,2,2,9,1,2,9,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,9,9,1,2,1,2,1,1,1,1,2,1,1,2,9,2,1,2,1,2,9,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9
440,MIDDLESEX EAST,Ontario,1867 - 1966,3,1875.01.28,804,3a8be342-49ea-45f0-9d82-cdeaaf26c1a1,"MACMILLAN, Duncan",2098,0.5214,Liberal-Conservative,Lawyer,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,2,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,9,9,9,9,9,9,1,1,1,2,1,1,2,2,2,9,2,1,1,2,2,1,1,1,9,2,2,1,1,1,1,1,9,1,1,9,9,1,1,1,1,1,1,2,9,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,2,1,1,2,9,9,9,9,1,9,9,9,9,2,1,1,1,2,1,1,9,9,9,1,2,1,1,1,1,1,1,1,9,1,1,1,9,1,1,2,1
