Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H13S1V001,H13S1V002,H13S1V003,H13S1V004,H13S1V005,H13S1V006,H13S1V007,H13S1V008,H13S1V009,H13S1V010,H13S1V011,H13S1V012,H13S1V013,H13S2V001,H13S2V002,H13S2V003,H13S2V004,H13S2V005,H13S2V006,H13S2V007,H13S2V008,H13S2V009,H13S2V010,H13S2V011,H13S2V012,H13S2V013,H13S2V014,H13S2V015,H13S2V016,H13S2V017,H13S2V018,H13S3V001,H13S3V002,H13S3V003,H13S3V004,H13S3V005,H13S3V006,H13S3V007,H13S3V008,H13S3V009,H13S3V010,H13S3V011,H13S3V012,H13S3V013,H13S3V014,H13S3V015,H13S4V001,H13S4V002,H13S4V003,H13S4V004,H13S4V005,H13S4V006,H13S4V007,H13S4V008,H13S4V009,H13S4V010,H13S4V011,H13S4V012,H13S4V013,H13S5V001,H13S5V002,H13S5V003,H13S5V004,H13S5V005,H13S5V006,H13S5V007,H13S5V008,H13S5V009,H13S5V010,H13S5V011,H13S5V012,H13S5V013,H13S5V014
364,LAMBTON WEST,Ontario,1882 - 1966,13,1917.12.17,635,2f5657db-e63e-47b8-8ff0-51286ffbc3e6,"PARDEE, Frederick Forsyth",5691,0.6669,Unionist (Liberal),Barrister,Protestant,0,4,,,,,,,,,,,,,2,2,1,9,9,2,2,9,9,9,1,2,9,9,1,2,9,9,9,9,9,9,1,2,9,9,1,2,9,9,9,1,2,9,9,1,2,1,1,1,1,1,2,1,9,2,1,9,1,1,1,1,9,1,9,9,9,9,9,1,9,9,1,9,9,1,9,1,1,2,9,1,1
350,L'ASSOMPTION--MONTCALM,Quebec,1914 - 1933,13,1917.12.17,647,2ff96afc-2249-42e1-9fc3-90e92c1d91e0,"SEGUIN, Paul-Arthur",5181,0.9679,Laurier Liberal,Notary,Fr.Catholic,1,3,,,,,,,,,,,,,1,1,2,1,1,9,1,9,1,2,2,9,9,1,1,2,1,9,1,2,2,9,1,2,9,1,2,9,9,9,9,1,2,1,2,1,2,1,1,1,1,1,1,1,9,9,1,9,1,1,1,1,2,9,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,9,1,1
130,CHAMBLY--VERCHERES,Quebec,1893 - 1933,13,1917.12.17,648,3012525e-b75c-4c87-89d8-4c9c7330e136,"ARCHAMBAULT, Joseph",4740,0.6392,Laurier Liberal,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,9,1,2,9,1,2,9,9,9,9,1,9,1,2,1,2,1,1,1,1,1,1,1,1,9,1,9,1,1,1,1,2,9,1,1,1,1,1,1,1,1,9,1,2,1,1,1,1,9,9,1,1
855,YORK--SUNBURY,New Brunswick,1914 - 1987,13,1917.12.17-1921.01.07,650,3040acc6-9b18-4376-90a1-e50c4b9702ac,"MCLEOD, Harry Fulton",6957,0.6922,Unionist,Lawyer,Protestant,0,2,,,,,,,,,,Died in office: 1921.01.07,,,9,9,9,2,2,2,2,2,2,1,9,9,9,2,9,9,9,2,2,1,9,9,2,1,9,9,9,9,9,9,9,2,9,9,1,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,2,9,2,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99
431,MEDICINE HAT,Alberta,1907 - ,13,1917.12.17-1921.01.21 ,653,30b20ab0-1fd3-44d6-80e5-f3f9e99fb13a,"SIFTON, Hon. Arthur Lewis",6869,0.6304,Unionist,Lawyer,Protestant,0,1,,1,,,,,,,,Died in office: 1921.01.21 ,,,2,2,1,2,2,2,2,2,2,1,1,2,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,2,1,1,1,9,1,2,9,2,2,2,2,2,2,9,2,9,9,9,9,2,9,9,2,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99
44,BELLECHASSE,Quebec,1867 - 1996,13,1917.12.17,688,329d25ef-2eba-400a-8105-2bf4bef49bfd,"FOURNIER, Charles-Alphonse",3752,0.9766,Laurier Liberal,Pharmacist,Fr.Catholic,1,1,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,9,1,2,1,1,2,1,1,1,9,1,2,1,2,1,9,9,1,1,1,1,1,1,9,9,1,2,1,9,1,1,9,9,1,1,1,1,1,1,1,1,1,1,2,1,1,9,1,1,9,9,1
587,QUEEN'S,Prince Edward Island,1903 - 1966,13,1917.12.17,715,34308596-a425-4112-b653-9ed571725dc0,"SINCLAIR, John Ewen",5377,0.2505,Laurier Liberal,Farmer,Protestant,0,1,,,,,,,,,,,,,1,1,2,9,9,9,9,9,9,9,9,9,9,1,2,9,9,1,1,2,9,9,1,2,1,9,1,1,2,1,1,1,2,1,2,1,9,9,9,9,9,9,9,9,9,9,1,9,1,1,9,9,2,1,1,1,1,1,1,1,9,1,9,1,2,1,9,9,1,9,1,9,1
266,HALTON,Ontario,1867 - 1987,13,1917.12.17,744,3624878e-997f-42b3-9c67-995f7259584c,"ANDERSON, Robert King",4802,0.7027,Unionist,"Physician, teacher",Protestant,0,1,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,9,2,2,2,1,1,9,2,1,2,2,1,1,1,2,2,2,1,2,1,2,9,2,9,9,9,9,9,9,2,1,2,9,2,2,9,2,1,2,2,2,2,2,2,2,2,2,2,9,9,2,2,9,2,2,9,2,2
599,RENFREW NORTH,Ontario,1867 - 1972,13,1917.12.17,757,378240a0-e5cc-4eb9-96e2-7885f7eb70ef,"MACKIE, Herbert John",3397,0.5418,Unionist,"Businessman, lumber merchant",Protestant,0,1,,,,,,,,,,,,,2,2,1,2,2,2,9,9,9,9,1,9,9,2,1,1,9,2,2,1,2,9,2,1,9,9,1,9,9,9,9,2,9,9,9,9,9,9,2,2,2,2,2,2,2,9,2,1,2,2,2,2,9,2,2,2,2,9,2,2,2,2,2,9,9,2,2,2,2,2,9,2,9
530,OXFORD SOUTH,Ontario,1867 - 1933,13,1917.12.17,790,39733e89-5c63-44ea-a981-bc71336702b7,"SUTHERLAND, Donald",4124,0.5946,Unionist,Farmer,Protestant,0,2,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,1,9,2,2,1,2,9,2,1,2,9,1,2,2,9,9,2,1,2,1,2,9,2,2,2,2,2,2,2,2,1,2,9,9,9,2,2,1,9,2,2,2,2,2,2,2,2,2,2,1,2,9,2,2,1,9,2,9
614,RIMOUSKI,Quebec,1867 - 1980,13,1917.12.17,796,3a13035c-13d2-40f7-a5e0-ed8a943a7c31,"D'ANJOU, Joseph-Emile-Stanislas-Emmanuel",accl.,,Laurier Liberal,"Insurance agent, insurance agent, insurance broker, insurance broker",Fr.Catholic,1,1,,,,,,,,,,,,,1,1,2,1,1,9,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,2,9,9,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,9,9,1,1
844,YORK EAST,Ontario,1914 - 1924,13,1917.12.17,799,3a32829f-3ff0-46c5-b5fd-3f7446f16877,"FOSTER, Thomas",9736,0.517,Unionist,"Businessman, butcher and meat cutter, gentleman, landlord, speculator",Protestant,0,1,,,,,,,,,,,,,2,2,9,2,2,2,2,2,2,1,2,2,9,2,2,2,2,2,2,1,2,9,2,1,1,2,1,2,9,9,9,2,1,2,1,2,1,2,2,1,2,9,9,9,2,9,2,1,2,2,9,2,1,2,9,9,9,9,9,2,9,2,9,9,9,2,2,2,2,2,9,2,9
287,HOCHELAGA,Quebec,1867 - 1978,13,1917.12.17,817,3bfce580-b7e7-402b-b8db-76b58d09be2c,"LESAGE, Joseph-Edmond",9697,0.9421,Laurier Liberal,Physician,Fr.Catholic,1,1,,,,,,,,,,,,,1,1,2,9,9,1,1,1,1,2,2,1,1,1,2,2,1,9,9,9,2,9,9,9,9,9,9,9,9,1,9,1,2,9,9,1,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,1,9,9,9,9,9,9,9,1,9,1,1,9,9,1,9,1,1,2,9,9,9
141,CHATEAUGUAY--HUNTINGDON,Quebec,1914 - 1947,13,1917.12.17,824,3c716a03-43b1-401d-820f-7921b10e5565,"ROBB, James Alexander",3835,0.6539,Laurier Liberal,"Merchant, miller",Protestant,0,3,,,,,,,,,,,,,1,1,2,1,1,9,9,1,1,2,2,1,1,9,1,9,1,1,1,2,2,9,1,2,2,1,1,1,1,1,1,1,9,1,2,1,9,9,1,1,1,1,9,1,1,9,1,2,1,1,9,1,9,1,9,9,9,9,9,1,2,1,1,9,9,1,9,9,1,1,9,9,9
764,VANCOUVER SOUTH,British Columbia,1914 - 1996,13,1917.12.17,863,3eb5c3bf-5293-4167-a8dc-79527bb53cca,"COOPER, Richard Clive",6890,0.6514,Unionist,Soldier,Protestant,0,1,,,,,,,,,Ireland,,,,2,2,1,2,2,2,2,9,9,9,9,9,9,2,2,1,2,2,2,1,1,9,2,1,9,9,1,1,1,2,2,2,1,2,1,2,9,9,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
833,YALE,British Columbia,1914 - 1952,13,1917.12.17-1920.07.07,923,431f1aea-d84b-44d7-82cc-340110a7e97d,"BURRELL, Hon. Martin",accl.,,Unionist,"Author, fruit grower, parliamentary librarian",Protestant,0,3,,1,,,,,,,England,Resignation. Appointed Parliamentary Librarian: 1920.07.07,,,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,9,2,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,1,2,9,9,9,2,2,9,9,9,2,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99
69,BRANTFORD,Ontario,1903 - 1924,13,1917.12.17,927,4377f02c-8021-4cd3-9d64-deaad7b31431,"COCKSHUTT, William F.",5925,0.5995,Unionist,"Businessman, manufacturer",Protestant,0,3,,,,,,,,,,,,,2,2,1,2,2,2,2,2,9,1,1,2,2,2,9,1,9,2,2,1,1,2,2,2,1,9,1,1,1,9,9,2,1,2,1,9,9,2,2,2,2,2,9,9,2,1,2,9,2,2,9,2,1,9,9,9,9,9,9,2,2,2,9,9,9,2,2,2,2,2,9,2,9
409,LUNENBURG,Nova Scotia,1867 - 1924,13,1917.12.17,937,441e220e-1526-47d2-9b2f-ab5619ae3aac,"DUFF, William",4699,0.5489,Laurier Liberal,"Fish merchant, merchant, shipowner",Protestant,0,1,,,,,,,,,,,,,9,9,9,1,1,1,1,1,1,2,2,9,9,1,1,2,9,1,1,2,2,9,1,2,1,9,1,2,2,9,9,9,9,1,2,1,2,1,9,9,9,9,9,9,9,9,1,2,9,9,1,1,2,1,1,1,1,1,1,1,1,1,9,1,2,1,9,9,1,9,1,1,1
352,LABELLE,Quebec,1892 - 1987,13,1917.12.17,944,4472d34d-ab33-4491-a84f-4c3450223604,"FORTIER, Hyacinthe-Adelard",accl.,,Laurier Liberal,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,1,1,2,1,1,9,9,9,1,2,2,1,9,1,1,2,9,1,1,2,9,1,9,9,9,1,9,1,9,1,1,1,9,9,9,9,9,1,1,1,1,1,1,1,1,2,9,2,9,1,1,1,9,9,1,1,9,1,1,1,1,1,9,1,2,1,9,9,1,1,9,1,9
456,MONTMAGNY,Quebec,1867 - 1933,13,1917.12.17,990,47bf0f77-b906-4c4b-b2fa-fb99bda6f130,"DECHENE, Aime-Miville",2394,0.6345,Laurier Liberal,"Crown prosecutor, lawyer",Fr.Catholic,1,1,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,9,1,1,2,2,9,9,9,9,9,2,1,9,1,1,1,2,9,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,9,1,1,9,1,1,1,1,1,1,1,1,9,9,1,2,1,1,1,1,1,1,1,9
18,ARGENTEUIL,Quebec,1867 - 1947,13,1917.12.17,1006,493aa226-db5b-4eff-854d-21fbed53bcca,"MCGIBBON, Peter Robert",2113,0.5565,Laurier Liberal,Lumberman,Protestant,0,1,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,2,2,9,1,1,9,2,9,1,1,2,2,9,1,2,9,1,9,9,9,9,9,1,2,1,2,1,2,1,1,1,1,1,1,1,9,9,1,9,1,1,1,1,9,1,9,9,9,9,9,1,9,1,9,9,9,1,1,9,1,9,9,1,9
382,LAURIER--OUTREMONT,Quebec,1914 - 1933,13,1917.12.17,1011,498c19a2-d3a6-4171-a7e9-b1fa32c2ec92,"DU TREMBLAY, Pamphile-Real-Blaise-Nugent",7443,0.5457,Laurier Liberal,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,1,1,1,1,1,1,9,9,1,9,9,1,1,1,1,2,9,9,9
768,VAUDREUIL--SOULANGES,Quebec,1914 - 1966,13,1917.12.17,1026,4b02e0c1-1981-4162-963c-ca1a572cb6f1,"BOYER, Gustave",4075,0.909,Laurier Liberal,"Gentleman, journalist",Fr.Catholic,1,4,,,,,,,,,,,,,1,1,2,1,1,9,1,1,1,2,2,9,9,9,2,2,1,1,1,2,9,9,1,2,9,9,2,9,9,9,9,1,9,9,9,1,9,1,9,1,1,1,9,1,9,9,1,9,9,1,9,1,2,9,1,1,1,1,1,1,1,1,1,9,9,1,9,1,9,9,9,9,9
469,MUSKOKA,Ontario,1903 - 1924,13,1917.12.17,1032,4be4381a-0630-418f-b3aa-6b95dcd88e09,"MCGIBBON, Peter",3457,0.648,Unionist,Physician,Protestant,0,1,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,1,1,2,2,9,9,1,9,2,2,1,2,2,2,1,1,2,1,1,1,2,2,2,1,9,9,2,9,2,2,2,2,2,2,2,2,9,2,1,2,2,9,2,1,9,9,9,9,9,9,2,2,2,2,2,1,2,2,2,2,2,2,2,2
152,COLCHESTER,Nova Scotia,1867 - 1933,13,1917.12.17-1920.07.12,1037,4c70db2d-27f6-41f1-886a-3572d31f53d1,"MCCURDY, Hon. Fleming Blanchard",accl.,,Unionist,Financier,Protestant,0,2,1,,1,1,,,,,,Resignation. Appointed Minister of Public Works: 1920.07.12,,,9,9,9,2,2,2,2,2,2,1,1,2,2,2,9,1,9,9,9,9,9,2,2,1,9,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,9,2,2,9,9,9,9,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99
152,COLCHESTER,Nova Scotia,1867 - 1933,13,1920.09.20 ,1037.1,4c70db2d-27f6-41f1-886a-3572d31f53d1,"MCCURDY, Hon. Fleming Blanchard",accl.,,Nationalist Liberal,Financier,Protestant,0,2,,1,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9
476,NEEPAWA,Manitoba,1914 - 1947,13,1917.12.17,1041,4cd26090-0a3c-45c8-8505-28f4c236f58d,"DAVIS, Fred Langdon",5102,0.7138,Unionist,Lawyer,Protestant,0,1,,,,,,,,,,,,,2,2,1,9,9,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,2,2,1,2,2,9,1,9,9,9,9,2,1,9,9,2,9,2,2,2,2,2,2,2,2,2,2,1,2,2,9,2,1,2,2,2,2,2,1,1,9,2,2,1,9,9,2,9,9,2,2,2,9
415,MACLEOD,Alberta,1907 - 1966,13,1917.12.17,1045,4ce7129a-088b-449d-8eda-3e7f363b41fe,"SHAW, Hugh Murray",5128,0.5902,Unionist,"Farmer, rancher",Protestant,0,1,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,1,1,2,9,2,1,9,2,9,2,1,2,2,2,1,2,9,1,9,9,2,2,2,1,2,1,9,1,2,2,2,2,2,2,2,2,1,2,1,9,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,9,2,2
323,KAMOURASKA,Quebec,1867 - 1976,13,1917.12.17-1919.10.14 and 1919.10.27,1050,4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c,"LAPOINTE, Ernest",3453,0.9476,Laurier Liberal,Lawyer,Fr.Catholic,1,5,,,,,,,,,,Resignation. To contest Quebec East: 1919.10.14,,,1,1,2,9,1,1,1,1,1,2,2,1,1,9,2,2,9,9,9,9,2,9,9,9,1,1,2,1,9,1,1,1,9,2,2,1,99,99,9,9,9,9,9,9,1,2,1,2,1,1,9,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,9,1,2,1,1,1
576,QU'APPELLE,Saskatchewan,1905 - 1966,13,1917.12.17,1051,4d6aec7f-24f4-4f0f-bfd9-9e401c0c7fc5,"THOMSON, Levi",accl.,,Unionist (Liberal),"Crown prosecutor, farmer, lawyer",Unknown,0,2,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,1,1,9,9,2,1,9,9,2,2,1,2,9,1,2,2,2,1,1,9,2,9,2,9,9,1,2,9,9,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,9,9,9,9,9,9,1,2,1,2,1,1,1,9,9,9,2,9,2,1
313,JACQUES CARTIER,Quebec,1867 - 1952,13,1917.12.17,1071,4ec792a6-2959-4e13-9458-a23963064623,"LAFORTUNE, David Arthur",9228,0.5716,Laurier Liberal,Lawyer,Fr.Catholic,1,3,,,,,,,,,,,,,1,1,2,1,1,9,9,1,1,2,2,1,9,9,9,2,1,9,1,2,2,9,9,9,9,1,2,1,1,9,9,1,2,1,2,9,9,1,1,1,1,1,1,1,1,9,9,9,1,1,9,1,2,1,9,9,9,9,9,1,9,9,9,1,2,1,1,1,1,1,9,1,1
790,WATERLOO NORTH,Ontario,1867 - 1966,13,1917.12.17,1073,4f101a06-5792-4d8a-9130-5ba8fab659eb,"EULER, William Daum",5435,0.5891,Laurier Liberal,Businessman,Protestant,0,1,,,,,,,,,,,,,1,9,2,1,1,1,1,1,1,2,2,1,1,9,9,9,1,1,9,9,2,9,2,2,9,9,9,2,2,1,9,1,2,1,2,1,9,1,1,1,1,1,2,1,1,9,1,9,1,1,1,1,2,1,1,1,1,1,1,1,9,1,1,1,9,1,9,9,9,9,9,9,1
224,FORT WILLIAM AND RAINY RIVER,Ontario,1914 - 1924,13,1917.12.17,1074,4f144b8d-0f62-4502-b6eb-6bf2aa0faaad,"MANION, Robert James",5943,0.6989,Unionist,Physician,Catholic,0,1,,1,,,,,,,,,,,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,1,9,2,1,9,9,9,9,2,9,9,1,2,1,2,2,2,2,2,2,2,2,9,2,1,2,9,2,9,1,9,2,2,2,2,2,2,2,9,2,9,9,2,2,2,2,2,1,9,9
562,PORTNEUF,Quebec,1867 - 2004,13,1917.12.17,1088,50213f53-4bd4-4a8f-a6eb-ae0ac7c0034d,"DELISLE, Michel-Simeon",accl.,,Laurier Liberal,"Gentleman, merchant, person of independent means",Fr.Catholic,1,5,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,9,1,2,9,1,2,9,9,9,9,1,9,1,2,1,2,1,1,1,1,1,1,1,9,9,1,9,1,1,1,1,2,9,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,9,9,1
36,BEAUCE,Quebec,1867 - ,13,1917.12.17,1092,50634114-351e-4c08-8b61-8698a41f8814,"BELAND, Hon. Henri Severin",accl.,,Laurier Liberal,Physician,Fr.Catholic,1,5,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,2,1,1,2,9,9,9,9,9,1,1,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,1,9,9,9,1,9,9,9,1,1,1,1,1,2,1,1,9,1,1,9,9,1
23,ASSINIBOIA,Saskatchewan,1907 - 1987,13,1917.12.17-1918.09.22,1114,52a4499f-fa60-4960-92e4-bb99baf0c85e,"TURRIFF, John Gillanders",6836,0.7473,Unionist (Liberal),"Farmer, merchant",Protestant,0,4,1,,,1,,,,,,Resignation. Called to the Senate: 1918.09.22,,,2,2,1,2,2,2,2,2,2,1,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
263,HALIFAX,Nova Scotia,1867 - ,13,1917.12.17,1138,5406f64b-b8b6-4640-a22f-5d30fce332ee,"MARTIN, Peter Francis",accl.,,Unionist,Contractor,Catholic,0,1,,,,,,,,,,,,,2,2,1,9,9,2,2,2,2,1,1,2,2,2,2,9,9,2,2,9,9,9,2,1,2,2,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,9,9,9,9,9,9,2,2,2,2,2,1,2,2,2,2,2,9,2,2
311,INVERNESS,Nova Scotia,1867 - 1933,13,1917.12.17,1142,54527ec0-1e62-40d5-99dc-90f2d267f646,"CHISHOLM, Alexander William",3544,0.6108,Laurier Liberal,Physician,Protestant,0,3,,,,,,,,,,,,,1,9,2,1,1,9,1,9,9,9,9,9,9,9,9,9,9,1,1,2,2,9,1,2,1,9,9,9,9,9,9,9,9,1,2,9,2,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9,1,2,1,9,9,1,1,1,9,1
254,GREY SOUTHEAST,Ontario,1914 - 1933,13,1917.12.17,1147,547a3438-cef8-4ac8-a7f3-8351a32095bd,"BALL, Robert James",4845,0.5731,Unionist,"Accountant, life insurance agent, teacher",Protestant,0,2,,,,,,,,,,,,,2,2,1,2,2,2,2,9,9,9,1,2,2,2,1,9,2,2,2,1,1,9,2,1,2,2,9,9,9,2,2,2,1,2,1,2,1,2,9,9,9,9,9,9,2,1,2,9,2,2,9,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,9,2,2,2,1,2,2
289,HULL,Quebec,1914 - 1984,13,1917.12.17,1164,5564e3c6-63c0-4987-bf0f-fd4f2d0b4f64,"FONTAINE, Joseph-Eloi",accl.,,Laurier Liberal,Physician,Fr.Catholic,1,1,,,,,,,,,,,,,1,1,2,9,9,9,9,1,1,2,2,1,9,1,1,2,9,1,1,2,2,9,1,2,9,9,9,9,9,1,1,1,9,9,2,1,2,1,1,1,1,1,1,1,9,9,9,9,9,1,1,1,2,9,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,9,9,1,9
394,LETHBRIDGE,Alberta,1914 - 1977,13,1917.12.17,1178,56470474-43c7-4392-9d18-c5e1c4bcdfef,"BUCHANAN, William Ashbury",5302,0.6824,Unionist (Liberal),"Journalist, publisher",Protestant,0,2,,,,,,,,,,,,,2,2,1,2,2,2,2,2,9,9,1,2,9,2,9,1,2,2,2,1,2,2,1,2,9,9,1,2,9,2,2,2,9,9,1,9,1,2,2,2,2,2,2,2,2,1,2,9,2,2,9,9,9,9,9,2,2,1,1,9,9,9,9,9,9,9,9,1,1,2,2,9,1
208,ELGIN WEST,Ontario,1867 - 1933,13,1917.12.17-1921.10.02,1180,5654ad0c-4f83-4d39-8720-1bcc13b5d7f5,"CROTHERS, Hon. Thomas Wilson",5173,0.5947,Unionist,"Lawyer, teacher",Protestant,0,3,,1,,,,,,,,Resignation. Appointed to the Senate: 1921.10.02,,,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,2,9,1,1,2,2,2,1,2,1,2,9,2,9,9,9,9,9,9,9,9,2,1,9,2,2,2,1,2,2,2,2,2,2,9,9,2,9,9,9,9,9,9,9,9,9,9,9
263,HALIFAX,Nova Scotia,1867 - ,13,1917.12.17,1189,56fdc84e-aaff-46fe-bf93-d6f1014c6188,"MACLEAN, Alexander Kenneth",accl.,,Unionist (Liberal),Lawyer,Protestant,0,4,,1,,,,,,,,,,,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,9,2,2,2,1,9,2,2,1,9,2,1,1,1,2,9,9,9,1,1,2,1,9,2,2,2,2,2,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,1,9,2,2,9,1
198,EDMONTON EAST,Alberta,1914 - 2000,13,1917.12.17,1206,580f9434-03ef-4694-83f9-e54be1bff1b1,"MACKIE, Henry Arthur",6775,0.6217,Unionist,Lawyer,Protestant,0,1,,,,,,,,,,,,,2,2,1,2,1,2,1,9,9,9,9,9,9,9,1,1,9,9,9,9,2,9,2,1,9,9,1,1,9,2,2,9,9,2,2,2,1,2,2,9,9,9,9,9,2,1,2,9,2,2,2,1,1,2,2,2,2,2,2,2,9,2,2,9,9,9,9,9,9,2,1,9,9
367,LANARK,Ontario,1914 - 1966,13,1918.05.02,1215,58f0abc6-b0e9-4950-822a-7b322eaa848b,"STEWART, John Alexander",accl.,,Unionist,Lawyer,Protestant,0,1,,1,,,,,,,,,,,99,99,99,2,2,2,2,2,2,1,1,2,2,2,9,9,9,2,2,1,1,9,9,9,9,9,1,1,1,2,2,2,1,9,9,2,9,2,9,9,9,9,9,9,9,9,2,9,2,9,2,2,9,2,9,9,2,2,2,9,9,2,2,9,9,2,2,9,2,2,9,9,9
274,HANTS,Nova Scotia,1867 - 1924,13,1917.12.17,1219,5952bcb3-41b4-4c81-b5bb-bb705a6427fc,"TREMAIN, Hadley Brown",2989,0.5258,Unionist,Lawyer,Protestant,0,2,,,,,,,,,,,,,2,9,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,2,1,9,9,2,2,2,2,2,2,2,9,2,1,2,2,2,2,2,2,2,9
243,GLOUCESTER,New Brunswick,1867 - 1990,13,1917.12.17,1245,5afbdf71-2ff3-4501-b9b3-74750bfc73ee,"TURGEON, Onesiphore",accl.,,Laurier Liberal,"Editor, journalist",Fr.Catholic,1,5,,,,,,,,,,,,,1,1,2,1,1,1,1,9,9,9,2,9,9,1,9,2,1,1,1,2,2,1,1,2,9,1,9,1,1,9,9,1,2,1,2,1,2,1,1,1,9,9,9,9,1,2,1,2,1,1,9,1,2,9,9,1,9,9,9,1,1,1,1,1,2,1,1,9,9,9,1,1,9
82,BRUCE SOUTH,Ontario,1903 - 1933,13,1917.12.17,1248,5b231382-9350-440c-ae10-5f8a94c52eda,"TRUAX, Reuben Eldridge",3628,0.5121,Laurier Liberal,Sawmiller,Protestant,0,3,,,,,,,,,,,,,9,9,9,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,9,9,1,2,1,9,9,9,9,9,9,1,2,1,2,9,9,1,1,9,9,9,9,9,1,9,1,9,1,1,9,1,2,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,9,1,1
